date,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BIO,BMY,BSX,CAH,CI,CNC,COO,CRL,CTLT,CVS,DGX,DHR,DVA,DXCM,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MRNA,MTD,OGN,PFE,REGN,RMD,STE,SYK,TECH,TFX,TMO,UHS,UNH,VRTX,VTRS,WAT,WST,XRAY,ZBH,ZTS
2024-01-16,130.53,161.48,113.76,267.46,303.48,39.05,235.0,246.19,315.22,50.0,60.25,106.38,306.94,78.72,382.82,206.43,49.42,77.42,133.85,226.75,104.82,124.46,73.99,85.99,280.82,72.89,72.99,438.79,520.0,135.14,61.34,212.7,362.33,160.52,221.77,634.57,488.5,86.54,118.49,102.16,1183.98,16.59,28.32,937.32,170.21,221.27,314.29,71.43,245.91,542.0,157.95,519.15,437.49,11.75,308.13,346.5,35.95,122.64,192.99
2024-01-17,128.12,162.04,113.93,259.56,304.08,38.69,234.3,245.27,304.12,49.98,60.96,105.46,308.48,78.0,378.81,203.52,48.58,76.99,133.72,224.58,104.65,125.45,73.82,86.48,277.88,73.05,72.58,447.76,515.48,133.56,61.48,210.91,358.88,160.43,223.0,628.91,485.82,86.05,118.13,100.35,1163.0,15.9,28.15,929.13,170.71,218.88,313.68,69.84,244.94,539.25,154.71,524.94,433.76,11.46,302.51,339.51,35.52,122.23,190.9
2024-01-18,130.46,163.3,114.02,264.51,304.49,38.84,235.0,246.97,304.11,50.09,61.05,106.39,309.08,76.6,385.75,206.11,48.72,73.88,134.23,226.31,105.41,127.45,74.44,86.4,284.82,73.55,74.25,411.98,525.28,134.24,61.18,213.19,371.93,161.21,227.32,623.35,493.0,86.29,118.54,99.07,1185.0,15.69,28.09,930.0,172.76,220.47,314.72,69.86,246.38,544.42,156.39,516.34,432.98,11.27,310.16,342.87,35.91,123.83,190.5
2024-01-19,131.22,164.77,114.69,266.34,307.81,38.6,235.89,249.96,306.62,50.11,60.94,105.48,302.06,74.15,387.5,212.03,49.21,73.22,132.57,231.05,104.76,127.29,74.31,87.29,287.77,73.52,74.04,401.53,523.82,135.88,61.49,215.39,374.82,161.68,226.15,628.58,484.6,86.49,118.89,99.7,1200.0,15.5,28.28,933.4,172.54,221.43,315.05,70.32,246.83,551.75,157.81,503.56,435.02,11.4,312.45,342.74,35.66,123.36,188.38
2024-01-22,132.55,165.39,114.19,271.61,310.16,38.72,235.89,248.3,312.84,49.57,60.74,105.34,305.03,75.17,388.02,215.82,49.82,73.93,130.71,231.97,104.63,129.29,75.16,78.43,288.31,74.04,74.84,409.65,531.43,138.88,61.5,217.75,375.81,162.47,225.77,630.88,487.32,86.47,119.43,99.7,1219.16,15.69,28.31,942.83,176.82,220.06,313.27,72.02,252.58,553.39,156.05,512.99,440.11,11.64,317.05,347.11,36.27,122.59,191.2
2024-01-23,131.64,167.5,114.0,266.43,309.91,38.42,238.3,251.68,315.25,50.12,60.62,104.54,304.4,75.56,386.56,214.05,49.2,75.1,129.78,232.1,103.89,127.12,74.83,79.48,284.91,74.71,74.2,407.52,531.52,140.75,61.87,213.53,371.41,159.81,226.69,629.68,485.37,86.34,119.84,101.92,1219.94,16.27,28.43,954.58,174.97,216.78,312.18,72.48,247.9,550.74,153.81,515.52,439.7,11.77,316.44,351.63,35.49,121.08,188.1
2024-01-24,129.78,164.22,110.77,257.07,305.5,37.88,234.57,247.16,316.56,50.24,59.92,104.36,304.5,75.48,379.93,213.11,49.66,74.19,127.76,228.61,104.46,127.42,72.54,79.53,278.93,74.09,73.26,402.4,520.21,141.01,60.84,212.88,370.07,158.96,223.35,633.7,485.0,84.72,118.88,101.11,1204.81,16.42,28.33,948.24,171.78,214.85,307.75,71.06,241.96,539.99,153.35,513.23,427.56,11.72,312.42,348.71,34.67,120.52,186.07
2024-01-25,129.88,165.13,112.45,262.11,310.26,38.99,236.57,246.21,316.3,49.61,60.83,105.71,298.57,73.55,379.29,213.03,50.41,71.99,130.15,227.39,107.43,126.51,73.55,80.23,286.02,74.14,74.04,355.36,522.44,142.76,60.92,215.5,374.97,159.56,226.65,627.62,486.33,85.79,120.13,102.81,1202.45,16.84,27.47,948.87,186.35,216.68,311.91,71.12,244.88,538.21,156.98,493.4,429.96,11.74,312.0,354.22,35.05,121.96,187.32
2024-01-26,130.99,164.4,112.01,264.28,311.77,38.79,236.65,244.82,329.05,49.7,61.13,105.7,297.82,73.77,372.64,220.28,52.23,73.0,130.44,233.0,107.17,121.96,73.24,79.52,283.43,74.41,74.2,361.23,524.98,140.63,60.64,216.09,374.76,159.5,224.92,639.25,485.27,86.54,120.82,101.81,1217.47,16.73,27.47,940.05,190.15,216.09,311.36,72.63,244.45,547.33,157.57,503.2,430.17,11.93,316.12,361.36,34.92,121.69,191.52
2024-01-29,132.83,163.91,113.45,270.39,313.45,39.08,237.85,247.52,330.04,49.87,61.31,106.28,298.88,74.06,378.12,224.56,53.63,73.48,129.34,233.93,108.31,124.25,74.57,79.07,286.73,74.98,75.23,365.94,532.06,146.72,60.47,218.02,379.16,159.36,227.14,645.0,486.46,87.44,121.28,104.84,1227.48,17.16,27.48,955.8,191.23,216.69,314.5,72.78,247.02,557.77,156.85,504.54,435.82,11.88,324.36,370.5,35.42,122.92,192.76
2024-01-30,134.28,164.92,113.48,264.74,314.62,38.7,236.21,247.08,332.41,49.39,61.42,107.06,298.95,74.86,375.2,223.96,53.04,73.85,128.83,244.95,107.52,120.79,73.9,78.62,301.59,74.93,74.78,376.83,521.03,147.2,59.28,217.08,377.29,158.77,226.35,644.98,490.02,86.97,121.66,102.47,1237.5,16.78,27.02,959.73,191.38,218.17,316.64,72.71,244.85,567.12,158.95,503.61,446.08,11.81,328.38,376.09,35.03,122.37,191.43
2024-01-31,130.1,164.4,113.15,267.32,314.26,38.69,238.81,246.66,320.89,48.87,63.26,109.19,300.95,75.31,373.03,216.28,51.64,74.37,128.43,239.91,108.16,121.35,78.47,78.26,304.9,74.44,74.84,378.06,515.08,143.01,58.77,208.23,378.22,158.9,222.3,645.61,499.89,87.54,120.78,101.05,1197.19,16.65,27.08,942.78,190.2,218.95,335.48,70.32,242.83,538.98,158.81,511.74,433.38,11.77,317.71,373.03,34.75,125.6,187.81
2024-02-01,133.05,167.59,114.49,273.38,324.56,39.19,242.35,247.83,328.96,48.67,64.82,105.1,307.32,75.3,381.52,219.54,53.09,73.92,127.17,245.13,112.23,122.6,78.71,78.16,314.66,74.41,75.73,375.82,527.28,145.74,59.16,211.3,383.83,158.36,224.29,660.43,501.85,88.09,126.38,99.02,1224.0,17.24,27.29,957.78,193.66,223.61,340.56,68.54,247.65,552.23,163.14,507.14,433.87,11.87,324.45,381.5,34.7,127.25,189.14
2024-02-02,132.97,168.67,112.11,273.9,323.19,38.98,237.19,243.72,320.43,48.71,64.37,103.46,323.84,75.41,376.29,218.17,54.51,73.09,125.0,246.33,111.21,120.96,86.09,76.96,309.42,72.44,76.14,378.87,527.14,144.21,58.35,210.75,383.77,156.61,221.54,667.65,504.45,87.63,126.41,97.5,1210.11,16.64,26.93,945.18,191.86,222.19,342.05,65.98,245.74,551.82,162.73,510.23,424.68,11.85,320.74,381.02,34.19,126.32,189.04
2024-02-05,132.82,171.26,111.65,275.58,321.97,38.53,235.07,241.84,318.72,47.98,64.46,103.63,321.27,74.07,371.36,217.59,59.82,72.44,123.78,245.82,110.74,121.23,86.06,76.71,310.62,72.04,74.91,361.02,572.12,142.23,58.06,210.71,383.94,155.8,219.64,706.2,507.94,86.75,126.18,95.49,1186.97,16.04,26.57,936.33,190.11,219.9,342.91,66.77,244.1,551.62,162.67,502.96,428.89,11.58,324.85,397.62,33.33,125.36,190.17
2024-02-06,135.86,173.29,114.0,288.44,316.07,39.71,238.68,245.55,325.01,49.26,64.79,104.07,327.58,74.92,374.7,220.5,58.46,73.76,126.26,248.2,112.08,124.92,88.25,77.72,306.82,74.17,76.09,366.35,567.0,144.89,59.63,215.41,389.69,158.06,222.28,705.03,506.87,87.74,126.88,100.03,1212.1,16.95,27.5,937.81,190.72,225.92,339.77,67.37,252.25,560.28,162.15,510.67,416.13,11.89,330.38,398.27,34.16,127.6,196.14
2024-02-07,132.79,175.01,113.31,284.73,295.87,39.38,239.48,240.54,325.16,48.64,65.23,105.67,330.55,74.92,374.64,218.58,56.5,76.05,127.42,246.64,111.61,126.61,86.61,74.42,307.28,73.85,75.26,368.57,572.31,142.94,57.34,214.34,391.375,157.98,223.71,725.38,516.98,87.16,127.47,99.3,1213.23,16.25,27.56,938.49,186.59,225.87,342.72,66.36,250.89,552.31,162.45,519.39,419.08,11.74,323.54,413.0,33.71,127.55,197.09
