date,open,high,low,close,adjusted_close,volume
2024-01-16,129.14,130.81,128.6,130.53,129.6306,1382100
2024-01-17,129.98,130.61,126.74,128.12,127.2372,1257400
2024-01-18,128.02,130.73,127.53,130.46,129.5611,1404800
2024-01-19,130.17,131.99,129.21,131.22,130.3159,1523300
2024-01-22,131.5,132.73,131.25,132.55,131.6367,1512300
2024-01-23,133.64,133.94,130.33,131.64,130.733,854900
2024-01-24,132.41,132.8,129.43,129.78,128.8858,1141900
2024-01-25,131.11,131.43,129.43,129.88,128.9851,1120900
2024-01-26,133.71,134.23,130.64,130.99,130.0874,1319800
2024-01-29,131.75,132.9,131.28,132.83,131.9148,1407200
2024-01-30,132.83,134.52,132.69,134.28,133.3548,1428700
2024-01-31,134.61,134.62,130.0,130.1,129.2036,1101400
2024-02-01,130.06,133.05,129.26,133.05,132.1332,862000
2024-02-02,131.84,133.92,130.31,132.97,132.0538,1066300
2024-02-05,132.74,134.95,132.38,132.82,131.9048,2374500
2024-02-06,132.65,136.1,131.07,135.86,134.9239,1766600
2024-02-07,136.52,136.91,132.34,132.79,131.875,1758000
2024-02-08,132.42,134.82,132.13,134.07,133.1462,1352500
2024-02-09,133.93,135.23,132.76,133.34,132.4212,909700
2024-02-12,133.28,133.28,130.38,132.31,131.3983,1231800
2024-02-13,130.34,131.64,128.26,129.76,128.8659,1031100
2024-02-14,131.0,132.33,130.21,132.24,131.3288,1405200
2024-02-15,132.99,135.6,132.68,134.75,133.8215,1514500
2024-02-16,133.59,136.27,133.59,134.84,133.9109,1066800
2024-02-20,133.67,135.33,133.57,134.14,133.2157,1563900
2024-02-21,133.36,135.45,133.17,135.33,134.3975,1134700
2024-02-22,132.48,133.03,129.01,132.02,131.1103,2664400
2024-02-23,132.8,133.36,131.57,132.03,131.1203,1878000
2024-02-26,131.78,132.92,130.83,131.49,130.584,1677500
2024-02-27,131.45,133.18,130.87,132.55,131.6367,1772700
2024-02-28,139.88,139.88,136.35,137.01,136.066,2537100
2024-02-29,137.51,138.03,135.86,137.36,136.4135,2622600
2024-03-01,137.03,139.15,134.67,139.06,138.1018,1531000
2024-03-04,139.15,143.49,138.81,142.86,141.8756,2169200
2024-03-05,143.0,146.4,143.0,144.35,143.3554,2622500
2024-03-06,145.0,147.44,144.75,146.22,145.2125,2357900
2024-03-07,147.09,149.64,147.09,149.31,148.2812,1942900
2024-03-08,149.64,151.58,147.85,147.87,146.8511,1588300
2024-03-11,148.0,149.28,146.12,147.29,146.2751,1397600
2024-03-12,147.61,149.48,147.24,147.84,146.8213,1192300
2024-03-13,148.17,149.1,147.54,147.82,146.8015,2231500
2024-03-14,147.9,148.25,144.29,145.21,144.2095,2098200
2024-03-15,143.99,148.65,143.99,147.48,146.4638,3775500
2024-03-18,147.88,148.36,145.9,146.09,145.0834,2281300
2024-03-19,145.99,147.57,145.47,147.39,146.3744,1976200
2024-03-20,147.21,147.71,146.38,147.28,146.2652,1526500
2024-03-21,147.58,150.14,147.18,148.74,147.7151,1574200
2024-03-22,148.85,149.28,146.42,147.45,146.434,1076600
2024-03-25,147.54,148.07,143.78,145.56,144.557,1710500
2024-03-26,145.61,146.26,144.38,144.41,143.415,2021000
2024-03-27,145.65,147.48,144.53,147.37,146.3546,1212200
2024-03-28,147.54,147.68,145.36,145.51,144.5074,2176500
2024-04-01,146.18,146.5,144.42,145.56,144.7918,968300
2024-04-02,144.02,144.33,142.59,144.17,143.4091,1376500
2024-04-03,143.77,144.85,142.79,143.73,142.9715,1211200
2024-04-04,145.12,145.26,141.13,141.34,140.5941,1183900
2024-04-05,144.18,145.5,143.43,144.12,143.3594,1655800
2024-04-08,143.8,145.79,143.01,144.46,143.6976,1247300
2024-04-09,146.0,147.43,145.5,147.4,146.6221,873700
2024-04-10,144.42,145.06,143.55,144.16,143.3992,1051800
2024-04-11,145.65,145.86,143.67,145.0,144.2348,720100
2024-04-12,143.59,144.66,140.26,140.73,139.9873,1124500
2024-04-15,142.31,143.25,139.02,140.22,139.48,1506000
2024-04-16,140.28,140.36,136.63,136.8,136.078,1345700
2024-04-17,137.24,137.46,132.87,134.55,133.8399,2084100
2024-04-18,131.26,134.44,128.34,132.44,131.741,1936600
2024-04-19,133.06,133.74,132.15,132.73,132.0295,1303400
2024-04-22,133.54,135.02,131.78,133.91,133.2033,850500
2024-04-23,137.98,139.65,136.01,139.2,138.4654,1979400
2024-04-24,138.34,139.89,136.21,137.49,136.7644,1553200
2024-04-25,137.06,137.21,134.12,136.37,135.6503,940800
2024-04-26,136.45,138.36,135.0,137.74,137.0131,754900
2024-04-29,138.26,139.87,137.88,139.59,138.8533,781200
2024-04-30,138.6,139.65,136.97,137.04,136.3168,1087300
2024-05-01,136.72,140.56,136.13,138.69,137.9581,850400
2024-05-02,139.23,139.89,136.71,137.52,136.7942,1146800
2024-05-03,139.69,140.95,138.41,139.45,138.714,1097900
2024-05-06,139.54,141.47,138.34,140.61,139.8679,1639400
2024-05-07,141.12,142.15,139.76,141.27,140.5244,1486800
2024-05-08,141.12,143.0,140.04,142.8,142.0464,1423500
2024-05-09,143.11,145.48,142.82,145.14,144.374,1254000
2024-05-10,145.89,152.81,145.12,149.76,148.9696,2246700
2024-05-13,149.53,150.26,147.18,147.76,146.9802,1317700
2024-05-14,148.75,151.55,148.38,151.28,150.4816,1679900
