date,open,high,low,close,adjusted_close,volume
2024-01-16,161.98,162.3,161.02,161.48,157.2642,4747730
2024-01-17,161.75,162.9497,161.52,162.04,157.8096,4423158
2024-01-18,161.16,163.655,161.0,163.3,159.0367,5074330
2024-01-19,163.91,164.87,162.6,164.77,160.4683,5863150
2024-01-22,164.44,165.45,163.76,165.39,161.0721,4864044
2024-01-23,164.45,167.53,164.06,167.5,163.1271,5784885
2024-01-24,167.77,167.95,164.06,164.22,159.9327,5422244
2024-01-25,164.0,165.21,163.2,165.13,160.8189,4465939
2024-01-26,165.27,165.86,163.5,164.4,160.108,4654408
2024-01-29,165.85,166.76,163.68,163.91,159.6308,4704269
2024-01-30,164.22,164.98,163.26,164.92,160.6144,3819615
2024-01-31,165.75,165.8599,163.95,164.4,160.108,4994053
2024-02-01,163.7,167.68,162.67,167.59,163.2147,5584434
2024-02-02,169.42,172.85,165.23,168.67,164.2665,7870521
2024-02-05,169.84,173.13,168.45,171.26,166.7889,6486886
2024-02-06,171.65,173.96,169.77,173.29,168.7659,7038000
2024-02-07,174.01,175.56,173.32,175.01,170.441,6409084
2024-02-08,174.35,175.91,174.3,174.79,170.2267,5709326
2024-02-09,175.07,175.4,173.05,174.08,169.5353,3502661
2024-02-12,173.54,174.76,172.23,173.07,168.5516,3477198
2024-02-13,174.46,175.2,171.965,173.29,168.7659,5480551
2024-02-14,173.06,174.86,172.68,174.42,169.8664,4348610
2024-02-15,174.02,176.735,173.81,176.59,171.9797,5276243
2024-02-16,176.89,178.92,176.07,177.49,172.8563,6689902
2024-02-20,175.83,178.68,175.52,175.75,171.1617,5484327
2024-02-21,176.29,176.625,173.5,175.14,170.5676,3819124
2024-02-22,174.78,177.34,173.14,176.75,172.1356,4852394
2024-02-23,177.26,178.905,177.011,178.09,173.4406,3941923
2024-02-26,178.84,179.79,178.0,178.81,174.1418,4327400
2024-02-27,178.77,179.53,176.98,178.99,174.3171,3888566
2024-02-28,179.85,179.89,176.89,178.0,173.3529,4326102
2024-02-29,177.865,178.02,175.39,176.05,171.4538,7485722
2024-03-01,176.05,179.19,175.75,178.91,174.2392,4028935
2024-03-04,178.35,179.98,176.28,177.05,172.4277,4723582
2024-03-05,177.79,179.59,177.79,179.16,174.4827,5309903
2024-03-06,178.4,182.16,178.1,181.06,176.333,6047148
2024-03-07,182.19,182.42,179.54,180.57,175.8558,6125187
2024-03-08,179.74,182.14,178.68,178.85,174.1807,6195824
2024-03-11,178.41,181.26,178.24,179.63,174.9404,5134817
2024-03-12,179.72,182.89,179.69,180.92,176.1967,5391070
2024-03-13,182.5,182.51,179.42,179.86,175.1644,5987932
2024-03-14,180.155,182.04,178.66,181.2,176.4694,6999445
2024-03-15,179.84,180.58,177.54,177.88,173.2361,20957949
2024-03-18,179.01,179.88,177.565,178.49,173.8301,8569244
