date,open,high,low,close,adjusted_close,volume
2024-01-16,113.51,114.07,112.914,113.76,112.0679,5876044
2024-01-17,113.62,114.5,113.435,113.93,112.2354,4672119
2024-01-18,114.2,114.57,113.405,114.02,112.324,5098185
2024-01-19,113.63,114.86,113.46,114.69,112.9841,6843279
2024-01-22,114.93,115.64,114.14,114.19,112.4915,5062485
2024-01-23,114.45,115.5,112.87,114.0,112.3043,5037299
2024-01-24,110.75,113.345,109.74,110.77,109.1224,8710759
2024-01-25,111.41,112.57,110.785,112.45,110.7774,5648750
2024-01-26,113.23,113.41,111.54,112.01,110.3439,5176697
2024-01-29,112.15,113.47,112.03,113.45,111.7625,6480613
2024-01-30,113.9,113.92,112.38,113.48,111.792,4768366
2024-01-31,114.0,114.535,112.62,113.15,111.467,8325187
2024-02-01,112.75,114.5374,111.995,114.49,112.787,4520542
2024-02-02,112.96,114.06,111.98,112.11,110.4424,7575685
2024-02-05,112.02,112.455,111.15,111.65,109.9893,5670059
2024-02-06,111.82,114.5099,111.72,114.0,112.3043,4734844
2024-02-07,114.6,114.6,112.89,113.31,111.6246,4757532
2024-02-08,113.35,113.35,111.52,112.43,110.7577,6980455
2024-02-09,112.25,112.63,111.19,111.81,110.1469,5947680
2024-02-12,111.5,112.63,111.21,112.53,110.8562,4232159
2024-02-13,112.47,113.11,110.58,111.34,109.6839,4263613
2024-02-14,111.64,112.38,111.12,112.06,110.3932,3991233
2024-02-15,112.27,114.27,112.27,113.64,111.9497,5450684
2024-02-16,113.5,115.49,113.45,114.01,112.3142,7161109
2024-02-20,114.33,117.19,113.96,116.64,114.905,9601289
2024-02-21,115.96,117.975,115.96,117.87,116.1168,6144814
2024-02-22,118.1,119.25,116.8,119.02,117.2496,4916218
2024-02-23,119.38,120.15,118.86,119.46,117.6831,4261515
2024-02-26,119.5,119.95,118.39,118.69,116.9246,3483103
2024-02-27,118.16,119.5,117.83,119.4,117.624,3203311
2024-02-28,119.49,120.11,119.27,120.05,118.2643,3383982
2024-02-29,120.32,120.445,118.525,118.64,116.8753,6135244
2024-03-01,118.57,119.455,117.83,118.62,116.8556,3899429
2024-03-04,118.3,120.28,118.17,120.04,118.2545,3164070
2024-03-05,120.44,120.6,118.08,118.48,116.7177,3502340
2024-03-06,118.6,119.58,118.42,119.34,117.5649,3388820
2024-03-07,120.095,121.5,119.9501,120.92,119.1214,4200857
2024-03-08,120.97,121.64,120.605,120.96,119.1608,3357442
2024-03-11,120.93,121.42,119.6157,120.19,118.4022,3886029
2024-03-12,119.95,121.08,119.06,120.76,118.9638,3079726
2024-03-13,120.52,120.93,119.62,120.16,118.3727,3421685
2024-03-14,120.01,120.34,117.85,118.85,117.0822,4952259
2024-03-15,113.02,115.49,112.26,115.49,113.7722,22415680
2024-03-18,115.35,115.76,112.29,112.44,110.7675,12991000
2024-03-19,112.44,114.42,112.04,113.16,111.4768,8299307
2024-03-20,113.0,113.24,110.73,111.5,109.8415,8317283
2024-03-21,111.95,112.14,111.01,111.51,109.8514,9722663
2024-03-22,111.52,111.98,110.5439,110.57,108.9253,5387719
2024-03-25,110.45,110.8,109.11,110.01,108.3737,6622414
2024-03-26,110.49,111.9,109.93,111.5,109.8415,7770829
2024-03-27,112.0,113.7,111.94,113.48,111.792,7533356
2024-03-28,113.28,114.02,112.93,113.66,111.9694,5278215
2024-04-01,113.66,113.66,111.82,112.09,110.4227,3963996
2024-04-02,111.89,112.42,111.18,112.02,110.3538,4560740
2024-04-03,112.14,112.55,111.05,111.28,109.6248,4409909
2024-04-04,111.84,112.0,109.8375,110.11,108.4722,4799745
2024-04-05,109.7,111.26,109.54,111.2,109.546,5591219
2024-04-08,111.3,111.48,110.14,110.52,108.8761,5810480
2024-04-09,110.59,112.57,110.58,112.44,110.7675,4235804
2024-04-10,111.22,111.67,110.35,111.17,109.5164,3965558
2024-04-11,111.65,111.98,110.31,111.45,109.7922,4321456
2024-04-12,110.27,110.5,108.4916,109.11,108.0201,4041615
2024-04-15,110.09,110.89,108.831,108.89,107.8023,4595628
2024-04-16,108.84,110.33,108.14,109.21,108.1191,7283867
2024-04-17,107.53,108.72,104.25,105.9,104.8422,12002890
2024-04-18,106.5,107.03,104.47,105.27,104.2185,7306449
2024-04-19,105.98,107.77,105.38,107.28,106.2084,10533620
2024-04-22,107.48,107.9,106.27,107.07,106.0005,4948315
2024-04-23,107.67,108.11,107.3101,107.59,106.5153,3849589
2024-04-24,106.71,107.11,105.56,106.89,105.8223,5052691
2024-04-25,106.645,107.455,106.14,106.86,105.7926,3112495
2024-04-26,106.51,107.8561,106.39,107.53,106.4559,3575566
2024-04-29,107.39,108.19,106.6,107.27,106.1985,3307022
2024-04-30,106.52,106.87,105.895,105.97,104.9115,5073971
2024-05-01,105.93,107.16,105.91,106.29,105.2283,4097108
2024-05-02,106.66,106.66,105.15,105.92,104.862,3708515
2024-05-03,106.11,106.64,105.475,105.9,104.8422,3610492
2024-05-06,106.11,106.17,105.14,105.64,104.5848,3789737
2024-05-07,106.52,106.6,105.79,106.17,105.1095,6556396
2024-05-08,106.34,106.34,104.28,104.94,103.8918,6234711
2024-05-09,104.73,105.01,104.5,104.67,103.6245,5902240
2024-05-10,104.5,105.67,104.42,104.74,103.6938,7349729
2024-05-13,104.99,105.5,104.4,104.77,103.7235,5459183
2024-05-14,104.85,105.13,103.36,104.01,102.9711,7035128
2024-05-15,104.1,104.83,104.1,104.59,103.5453,5443172
2024-05-16,104.45,105.19,104.16,104.87,103.8225,8708267
2024-05-17,104.41,104.8,103.94,104.09,103.0503,7004574
2024-05-20,103.78,103.8,103.02,103.21,102.1791,7165905
2024-05-21,103.52,103.86,102.4097,102.96,101.9316,4391572
2024-05-22,102.95,105.14,102.94,104.82,103.773,5933598
2024-05-23,103.96,104.91,103.44,104.23,103.1889,5862199
2024-05-24,104.15,104.369,103.58,103.95,102.9117,4455866
2024-05-28,103.57,103.59,101.56,101.95,100.9316,4771127
2024-05-29,101.09,101.77,100.64,100.73,99.7238,4961324
2024-05-30,101.28,102.61,100.86,101.74,100.7237,5126729
2024-05-31,101.86,102.299,101.39,102.19,101.1692,7915676
2024-06-03,102.17,104.13,101.92,102.87,101.8425,4915081
2024-06-04,102.8,103.49,102.535,103.43,102.3969,3880402
2024-06-05,102.93,103.42,101.98,103.23,102.1989,3302504
2024-06-06,103.29,105.0,102.81,104.27,103.2285,9835466
2024-06-07,103.86,108.13,103.3701,107.58,106.5054,8666641
2024-06-10,107.63,108.98,107.04,107.49,106.4163,8556495
2024-06-11,107.32,107.32,105.53,105.81,104.7531,7536183
2024-06-12,105.91,105.91,104.29,104.38,103.3374,4569029
2024-06-13,103.635,103.7,102.6,103.45,102.4167,4719494
2024-06-14,103.29,103.72,102.43,103.68,102.6444,3683145
2024-06-17,102.91,103.94,102.54,103.45,102.4167,3936410
2024-06-18,103.26,104.0908,103.25,103.99,102.9513,4500985
2024-06-20,103.525,106.84,103.47,106.57,105.5055,9155091
2024-06-21,106.66,106.93,105.24,105.72,104.664,10329150
2024-06-24,106.29,106.29,104.9401,105.3,104.2482,5201278
2024-06-25,105.4,105.98,104.82,105.49,104.4363,4722596
2024-06-26,105.09,105.65,104.32,104.88,103.8324,5406622
2024-06-27,105.25,105.32,103.92,104.65,103.6047,4137597
2024-06-28,104.7,105.16,103.53,103.91,102.8721,8283577
2024-07-01,104.16,105.51,102.61,103.2,102.1692,4588863
2024-07-02,102.7,103.39,102.7,103.2,102.1692,3650516
2024-07-03,103.36,103.66,102.18,102.33,101.3078,2017846
2024-07-05,102.03,104.07,101.76,104.02,102.981,6582790
2024-07-08,103.78,103.85,101.94,102.12,101.0999,4541958
2024-07-09,102.39,102.59,100.75,101.64,100.6247,6269235
2024-07-10,101.42,103.08,101.27,103.05,102.0207,6598954
2024-07-11,103.38,104.64,103.06,104.18,103.1394,5025283
2024-07-12,104.67,104.93,104.11,104.22,103.179,4277742
2024-07-15,103.93,104.16,102.58,102.96,102.4723,4970892
2024-07-16,102.915,103.87,102.51,102.72,102.2335,7656931
2024-07-17,102.65,105.65,102.5,104.68,104.1842,13438350
2024-07-18,102.39,104.145,99.71,100.07,99.596,13078780
2024-07-19,100.61,102.4,100.08,102.03,101.5467,11963580
2024-07-22,102.5,103.83,102.31,103.72,103.2287,7880254
2024-07-23,104.01,104.33,103.37,103.92,103.4278,5894651
2024-07-24,104.22,107.31,103.54,107.26,106.752,8680899
2024-07-25,107.02,108.71,105.92,105.96,105.4581,6356625
2024-07-26,106.46,107.14,104.66,105.24,104.7415,8611560
2024-07-29,100.59,105.175,99.92,104.77,104.2738,19452689
2024-07-30,104.76,105.675,102.78,105.32,104.8212,9126323
2024-07-31,105.5,106.83,103.55,105.94,105.4382,8238404
2024-08-01,106.65,110.68,106.33,110.15,109.6283,9069154
2024-08-02,110.18,112.04,108.4,111.31,110.7828,9885690
2024-08-05,111.34,112.0,108.37,108.63,108.1155,7121375
2024-08-06,108.95,110.64,108.63,109.5,108.9814,5634812
