date,open,high,low,close,adjusted_close,volume
2024-01-16,268.5,268.92,264.58,267.46,267.46,467790
2024-01-17,261.0,264.79,256.81,259.56,259.56,989190
2024-01-18,264.09,264.68,259.22,264.51,264.51,614440
2024-01-19,264.2,267.21,260.45,266.34,266.34,644200
2024-01-22,269.0,273.38,266.05,271.61,271.61,534390
2024-01-23,274.1,274.1,264.26,266.43,266.43,548770
2024-01-24,269.0,269.0,257.05,257.07,257.07,956640
2024-01-25,261.34,262.57,254.28,262.11,262.11,894270
2024-01-26,264.55,269.85,262.6,264.28,264.28,894510
2024-01-29,263.14,274.8,263.14,270.39,270.39,1160000
2024-01-30,267.78,271.0,264.05,264.74,264.74,1100000
2024-01-31,264.55,274.0,262.0,267.32,267.32,1380000
2024-02-01,303.0,308.0,266.3,273.38,273.38,4920000
2024-02-02,270.0,277.29,263.85,273.9,273.9,1260000
2024-02-05,272.06,276.42,267.93,275.58,275.58,644030
2024-02-06,276.5,293.92,276.02,288.44,288.44,1440000
2024-02-07,288.18,291.04,282.59,284.73,284.73,835260
2024-02-08,285.37,296.6,283.67,295.0,295.0,1150000
2024-02-09,292.83,298.54,291.06,296.37,296.37,855600
2024-02-12,294.71,303.88,294.71,302.44,302.44,827500
2024-02-13,290.97,296.17,288.33,292.32,292.32,867300
2024-02-14,295.33,303.13,293.3,302.75,302.75,757100
2024-02-15,307.36,312.48,305.43,309.77,309.77,711600
2024-02-16,307.19,314.32,305.08,308.77,308.77,764300
2024-02-20,304.33,314.7,303.01,313.53,313.53,1031800
2024-02-21,307.81,309.11,300.08,304.65,304.65,920700
2024-02-22,305.44,317.25,303.58,316.56,316.56,732300
2024-02-23,315.35,321.83,314.06,316.88,316.88,579900
2024-02-26,312.9,316.9,310.74,310.84,310.84,489100
2024-02-27,311.79,313.71,308.14,313.06,313.06,487700
2024-02-28,308.87,309.4,302.06,302.39,302.39,558800
2024-02-29,303.1,306.8,301.65,302.42,302.42,576700
2024-03-01,301.36,304.63,297.24,300.01,300.01,645100
2024-03-04,301.53,310.37,299.41,308.04,308.04,614800
2024-03-05,303.78,305.02,296.14,299.49,299.49,572300
2024-03-06,304.99,306.5,302.49,303.79,303.79,370200
2024-03-07,308.17,312.77,306.56,310.8,310.8,512500
2024-03-08,312.96,318.64,310.52,312.49,312.49,411600
2024-03-11,310.24,314.82,305.94,308.09,308.09,427400
2024-03-12,309.62,312.43,305.74,310.68,310.68,310100
2024-03-13,315.0,325.9,315.0,320.69,320.69,694700
2024-03-14,322.26,322.65,312.68,316.92,316.92,642500
2024-03-15,312.46,319.77,312.46,314.35,314.35,744800
2024-03-18,318.56,320.09,315.4,316.14,316.14,484200
2024-03-19,314.48,319.68,312.61,317.2,317.2,397500
2024-03-20,317.98,329.41,317.88,329.14,329.14,596100
2024-03-21,331.01,335.4,321.03,321.27,321.27,454800
2024-03-22,320.07,324.04,315.0,319.42,319.42,456900
2024-03-25,318.17,323.21,316.19,319.28,319.28,380700
2024-03-26,322.39,323.45,317.13,319.94,319.94,414400
2024-03-27,325.1,328.2,324.27,327.9,327.9,404600
2024-03-28,329.38,329.99,326.07,327.92,327.92,367300
2024-04-01,327.01,328.09,313.06,319.65,319.65,562800
2024-04-02,312.41,312.51,300.78,312.07,312.07,828900
2024-04-03,309.19,314.44,309.15,310.11,310.11,527000
2024-04-04,310.38,319.45,308.19,314.95,314.95,649400
2024-04-05,311.95,322.31,311.95,317.58,317.58,595300
2024-04-08,318.91,321.97,316.35,320.06,320.06,644100
2024-04-09,322.52,330.92,322.21,330.25,330.25,600100
2024-04-10,322.56,328.77,320.48,327.82,327.82,776300
2024-04-11,328.36,331.64,319.55,324.9,324.9,515600
2024-04-12,319.89,323.97,311.4,314.97,314.97,631600
2024-04-15,319.62,319.81,302.95,304.74,304.74,549900
2024-04-16,302.28,308.91,297.64,305.1,305.1,502700
2024-04-17,307.52,307.52,296.9,300.14,300.14,574900
2024-04-18,304.3,308.0,298.23,301.34,301.34,417000
2024-04-19,302.99,304.75,296.5,298.98,298.98,520300
2024-04-22,300.87,303.65,297.17,300.82,300.82,446800
2024-04-23,302.55,312.43,299.96,311.88,311.88,621300
2024-04-24,310.65,315.77,306.31,313.78,313.78,1106100
2024-04-25,325.0,327.49,297.28,310.5,310.5,1654500
2024-04-26,311.2,324.39,307.9,309.02,309.02,737300
2024-04-29,308.45,313.29,303.46,304.82,304.82,515070
