date,open,high,low,close,adjusted_close,volume
2024-01-16,306.51,308.0,301.18,303.48,294.5791,1996300
2024-01-17,302.46,304.63,301.1,304.08,295.1615,2210400
2024-01-18,302.25,305.65,299.55,304.49,295.5594,2357000
2024-01-19,304.73,309.09,301.11,307.81,298.7821,2565900
2024-01-22,308.7,312.16,306.6,310.16,301.0632,2599900
2024-01-23,309.53,311.3,309.1,309.91,300.8205,1775400
2024-01-24,309.92,312.45,305.24,305.5,296.5398,1954200
2024-01-25,308.72,310.32,305.7,310.26,301.1602,2005400
2024-01-26,310.57,312.02,309.86,311.77,302.6259,2035800
2024-01-29,311.44,313.62,309.89,313.45,304.2567,2447600
2024-01-30,312.53,314.92,310.52,314.62,305.3923,2637000
2024-01-31,316.0,316.64,312.62,314.26,305.0429,3456700
2024-02-01,314.5,324.82,313.7,324.56,315.0408,3883200
2024-02-02,323.64,325.77,320.75,323.19,313.711,2585600
2024-02-05,323.53,329.72,317.71,321.97,312.5268,3563300
2024-02-06,325.4,326.96,314.75,316.07,306.7998,5767400
2024-02-07,315.51,315.51,295.27,295.87,287.1923,8411300
2024-02-08,297.0,298.0,288.78,294.85,286.2022,5946100
2024-02-09,294.85,295.0,289.71,291.12,282.5816,3341100
2024-02-12,289.97,294.6,288.86,294.43,285.7945,3298500
2024-02-13,294.61,295.52,286.89,290.48,281.9604,3610100
2024-02-14,289.88,290.87,287.55,290.07,281.5624,2617300
2024-02-15,287.88,290.35,285.6,289.07,282.7852,2902000
2024-02-16,287.71,287.71,283.27,283.7,277.532,3595700
2024-02-20,283.85,285.3,280.55,283.51,277.3461,3402000
2024-02-21,284.84,285.78,280.8,283.46,277.2972,1934300
2024-02-22,282.48,285.72,281.3,285.18,278.9798,2992700
2024-02-23,286.52,292.24,286.01,289.18,282.8928,2462400
2024-02-26,288.28,289.87,285.43,286.37,280.1439,2448900
2024-02-27,279.1,281.22,277.09,278.49,272.4352,3353700
2024-02-28,278.99,280.43,277.09,277.46,271.4276,3027000
2024-02-29,278.52,279.83,273.43,273.83,267.8765,5863400
2024-03-01,276.5,281.93,274.88,280.33,274.2352,3772700
2024-03-04,283.26,285.89,277.65,279.39,273.3157,2470300
2024-03-05,279.62,279.75,275.02,276.65,270.6352,3064000
2024-03-06,275.38,278.97,274.55,276.59,270.5765,2240200
2024-03-07,276.3,276.81,269.58,272.86,266.9276,4066300
2024-03-08,272.81,276.56,272.01,273.75,267.7983,2250800
2024-03-11,274.51,278.19,272.99,275.36,269.3733,1851000
2024-03-12,276.85,278.15,274.14,276.54,270.5276,1738700
2024-03-13,278.18,278.56,275.21,275.99,269.9896,1641000
2024-03-14,276.84,277.23,270.45,271.54,265.6363,2370500
2024-03-15,272.09,275.18,268.17,268.87,263.0244,8794200
2024-03-18,270.0,273.58,269.21,270.9,265.0102,3608300
2024-03-19,270.18,273.16,269.51,271.73,265.8222,3037500
2024-03-20,271.21,273.08,269.24,273.05,267.1135,2564500
2024-03-21,274.63,277.92,274.39,276.95,270.9287,2489400
2024-03-22,277.39,278.29,275.1,276.17,270.1657,2303100
2024-03-25,276.43,281.33,275.41,280.82,274.7146,2954400
2024-03-26,282.15,284.5,280.7,281.77,275.6439,3343000
2024-03-27,284.22,286.82,282.55,286.3,280.0754,2256300
2024-03-28,287.86,288.57,284.21,284.32,278.1385,2289900
2024-04-01,282.11,283.83,279.0,283.04,276.8863,1868600
2024-04-02,283.34,283.91,276.04,276.21,270.2048,2220500
2024-04-03,275.69,276.47,273.68,274.42,268.4537,1669200
2024-04-04,276.05,276.73,267.75,268.09,262.2613,2451200
2024-04-05,265.9,273.07,265.08,269.95,264.0809,2293800
2024-04-08,269.48,270.21,267.56,269.2,263.3472,1830800
2024-04-09,270.19,271.29,268.58,270.36,264.482,1792600
2024-04-10,267.96,268.38,264.63,266.45,260.657,1949500
2024-04-11,270.22,273.0,268.45,270.0,264.1298,2169600
2024-04-12,268.77,269.3,266.17,267.28,261.469,2140100
2024-04-15,269.93,270.93,264.35,265.51,259.7374,1740000
2024-04-16,266.83,267.51,263.81,265.64,259.8646,2017600
2024-04-17,267.54,268.77,263.39,264.07,258.3287,2175100
2024-04-18,265.64,265.92,262.58,262.75,257.0374,2082700
2024-04-19,264.63,269.38,260.68,268.93,263.0831,3380100
2024-04-22,269.84,273.14,269.84,271.91,265.9983,2165800
2024-04-23,272.14,274.48,271.05,273.54,267.5928,2493300
2024-04-24,270.63,274.86,269.65,273.01,267.0744,2467100
2024-04-25,273.45,274.35,267.24,269.38,263.5233,1794000
2024-04-26,265.72,271.68,265.72,269.98,264.1102,2436900
2024-04-29,269.18,276.86,268.99,276.38,270.3711,2678900
2024-04-30,276.11,276.12,272.35,273.94,267.9842,2477300
2024-05-01,274.18,279.84,273.38,277.37,271.3396,2323700
2024-05-02,277.69,278.63,274.9,278.39,272.3374,3177500
2024-05-03,313.39,322.6,308.68,311.29,304.5221,9644700
2024-05-06,310.88,312.73,297.52,299.48,292.9689,4717600
2024-05-07,301.75,302.91,298.51,300.3,293.771,2452100
2024-05-08,300.12,307.57,298.89,307.31,300.6286,2859600
2024-05-09,309.53,314.6,306.32,312.86,306.058,2921300
2024-05-10,312.89,314.89,309.82,310.15,303.4069,2611800
2024-05-13,312.15,312.15,307.06,308.45,301.7439,1558500
2024-05-14,308.73,312.4,307.47,311.41,304.6395,1631100
2024-05-15,314.82,321.44,312.87,319.04,312.1036,3466000
