date,open,high,low,close,adjusted_close,volume
2024-01-16,39.68,39.72,38.935,39.05,37.9543,4272833
2024-01-17,38.82,39.155,38.555,38.69,37.6044,4003317
2024-01-18,38.51,38.85,38.0113,38.84,37.7502,3508476
2024-01-19,38.88,38.88,38.33,38.6,37.5169,2790192
2024-01-22,38.71,39.26,38.58,38.72,37.6336,2798988
2024-01-23,38.95,39.02,38.195,38.42,37.342,1882924
2024-01-24,38.3,38.59,37.87,37.88,36.8171,2073840
2024-01-25,38.22,39.01,38.15,38.99,37.896,2840696
2024-01-26,39.21,39.32,38.625,38.79,37.7016,2228903
2024-01-29,38.61,39.37,38.48,39.08,37.9835,3052820
2024-01-30,39.17,39.17,38.635,38.7,37.6141,2026582
2024-01-31,39.0,39.385,38.61,38.69,37.6044,3080709
2024-02-01,38.56,39.515,38.44,39.19,38.0904,2862065
2024-02-02,39.03,39.27,38.45,38.98,37.8863,2688475
2024-02-05,38.7,39.165,38.52,38.53,37.4489,2609833
2024-02-06,38.54,39.73,38.475,39.71,38.5958,3651939
2024-02-07,39.795,39.89,39.09,39.38,38.275,5802407
2024-02-08,39.0,41.305,38.11,40.46,39.3247,7956298
2024-02-09,40.5,40.5,38.785,39.55,38.4403,4745134
2024-02-12,39.69,40.35,39.16,40.31,39.1789,3560474
2024-02-13,40.03,40.44,39.075,39.62,38.5083,3567773
2024-02-14,39.75,40.0,39.4794,39.64,38.5277,4198694
2024-02-15,39.75,41.26,39.75,40.94,39.7913,6525707
2024-02-16,40.91,41.87,40.77,41.22,40.0634,5250047
2024-02-20,41.16,42.05,41.04,41.77,40.598,5002790
2024-02-21,41.67,42.28,41.37,42.23,41.0451,3910459
2024-02-22,42.07,42.13,41.245,42.01,40.8312,4115894
2024-02-23,41.99,42.87,41.62,42.55,41.3561,3262594
2024-02-26,42.44,42.54,41.81,42.0,40.8215,2346230
2024-02-27,41.92,42.18,41.56,41.85,40.6757,2137566
2024-02-28,41.64,41.6496,41.16,41.56,40.3939,2792145
2024-02-29,41.4,41.4,40.61,40.92,40.0513,5249105
2024-03-01,40.92,41.205,40.27,41.01,40.1394,2825026
2024-03-04,41.0,42.64,40.84,42.5,41.5978,6431116
2024-03-05,43.56,43.93,42.24,42.41,41.5097,6879222
2024-03-06,42.45,43.02,42.07,42.99,42.0774,3445855
2024-03-07,43.3,43.68,43.04,43.49,42.5667,3949699
2024-03-08,43.38,44.005,43.29,43.77,42.8408,2816447
2024-03-11,43.65,43.97,43.375,43.48,42.5569,1973234
2024-03-12,43.26,43.37,42.82,42.89,41.9795,3648644
2024-03-13,42.96,43.35,42.37,42.68,41.7739,3851996
2024-03-14,42.4,42.64,41.67,42.02,41.1279,3795705
2024-03-15,41.31,41.91,41.3,41.61,40.7266,5489356
2024-03-18,41.64,41.925,41.24,41.54,40.6581,2697336
2024-03-19,41.55,41.98,41.435,41.95,41.0594,3372295
2024-03-20,41.92,42.15,41.58,41.83,40.942,2059896
2024-03-21,41.98,42.35,41.48,42.01,41.1182,3736113
2024-03-22,42.07,42.22,41.59,41.94,41.0496,2060480
2024-03-25,42.15,42.33,41.56,41.79,40.9028,4388164
2024-03-26,41.84,41.92,41.245,41.54,40.6581,4566388
2024-03-27,41.85,42.785,41.735,42.69,41.7837,4168630
2024-03-28,42.74,43.115,42.61,42.74,41.8327,3951652
2024-04-01,43.5,43.99,43.05,43.55,42.6255,4552665
2024-04-02,42.98,43.31,42.68,42.91,41.999,2900712
2024-04-03,42.96,43.715,42.75,43.28,42.3612,2544668
2024-04-04,43.58,43.7,42.375,42.63,41.725,3126278
2024-04-05,42.45,42.8,42.38,42.62,41.7152,2970219
2024-04-08,42.55,42.78,42.1,42.25,41.3531,2397943
2024-04-09,42.41,42.86,42.17,42.83,41.9207,2772997
2024-04-10,42.24,42.265,41.33,42.0,41.1084,3615357
2024-04-11,42.44,42.475,41.69,42.12,41.2258,3060574
2024-04-12,41.74,41.9,40.205,40.33,39.4738,4126975
2024-04-15,40.71,40.85,39.815,40.04,39.19,3062144
2024-04-16,40.0,40.05,39.35,39.57,38.73,2658887
2024-04-17,39.71,39.845,39.46,39.52,38.681,2809448
2024-04-18,39.74,39.74,39.29,39.65,38.8083,2332137
2024-04-19,39.93,40.08,39.39,39.47,38.6321,2808386
2024-04-22,39.78,40.82,39.525,40.4,39.5423,3272883
2024-04-23,40.4,41.18,40.25,41.02,40.1492,2646343
2024-04-24,40.78,41.06,40.54,40.93,40.0611,2161941
2024-04-25,40.75,40.79,39.765,40.23,39.3759,3568051
2024-04-26,40.21,40.42,39.965,40.13,39.2781,2013221
2024-04-29,40.18,40.955,40.07,40.64,39.7772,3262957
2024-04-30,40.3,40.71,40.05,40.37,39.513,3465078
2024-05-01,40.13,40.7,39.96,40.34,39.4836,3358151
2024-05-02,39.1,39.15,36.2006,36.91,36.1264,10810760
2024-05-03,37.23,37.43,36.5,36.89,36.1068,6246789
2024-05-06,37.05,37.105,36.285,36.51,35.7349,5784421
2024-05-07,36.77,36.805,35.965,36.12,35.3532,5717560
2024-05-08,35.99,36.21,35.71,35.75,34.9911,5194369
2024-05-09,35.75,35.95,35.57,35.95,35.1868,5067955
2024-05-10,35.62,36.15,35.545,35.69,34.9323,3962996
2024-05-13,35.7,36.08,35.39,35.43,34.6778,4461722
2024-05-14,35.47,35.755,34.94,35.24,34.4919,4472962
2024-05-15,35.36,35.57,35.245,35.43,34.6778,4907021
2024-05-16,35.48,35.575,35.115,35.17,34.4234,5884003
2024-05-17,35.18,35.435,34.88,35.25,34.5017,3583643
2024-05-20,35.2,35.34,34.925,35.02,34.2765,2307440
2024-05-21,35.02,35.1,34.415,34.45,33.7186,4961133
2024-05-22,34.38,34.7,34.345,34.35,33.6208,2781276
2024-05-23,34.04,34.2,33.58,34.0,33.2782,6329371
2024-05-24,34.36,34.385,33.78,33.9,33.1803,4982159
2024-05-28,33.76,34.085,33.52,33.85,33.1314,3571396
2024-05-29,33.7,33.87,33.15,33.19,32.4854,4258847
2024-05-30,33.0,33.575,33.0,33.43,32.7203,3888886
2024-05-31,33.23,34.11,33.2,34.09,33.6583,5923067
2024-06-03,33.9,34.38,33.71,34.08,33.6484,4443562
2024-06-04,34.0,34.16,33.235,33.3,32.8783,5622182
2024-06-05,33.27,33.27,32.76,33.19,32.7697,7123486
2024-06-06,33.15,33.53,32.9604,33.32,32.898,4846035
2024-06-07,33.15,33.41,32.879,33.16,32.74,5069494
2024-06-10,33.08,33.125,32.69,32.89,32.4735,4333662
2024-06-11,32.84,32.8899,32.48,32.87,32.4537,4439985
2024-06-12,33.16,33.52,32.895,33.31,32.8881,4349085
2024-06-13,33.15,33.79,32.905,33.74,33.3127,5476763
2024-06-14,33.56,33.83,33.405,33.78,33.3522,4085398
2024-06-17,33.51,34.19,33.46,33.91,33.4806,4010348
2024-06-18,34.0,34.162,33.665,33.73,33.3028,4219536
2024-06-20,33.58,34.24,33.5,34.0,33.5694,3964756
2024-06-21,34.09,34.36,33.95,34.29,33.8557,6949915
2024-06-24,34.27,34.366,33.92,34.19,33.757,3766571
2024-06-25,34.08,34.22,33.835,33.96,33.5299,3691130
2024-06-26,33.66,33.97,33.47,33.9,33.4707,3279871
2024-06-27,33.9,33.9,33.425,33.52,33.0955,3627953
2024-06-28,33.66,33.7525,33.1,33.45,33.0264,7320230
2024-07-01,33.5,34.18,33.06,33.06,32.6413,4474872
2024-07-02,33.1,33.28,32.69,32.85,32.434,3932252
2024-07-03,32.9,33.205,32.73,33.16,32.74,1988696
2024-07-05,33.28,35.2,32.795,34.91,34.4679,11285360
2024-07-08,34.77,34.87,33.41,33.61,33.1844,7364069
2024-07-09,33.79,34.11,33.38,34.01,33.5793,4687584
2024-07-10,33.9,34.3,33.67,34.25,33.8162,2990128
2024-07-11,34.48,35.39,34.48,35.22,34.774,4239212
2024-07-12,35.26,35.54,35.02,35.32,34.8727,3670920
2024-07-15,34.2,34.895,33.935,33.97,33.5398,3645120
2024-07-16,34.1,35.57,33.88,35.54,35.0899,11147570
2024-07-17,35.62,36.37,35.46,35.68,35.2281,6069096
2024-07-18,35.52,36.37,35.48,35.68,35.2281,5912236
2024-07-19,35.87,35.87,35.165,35.35,34.9023,4497448
2024-07-22,35.43,35.53,34.96,35.36,34.9122,3177261
2024-07-23,35.41,35.43,35.115,35.27,34.8233,4712688
2024-07-24,35.43,35.62,35.13,35.49,35.0405,3977995
2024-07-25,35.45,36.1,35.07,35.09,34.6456,3403417
2024-07-26,35.35,35.86,35.1,35.51,35.0603,3470476
2024-07-29,35.56,36.1975,35.43,36.02,35.5638,3825105
2024-07-30,35.79,36.24,35.765,35.91,35.4552,3242934
2024-07-31,35.91,36.335,35.72,35.82,35.3664,5260956
2024-08-01,35.95,36.08,34.78,36.01,35.554,9462777
2024-08-02,35.96,36.06,34.905,35.27,34.8233,6025420
2024-08-05,35.26,35.5,34.17,34.64,34.2013,6023144
2024-08-06,34.98,37.66,33.95,36.92,36.4524,11776860
2024-08-07,37.52,37.89,36.525,36.59,36.1266,5157621
2024-08-08,36.68,37.54,36.44,37.42,36.9461,3730624
2024-08-09,37.4,37.685,37.07,37.15,36.6795,3892882
2024-08-12,37.15,37.5,36.9,36.93,36.4623,2839808
2024-08-13,35.5,36.18,33.85,34.51,34.073,9722800
2024-08-14,34.82,35.63,34.58,35.53,35.08,6968690
2024-08-15,35.77,36.1,35.58,35.73,35.2775,4298207
2024-08-16,35.8,36.26,35.61,36.12,35.6626,2923900
2024-08-19,36.12,36.49,36.1,36.46,35.9983,2476973
2024-08-20,36.34,36.45,35.98,36.22,35.7613,2947252
2024-08-21,36.36,36.5,36.04,36.18,35.7218,2577870
2024-08-22,36.39,36.73,36.28,36.49,36.0279,3393201
2024-08-23,36.66,37.59,36.55,37.54,37.0646,2702266
2024-08-26,37.62,38.39,37.45,37.93,37.4496,2397135
2024-08-27,37.94,38.12,37.81,37.91,37.4299,2621943
2024-08-28,37.94,38.095,37.44,37.82,37.341,2339852
2024-08-29,38.05,38.41,37.61,38.16,37.6767,2353459
2024-08-30,37.96,38.47,37.74,37.94,37.7464,4248884
2024-09-03,37.83,38.4,37.715,37.85,37.6568,3255440
2024-09-04,37.6,38.335,37.38,37.53,37.3385,2640008
2024-09-05,37.57,39.01,37.13,38.82,38.6219,6375743
2024-09-06,38.82,39.48,38.41,38.96,38.7612,6154937
2024-09-09,39.05,39.72,38.6,39.23,39.0298,3393047
2024-09-10,39.23,39.42,38.9,39.21,39.0099,4575969
2024-09-11,39.03,39.35,38.49,39.27,39.0696,3649323
