date,open,high,low,close,adjusted_close,volume
2024-01-16,235.06,237.58,232.74,235.0,231.0791,1585900
2024-01-17,233.87,236.78,233.0,234.3,230.3907,1018000
2024-01-18,234.18,236.33,233.28,235.0,231.0791,1210800
2024-01-19,235.22,236.12,233.38,235.89,231.9542,1255500
2024-01-22,237.0,239.12,235.46,235.89,231.9542,909700
2024-01-23,236.18,238.33,235.9,238.3,234.324,1219200
2024-01-24,237.97,239.21,234.51,234.57,230.6562,1317900
2024-01-25,235.7,236.75,233.86,236.57,232.6229,841000
2024-01-26,237.8,238.76,235.47,236.65,232.7015,892200
2024-01-29,236.32,237.98,235.81,237.85,233.8815,1084000
2024-01-30,238.5,238.94,236.11,236.21,232.2689,1485700
2024-01-31,237.96,241.15,236.8,238.81,234.8255,2355700
2024-02-01,237.5,242.35,233.14,242.35,238.3064,3146300
2024-02-02,244.67,246.3,236.71,237.19,233.2325,1724300
2024-02-05,236.98,238.59,234.74,235.07,231.1479,1688100
2024-02-06,235.46,240.69,235.13,238.68,234.6977,1671200
2024-02-07,239.04,242.34,238.8,239.48,235.4843,1612500
2024-02-08,238.47,243.69,238.47,240.71,236.6938,1643600
2024-02-09,240.96,244.05,240.32,243.75,239.6831,2095500
2024-02-12,243.36,246.0,241.31,243.37,239.3094,1453400
2024-02-13,243.47,245.22,237.36,239.07,235.0811,1908600
2024-02-14,239.01,239.55,236.93,238.61,234.6288,1599900
2024-02-15,238.88,242.3,238.48,239.96,235.9563,1226400
2024-02-16,239.81,243.98,238.27,240.76,236.7429,1582400
2024-02-20,240.76,243.4,239.5,240.66,236.6446,1193900
2024-02-21,240.73,245.51,240.1,245.32,241.2269,1623800
2024-02-22,245.2,245.52,240.76,243.62,239.5552,1305800
2024-02-23,243.95,246.6,242.9,246.2,242.0922,992700
2024-02-26,245.87,246.24,241.55,241.72,237.6869,939400
2024-02-27,240.81,243.43,240.51,241.24,237.2149,919000
2024-02-28,240.93,242.34,238.84,239.15,235.1598,829200
2024-02-29,239.58,239.58,235.06,235.55,231.6199,1812900
2024-03-01,235.41,236.34,233.41,235.31,231.3839,1821300
2024-03-04,234.37,236.53,233.55,235.65,231.7182,1930700
2024-03-05,237.27,238.61,233.12,233.45,229.5549,1335700
2024-03-06,233.36,236.67,233.06,235.6,231.669,1335300
2024-03-07,237.07,238.77,235.94,237.62,234.6013,1854800
2024-03-08,237.61,241.47,236.37,239.9,236.8523,1692700
2024-03-11,239.68,242.38,238.54,239.5,236.4574,964200
2024-03-12,238.46,239.45,237.24,237.82,234.7988,1219900
2024-03-13,238.13,241.45,237.33,238.8,235.7663,961400
2024-03-14,238.29,239.72,235.19,237.17,234.157,1121600
2024-03-15,232.18,237.76,232.18,236.71,233.7029,2686000
2024-03-18,237.61,239.46,236.42,237.72,234.7,1141800
2024-03-19,238.19,240.34,237.93,240.24,237.188,1070400
2024-03-20,239.86,240.6,236.34,237.87,234.8481,784000
2024-03-21,238.96,241.98,237.69,241.62,238.5505,1357000
2024-03-22,242.9,246.66,242.05,246.25,243.1217,2230100
2024-03-25,245.35,245.76,240.55,241.67,238.5999,1755300
2024-03-26,242.21,242.86,240.59,241.88,238.8072,879000
2024-03-27,243.27,246.59,242.69,246.53,243.3981,839600
2024-03-28,246.73,248.42,245.33,247.45,244.3064,1093900
2024-04-01,247.12,247.81,242.73,244.05,240.9496,667300
2024-04-02,242.92,243.13,240.24,241.02,237.9581,1227600
2024-04-03,241.53,245.25,240.32,243.59,240.4955,1215800
2024-04-04,245.79,246.92,242.94,243.05,239.9623,952600
2024-04-05,243.05,246.28,242.25,246.17,243.0427,1234600
2024-04-08,245.61,245.61,241.56,241.72,238.6492,2086000
2024-04-09,242.67,246.1,241.02,245.81,242.6873,945000
2024-04-10,243.35,243.74,239.22,240.99,237.9285,831400
2024-04-11,240.93,243.3,239.64,240.61,237.5533,1010500
2024-04-12,239.13,240.02,233.74,235.17,232.1824,1028400
2024-04-15,237.11,238.07,234.63,234.72,231.7382,872300
2024-04-16,234.82,235.1,230.71,231.01,228.0753,1064100
2024-04-17,230.74,232.64,229.4,232.21,229.26,1510600
2024-04-18,232.61,233.25,230.47,233.15,230.1881,891600
2024-04-19,234.7,235.63,233.07,234.12,231.1458,1265200
2024-04-22,234.72,236.07,233.33,233.88,230.9088,768400
2024-04-23,234.58,236.18,233.4,234.36,231.3827,800500
2024-04-24,232.33,234.57,230.03,233.83,230.8595,779800
2024-04-25,233.91,234.69,230.4,230.48,227.552,885100
2024-04-26,230.0,233.16,230.0,231.55,228.6084,738200
2024-04-29,231.84,234.5,231.84,233.44,230.4744,913000
2024-04-30,232.81,234.83,232.06,234.6,231.6197,1685900
2024-05-01,234.03,236.09,232.46,233.72,230.7509,2721600
2024-05-02,243.0,243.28,230.25,240.35,237.2966,3789500
2024-05-03,238.77,242.29,234.13,234.68,231.6987,1722300
2024-05-06,236.81,238.0,235.56,236.58,233.5745,1255400
2024-05-07,237.86,239.57,236.11,237.15,234.1373,1120100
2024-05-08,237.01,237.01,233.18,233.58,230.6126,1749900
2024-05-09,234.14,236.45,233.92,235.0,232.0146,1921800
2024-05-10,235.0,236.32,233.73,235.67,232.6761,2034400
2024-05-13,236.6,238.47,235.29,236.95,233.9398,1073200
2024-05-14,238.03,238.95,234.37,235.0,232.0146,1049500
2024-05-15,236.04,237.72,234.58,237.29,234.2755,1168000
2024-05-16,236.65,238.34,235.56,236.62,233.614,1291500
2024-05-17,237.09,237.09,234.73,236.3,233.2981,1785000
2024-05-20,236.41,237.32,234.9,237.13,234.1175,967100
2024-05-21,237.67,238.17,234.27,234.86,231.8764,1557700
2024-05-22,234.43,236.05,234.03,234.45,231.4716,1364200
2024-05-23,233.77,234.57,229.55,230.35,227.4237,1302600
2024-05-24,230.03,230.71,228.09,228.79,225.8835,1373400
2024-05-28,227.38,228.4,225.6,226.8,223.9188,1452800
2024-05-29,225.2,226.43,224.0,225.07,222.2107,2680500
2024-05-30,225.37,226.94,224.0,226.78,223.899,1691700
2024-05-31,227.21,232.21,226.32,231.97,229.0231,4733900
2024-06-03,235.0,241.69,233.82,238.84,235.8058,2081200
2024-06-04,239.12,239.75,237.19,238.5,235.4701,2104700
2024-06-05,238.23,239.19,235.19,236.3,233.2981,1166700
2024-06-06,235.48,240.8,234.67,240.17,237.1189,1749800
2024-06-07,239.22,243.22,238.05,240.63,237.5731,1571000
2024-06-10,239.31,240.39,237.48,239.51,237.4046,777000
2024-06-11,238.65,239.2,234.62,234.94,232.8747,1132900
2024-06-12,234.4,235.4,233.15,233.99,231.9331,1101500
2024-06-13,233.0,233.67,229.33,231.97,229.9308,869000
2024-06-14,232.6,233.97,230.75,233.73,231.6754,1053900
2024-06-17,232.63,234.16,230.5,232.75,230.704,1288600
2024-06-18,232.41,234.76,231.94,233.73,231.6754,1035800
2024-06-20,233.15,239.26,232.08,238.4,236.3043,1655700
2024-06-21,239.58,239.58,237.27,238.29,236.1953,2014700
2024-06-24,238.73,239.56,235.33,235.91,233.8362,895700
2024-06-25,235.28,235.51,233.18,233.87,231.8141,1028900
2024-06-26,234.06,234.61,230.69,231.62,229.5839,1695400
2024-06-27,232.28,232.98,229.07,230.94,228.9099,1471800
2024-06-28,232.27,234.84,230.51,233.71,231.6556,2404000
2024-07-01,233.76,237.71,229.12,229.27,227.2546,1057800
2024-07-02,229.06,231.14,227.69,229.24,227.2248,663000
2024-07-03,228.0,229.32,227.5,228.84,226.8284,509800
2024-07-05,228.68,228.68,225.97,227.76,225.7579,617100
2024-07-08,227.76,228.59,225.19,225.54,223.5574,826400
2024-07-09,225.24,225.74,220.65,221.47,219.5232,1603000
2024-07-10,221.41,226.62,218.75,223.87,221.9021,2109900
2024-07-11,224.58,227.46,224.17,224.94,222.9626,1849400
2024-07-12,225.5,230.34,224.63,229.11,227.096,2220600
2024-07-15,229.0,230.77,225.81,226.08,224.0926,1260800
2024-07-16,226.71,230.97,225.4,230.7,228.672,1147600
2024-07-17,230.55,235.3,229.77,234.05,231.9926,1228400
2024-07-18,231.5,235.55,231.49,231.74,229.7029,1063300
2024-07-19,235.05,235.05,229.45,230.74,228.7117,1074800
2024-07-22,231.27,232.22,229.04,231.09,229.0586,866700
2024-07-23,232.0,234.45,230.37,234.33,232.2701,1353900
2024-07-24,235.45,238.17,234.46,237.34,235.2536,1226400
2024-07-25,237.34,241.6,231.82,232.78,230.7337,2070400
2024-07-26,234.78,239.22,232.38,237.3,235.214,1384400
2024-07-29,236.95,238.87,233.87,237.84,235.7492,1032700
