date,open,high,low,close,adjusted_close,volume
2024-01-16,247.0,247.56,244.0,246.19,246.19,1055800
2024-01-17,244.71,246.19,242.52,245.27,245.27,773100
2024-01-18,243.89,247.98,240.83,246.97,246.97,1172000
2024-01-19,246.96,251.28,244.43,249.96,249.96,2315000
2024-01-22,250.3,252.17,247.07,248.3,248.3,787200
2024-01-23,249.13,251.92,248.01,251.68,251.68,728000
2024-01-24,248.34,250.8,246.97,247.16,247.16,855100
2024-01-25,247.22,249.47,245.24,246.21,246.21,695900
2024-01-26,247.36,248.07,244.41,244.82,244.82,540800
2024-01-29,243.41,248.34,242.42,247.52,247.52,681400
2024-01-30,245.98,248.36,243.58,247.08,247.08,815600
2024-01-31,247.67,251.99,246.24,246.66,246.66,1119900
2024-02-01,245.4,249.33,240.0,247.83,247.83,955500
2024-02-02,245.93,246.39,241.53,243.72,243.72,861400
2024-02-05,242.21,245.23,240.5,241.84,241.84,858600
2024-02-06,241.0,245.88,239.96,245.55,245.55,1304800
2024-02-07,246.44,246.44,240.54,240.54,240.54,773800
2024-02-08,239.89,240.54,237.52,240.3,240.3,743700
2024-02-09,239.88,241.36,238.9,240.98,240.98,689900
2024-02-12,239.45,244.95,239.45,244.74,244.74,962000
2024-02-13,235.64,237.0,225.28,226.65,226.65,3403600
2024-02-14,227.01,227.99,220.56,220.74,220.74,2220600
2024-02-15,221.15,225.0,220.07,223.35,223.35,1307700
2024-02-16,221.15,221.75,217.53,219.08,219.08,1768100
2024-02-20,217.56,220.25,215.68,219.21,219.21,1919600
2024-02-21,221.49,223.41,219.0,221.11,221.11,1055000
2024-02-22,221.23,223.22,218.69,222.48,222.48,901100
2024-02-23,223.43,225.8,221.5,223.32,223.32,911000
2024-02-26,222.52,224.99,222.0,223.71,223.71,774500
2024-02-27,223.72,224.87,220.2,223.94,223.94,983100
2024-02-28,222.25,224.12,221.0,221.74,221.74,1038400
2024-02-29,221.76,224.0,216.7,216.99,216.99,1917800
2024-03-01,217.46,222.02,215.35,220.95,220.95,1085400
2024-03-04,221.17,222.92,219.76,221.02,221.02,1083600
2024-03-05,219.65,221.5,216.5,217.23,217.23,890400
2024-03-06,217.47,219.99,216.8,217.56,217.56,1441400
2024-03-07,219.92,219.92,216.69,219.36,219.36,1150300
2024-03-08,225.45,228.36,221.98,223.24,223.24,1657800
2024-03-11,223.3,230.22,223.24,230.07,230.07,1218200
2024-03-12,229.34,229.75,225.35,227.36,227.36,1068900
2024-03-13,228.76,229.9,224.93,226.56,226.56,1481100
2024-03-14,225.25,226.02,218.58,219.62,219.62,1611500
2024-03-15,219.15,221.31,216.8,219.31,219.31,2407100
2024-03-18,220.34,220.56,217.53,219.4,219.4,1356500
2024-03-19,218.35,219.02,215.59,218.63,218.63,1518800
2024-03-20,217.18,219.36,216.53,218.15,218.15,945000
2024-03-21,219.33,221.74,217.95,220.75,220.75,1001100
2024-03-22,221.3,221.3,215.36,218.1,218.1,1070900
2024-03-25,217.77,218.26,215.59,216.69,216.69,725900
2024-03-26,216.15,216.67,211.02,212.02,212.02,1589800
2024-03-27,213.75,216.34,212.92,216.34,216.34,1250000
2024-03-28,217.36,217.57,214.0,215.63,215.63,1912200
2024-04-01,215.69,215.69,212.56,214.83,214.83,850300
2024-04-02,213.09,213.44,207.58,207.64,207.64,1462800
2024-04-03,207.71,208.7,205.36,206.38,206.38,904500
2024-04-04,207.24,210.0,205.22,205.3,205.3,776400
2024-04-05,204.28,205.19,202.18,203.87,203.87,954500
2024-04-08,203.89,205.77,202.91,204.95,204.95,723700
2024-04-09,205.02,209.06,205.02,206.52,206.52,969000
2024-04-10,203.0,203.99,200.65,201.55,201.55,900900
2024-04-11,202.76,204.74,200.92,203.68,203.68,1019100
2024-04-12,204.23,205.24,197.78,198.18,198.18,1245900
2024-04-15,198.73,199.53,196.4,196.8,196.8,1159200
2024-04-16,196.2,197.73,194.94,195.15,195.15,871900
2024-04-17,196.36,196.36,192.01,192.16,192.16,1320600
2024-04-18,191.75,192.56,189.52,190.52,190.52,1512000
2024-04-19,190.72,194.53,189.44,194.38,194.38,1599600
2024-04-22,196.19,196.78,193.23,194.11,194.11,1119500
2024-04-23,193.34,195.86,192.75,193.18,193.18,1461700
2024-04-24,198.97,205.75,198.97,201.99,201.99,3265700
2024-04-25,201.21,205.36,198.11,202.46,202.46,1590100
2024-04-26,201.22,210.83,199.1,208.9,208.9,1894100
2024-04-29,208.99,218.86,208.54,215.5,215.5,2068000
