date,open,high,low,close,adjusted_close,volume
2024-01-16,316.08,317.3,312.37,315.22,315.22,171600
2024-01-17,311.6,319.16,303.21,304.12,304.12,134000
2024-01-18,304.46,308.26,303.21,304.11,304.11,307000
2024-01-19,304.55,307.59,302.65,306.62,306.62,281000
2024-01-22,307.71,315.05,307.71,312.84,312.84,147800
2024-01-23,316.44,316.76,311.08,315.25,315.25,150800
2024-01-24,316.31,318.61,314.37,316.56,316.56,210300
2024-01-25,321.34,324.6,316.01,316.3,316.3,312280
2024-01-26,333.51,338.19,327.66,329.05,329.05,358645
2024-01-29,327.69,331.94,326.335,330.04,330.04,230817
2024-01-30,330.44,334.59,329.05,332.41,332.41,155019
2024-01-31,334.68,334.68,320.89,320.89,320.89,186317
2024-02-01,320.36,329.41,320.36,328.96,328.96,145539
2024-02-02,325.6,327.17,318.431,320.43,320.43,172086
2024-02-05,319.0,322.015,316.22,318.72,318.72,102129
2024-02-06,319.8,325.725,319.305,325.01,325.01,184652
2024-02-07,327.74,328.39,321.62,325.16,325.16,180091
2024-02-08,322.74,328.52,322.74,326.11,326.11,131864
2024-02-09,326.11,327.485,322.6242,325.22,325.22,116135
2024-02-12,325.92,328.79,324.56,326.31,326.31,155215
2024-02-13,322.0,323.195,312.175,316.1,316.1,200525
2024-02-14,317.84,328.13,315.8938,327.91,327.91,174035
2024-02-15,326.75,334.85,326.75,328.73,328.73,230836
2024-02-16,350.0,364.24,335.71,340.52,340.52,518564
2024-02-20,337.3,346.11,337.3,343.76,343.76,296819
2024-02-21,341.86,350.33,335.15,338.64,338.64,571119
2024-02-22,341.27,342.0,336.08,338.47,338.47,390382
2024-02-23,340.6,341.37,336.375,337.99,337.99,277109
2024-02-26,336.67,339.01,335.82,338.16,338.16,267368
2024-02-27,340.21,340.21,328.41,329.74,329.74,200257
2024-02-28,329.73,331.68,326.76,330.35,330.35,223295
2024-02-29,331.66,334.99,325.19,325.88,325.88,279300
2024-03-01,324.93,335.98,322.03,332.3,332.3,310200
2024-03-04,332.87,338.68,331.91,334.67,334.67,145460
2024-03-05,332.91,336.5,329.93,330.94,330.94,196773
2024-03-06,334.22,339.49,331.14,333.25,333.25,145729
2024-03-07,335.82,339.4,334.22,339.4,339.4,116794
2024-03-08,339.4,345.31,339.4,343.76,343.76,141105
2024-03-11,343.72,347.99,341.6446,344.25,344.25,112420
2024-03-12,344.31,344.31,336.345,337.22,337.22,148803
2024-03-13,338.42,340.79,334.78,336.43,336.43,129212
2024-03-14,334.47,335.68,329.16,332.4,332.4,152994
2024-03-15,328.14,336.364,328.14,333.51,333.51,166887
2024-03-18,333.87,336.725,332.63,333.43,333.43,146282
2024-03-19,331.68,337.23,329.28,336.48,336.48,127922
2024-03-20,334.5,338.0399,332.22,336.29,336.29,172239
2024-03-21,339.65,352.565,337.25,351.99,351.99,210996
2024-03-22,354.07,360.13,350.43,350.46,350.46,327577
2024-03-25,350.06,350.06,337.1485,341.11,341.11,167589
2024-03-26,342.77,343.83,340.035,340.52,340.52,109912
2024-03-27,342.63,350.09,339.2,349.56,349.56,189652
2024-03-28,350.32,350.32,345.045,345.87,345.87,137931
2024-04-01,346.83,346.83,337.21,338.98,338.98,261935
2024-04-02,335.77,337.445,328.435,328.72,328.72,225677
2024-04-03,322.13,333.295,322.13,328.18,328.18,200259
2024-04-04,330.5,331.93,322.02,322.83,322.83,130209
2024-04-05,322.38,328.3675,322.38,324.59,324.59,159031
2024-04-08,324.6,329.31,324.52,326.32,326.32,201320
