date,open,high,low,close,adjusted_close,volume
2024-01-16,50.3,50.59,49.82,50.0,47.6202,13824700
2024-01-17,49.55,50.07,48.95,49.98,47.6012,16425400
2024-01-18,49.62,50.17,48.63,50.09,47.7059,18463800
2024-01-19,50.11,50.21,49.43,50.11,47.725,23077900
2024-01-22,50.26,50.32,49.5,49.57,47.2107,13818600
2024-01-23,49.68,50.42,49.49,50.12,47.7345,12555700
2024-01-24,50.2,50.62,50.07,50.24,47.8488,11838300
2024-01-25,50.26,50.34,49.44,49.61,47.2488,17639600
2024-01-26,49.96,50.2,49.65,49.7,47.3345,10855500
2024-01-29,49.62,49.88,49.45,49.87,47.4964,11746600
2024-01-30,50.05,50.18,49.25,49.39,47.0393,11605600
2024-01-31,49.71,50.02,48.84,48.87,46.544,18997600
2024-02-01,48.85,48.85,48.13,48.67,46.3535,20416300
2024-02-02,49.27,50.01,48.08,48.71,46.3916,27988500
2024-02-05,48.52,48.56,47.68,47.98,45.6964,15535600
2024-02-06,47.95,49.98,47.58,49.26,46.9154,22693800
2024-02-07,49.19,49.36,48.02,48.64,46.325,17973100
2024-02-08,48.44,48.77,48.11,48.71,46.3916,13577900
2024-02-09,48.7,49.83,48.49,49.81,47.4393,15413400
2024-02-12,49.82,50.05,49.21,49.75,47.3821,14973600
2024-02-13,49.66,49.9,48.31,48.71,46.3916,15828100
2024-02-14,48.82,49.04,48.45,48.89,46.5631,10866900
2024-02-15,49.01,50.28,48.83,49.44,47.0869,13425800
2024-02-16,49.31,49.87,48.93,49.86,47.4869,13174100
2024-02-20,49.89,50.45,49.67,49.86,47.4869,13778800
2024-02-21,49.93,50.93,49.54,50.91,48.4869,12286900
2024-02-22,50.58,51.41,50.33,51.33,48.8869,12862900
2024-02-23,51.4,51.92,50.73,51.66,49.2012,11052500
2024-02-26,51.56,51.68,50.47,50.52,48.1155,9690400
2024-02-27,50.57,50.72,50.15,50.51,48.106,8145100
2024-02-28,50.51,50.97,50.37,50.92,48.4964,7974500
2024-02-29,50.96,51.17,50.28,50.75,48.3345,14655700
2024-03-01,50.94,51.08,50.44,50.89,48.4679,10890600
2024-03-04,51.28,52.2,50.72,50.92,48.4964,19033400
2024-03-05,51.01,52.11,50.99,51.82,49.3536,15110700
2024-03-06,52.34,53.81,52.25,53.38,50.8394,21692300
2024-03-07,53.57,53.75,52.98,53.28,50.7441,17233100
2024-03-08,53.48,54.26,53.33,53.79,51.2298,17477500
2024-03-11,53.9,54.56,53.74,54.36,51.7727,15646400
2024-03-12,54.33,54.6,53.82,54.4,51.8108,14269100
2024-03-13,54.33,55.04,52.6,52.65,50.1441,26855200
2024-03-14,52.57,52.68,51.81,52.49,49.9917,14430200
2024-03-15,52.32,53.2,51.95,52.34,49.8489,123579800
2024-03-18,52.58,52.7,51.53,51.59,49.1346,19738700
2024-03-19,51.76,51.93,51.39,51.8,49.3346,14593200
2024-03-20,51.63,52.16,51.27,51.88,49.4107,10436300
2024-03-21,51.91,52.65,51.56,51.59,49.1346,12625100
2024-03-22,51.65,52.45,51.52,51.93,49.4584,11727500
2024-03-25,52.08,52.74,51.91,52.25,49.7631,12348100
2024-03-26,52.39,52.65,52.04,52.55,50.0489,9952000
2024-03-27,53.0,53.69,52.85,53.25,50.7155,13077600
2024-03-28,53.39,54.48,53.39,54.23,51.6489,14348200
2024-04-01,54.17,54.23,52.96,52.99,50.4679,9520400
2024-04-02,53.1,53.35,52.53,52.74,50.2298,10234300
2024-04-03,52.75,52.87,52.1,52.18,49.6965,10434600
2024-04-04,51.94,52.09,51.2,51.4,49.523,10993700
2024-04-05,51.19,51.45,50.77,51.32,49.446,9093900
2024-04-08,51.28,51.3,50.86,51.1,49.234,12258500
2024-04-09,51.13,51.68,51.07,51.6,49.7157,9487700
2024-04-10,51.04,51.29,50.28,50.29,48.4536,11492800
2024-04-11,50.46,50.58,49.11,49.12,47.3263,11781000
2024-04-12,49.04,49.09,48.26,48.28,46.517,12455000
2024-04-15,48.36,49.1,48.12,48.51,46.7386,11943600
2024-04-16,48.45,48.6,48.24,48.26,46.4977,11931300
2024-04-17,48.44,48.55,47.7,47.84,46.093,11763100
2024-04-18,47.93,48.41,47.62,48.3,46.5362,10917600
2024-04-19,48.21,49.05,48.12,48.93,47.1432,10303900
2024-04-22,49.0,49.56,48.87,49.14,47.3456,7929500
2024-04-23,49.16,49.47,48.96,48.99,47.201,9153300
2024-04-24,49.0,49.05,48.55,48.86,47.0758,16057100
2024-04-25,47.39,47.5,44.37,44.7,43.0677,45069000
2024-04-26,44.68,45.37,44.34,44.85,43.2122,21281900
2024-04-29,45.09,45.38,44.53,44.64,43.0099,16416300
2024-04-30,44.4,44.76,43.93,43.94,42.3355,17716000
2024-05-01,43.97,44.47,43.73,44.21,42.5956,13246100
2024-05-02,44.36,44.42,43.33,43.7,42.1042,15962600
2024-05-03,43.9,44.33,43.69,43.99,42.3836,12104500
2024-05-06,44.16,44.62,43.78,43.9,42.2969,9127700
2024-05-07,43.98,44.26,43.84,44.04,42.4318,11026900
2024-05-08,44.0,44.22,43.56,43.67,42.0753,11928300
2024-05-09,43.56,44.81,43.5,44.74,43.1062,10776300
2024-05-10,44.75,44.97,44.3,44.94,43.2989,8699600
2024-05-13,44.88,45.32,44.83,45.06,43.4146,12642400
2024-05-14,45.38,45.72,44.53,44.71,43.0773,14536500
2024-05-15,45.0,45.17,44.48,44.55,42.9232,14179400
2024-05-16,44.47,44.53,43.68,44.11,42.4992,15765700
2024-05-17,44.3,44.3,43.73,44.03,42.4222,15788000
2024-05-20,44.0,44.05,43.31,43.36,41.7766,10376900
2024-05-21,43.14,43.43,42.25,42.27,40.7264,17576800
2024-05-22,42.22,42.99,41.91,42.34,40.7939,16786000
2024-05-23,41.92,42.27,41.46,41.54,40.0231,12438000
2024-05-24,41.41,41.68,41.07,41.24,39.7341,17420200
2024-05-28,41.22,41.33,40.38,40.49,39.0114,14674500
2024-05-29,40.28,40.7,39.94,40.25,38.7802,16492500
2024-05-30,40.14,40.6,39.91,40.25,38.7802,16114000
2024-05-31,40.25,41.16,40.13,41.09,39.5895,29396300
2024-06-03,41.16,42.39,41.13,41.77,40.2447,13678700
2024-06-04,41.75,42.08,41.39,41.75,40.2254,12230000
2024-06-05,41.68,41.68,40.92,41.24,39.7341,12401200
2024-06-06,40.86,41.29,40.7,40.88,39.3872,10282800
2024-06-07,40.85,41.58,40.77,41.48,39.9653,13665500
2024-06-10,41.4,42.72,41.36,42.57,41.0155,13461800
2024-06-11,42.53,43.05,41.88,43.02,41.4491,12637100
2024-06-12,43.09,43.19,42.22,42.41,40.8613,9433200
2024-06-13,42.46,42.64,41.07,41.48,39.9653,17023700
2024-06-14,41.41,41.86,40.75,41.2,39.6955,14271100
2024-06-17,41.07,41.34,40.44,40.97,39.4739,18782500
2024-06-18,41.02,41.24,40.09,40.81,39.3198,18747200
2024-06-20,40.55,41.19,39.63,41.04,39.5414,18639600
2024-06-21,41.26,41.95,41.07,41.93,40.3989,35830700
2024-06-24,42.0,42.35,41.81,42.23,40.6879,14845100
2024-06-25,42.02,42.37,41.58,42.19,40.6494,16106600
2024-06-26,42.11,43.04,41.71,42.5,40.948,19824600
2024-06-27,42.43,42.5,41.48,41.51,39.9942,17435000
2024-06-28,41.71,42.48,41.41,41.53,40.0135,20542700
2024-07-01,41.65,42.27,41.14,41.3,39.7919,18268400
2024-07-02,41.26,41.35,40.41,40.45,38.9729,18280200
2024-07-03,40.42,40.66,40.03,40.06,38.5971,9131500
2024-07-05,39.74,39.75,39.35,39.66,38.7928,12824400
2024-07-08,39.64,40.11,39.5,39.99,39.1156,13372700
2024-07-09,39.81,40.9,39.71,40.86,39.9665,16368900
2024-07-10,40.87,41.17,40.44,41.12,40.2208,9672700
2024-07-11,41.25,41.66,40.69,40.75,39.8589,17883000
2024-07-12,41.07,41.14,40.35,40.46,39.5753,16677500
2024-07-15,40.63,40.65,39.92,40.15,39.2721,17858100
2024-07-16,40.15,41.27,40.09,41.2,40.2991,13739600
2024-07-17,41.2,43.52,41.2,43.15,42.2065,18639200
2024-07-18,42.44,44.24,42.37,42.39,41.4631,19434500
2024-07-19,42.63,42.83,41.61,42.64,41.7076,12839900
2024-07-22,42.43,42.98,42.37,42.67,41.7369,10115500
2024-07-23,42.44,43.08,41.9,42.98,42.0402,17688600
2024-07-24,43.25,44.78,43.25,44.66,43.6834,20392800
2024-07-25,44.79,45.97,44.49,45.27,44.2801,22050100
2024-07-26,48.27,50.61,47.73,50.45,49.3468,36636400
2024-07-29,49.92,51.19,48.97,48.98,47.909,22280200
