date,open,high,low,close,adjusted_close,volume
2024-01-16,59.81,60.485,59.61,60.25,60.25,5780052
2024-01-17,60.04,61.005,60.01,60.96,60.96,9442393
2024-01-18,60.94,61.46,60.35,61.05,61.05,8712282
2024-01-19,61.08,61.16,60.605,60.94,60.94,6584085
2024-01-22,61.3,61.4,60.55,60.74,60.74,6417822
2024-01-23,60.8,60.949,60.137,60.62,60.62,5119296
2024-01-24,60.51,60.81,59.85,59.92,59.92,11290570
2024-01-25,60.27,60.86,59.97,60.83,60.83,6908078
2024-01-26,61.08,61.31,60.72,61.13,61.13,5748411
2024-01-29,60.91,61.34,60.78,61.31,61.31,5560158
2024-01-30,61.32,61.47,61.085,61.42,61.42,7257091
2024-01-31,64.0,64.49,62.635,63.26,63.26,13910770
2024-02-01,64.47,64.905,63.39,64.82,64.82,10526970
2024-02-02,65.0,65.0,64.105,64.37,64.37,10866050
2024-02-05,64.43,65.0001,64.142,64.46,64.46,7197561
2024-02-06,64.68,64.83,64.08,64.79,64.79,5522155
2024-02-07,64.85,65.43,64.785,65.23,65.23,6807876
2024-02-08,65.05,65.135,64.39,65.02,65.02,6823693
2024-02-09,65.06,65.605,64.85,65.5,65.5,7161773
2024-02-12,65.39,65.435,64.56,64.99,64.99,4659272
2024-02-13,64.81,65.4075,64.545,64.97,64.97,6911675
2024-02-14,65.29,66.0,65.005,65.95,65.95,5498113
2024-02-15,66.12,66.23,65.485,66.09,66.09,5718561
2024-02-16,66.35,66.86,65.76,65.82,65.82,7300469
2024-02-20,65.86,66.66,65.79,66.22,66.22,7580418
2024-02-21,66.15,66.35,65.335,65.75,65.75,6759860
2024-02-22,65.76,66.9075,65.75,66.74,66.74,4872379
2024-02-23,66.89,67.32,66.65,67.0,67.0,4599932
2024-02-26,67.07,67.32,66.64,66.67,66.67,4368914
2024-02-27,66.26,66.71,66.15,66.43,66.43,4021009
2024-02-28,66.46,67.0,66.297,66.99,66.99,4740486
2024-02-29,66.83,66.83,65.995,66.21,66.21,9710756
2024-03-01,66.35,67.4,66.3,67.13,67.13,5664190
2024-03-04,67.11,67.45,66.8,67.43,67.43,7853647
2024-03-05,67.6,67.6725,66.77,67.02,67.02,7039289
2024-03-06,67.1,67.435,66.84,67.42,67.42,6401048
2024-03-07,67.7,68.0,67.42,67.82,67.82,5283101
2024-03-08,67.78,68.065,67.33,67.66,67.66,6257814
2024-03-11,67.53,67.69,66.035,66.12,66.12,7995762
2024-03-12,66.05,67.68,66.04,67.49,67.49,6462540
2024-03-13,67.6,67.6001,65.98,66.04,66.04,9236134
2024-03-14,65.94,66.91,65.52,66.86,66.86,7327729
2024-03-15,66.06,66.91,65.87,66.23,66.23,8850950
2024-03-18,66.19,67.425,66.16,67.24,67.24,5833683
2024-03-19,67.44,67.84,67.03,67.79,67.79,5417145
2024-03-20,67.72,67.825,67.035,67.44,67.44,3882507
2024-03-21,67.43,67.84,67.31,67.56,67.56,4165681
2024-03-22,67.21,67.865,66.911,67.62,67.62,4463370
2024-03-25,67.65,67.85,67.275,67.29,67.29,3321802
2024-03-26,67.37,68.125,67.37,67.94,67.94,5308830
2024-03-27,68.26,68.66,67.9,68.62,68.62,4069747
2024-03-28,68.72,68.915,68.33,68.49,68.49,6533625
2024-04-01,68.42,68.54,67.9,68.1,68.1,2970096
2024-04-02,67.69,67.92,67.09,67.45,67.45,4895374
2024-04-03,67.7,68.57,67.565,68.13,68.13,6590938
2024-04-04,68.7,69.2,67.685,67.75,67.75,5834144
2024-04-05,67.98,68.785,67.83,68.56,68.56,5342333
2024-04-08,68.52,68.795,68.031,68.69,68.69,4912625
2024-04-09,68.94,68.94,67.95,68.66,68.66,4917465
2024-04-10,68.02,68.795,67.943,68.65,68.65,5200008
2024-04-11,68.93,69.21,68.535,68.84,68.84,6439168
2024-04-12,68.27,68.53,67.76,68.07,68.07,4995155
2024-04-15,68.73,68.96,67.4,67.44,67.44,6527104
2024-04-16,67.71,68.665,67.37,68.12,68.12,6619233
2024-04-17,68.17,68.33,67.455,67.96,67.96,6177611
2024-04-18,68.05,68.2,67.215,67.42,67.42,5946798
2024-04-19,67.87,68.08,66.905,67.33,67.33,6966282
2024-04-22,67.63,68.605,66.8,68.02,68.02,7659790
2024-04-23,68.32,69.0,67.8,68.99,68.99,9075682
2024-04-24,73.14,74.39,72.55,72.91,72.91,15276470
2024-04-25,73.13,73.635,72.91,73.26,73.26,8172200
2024-04-26,72.88,73.613,72.64,73.17,73.17,8786294
2024-04-29,73.08,73.125,71.75,72.5,72.5,9463878
2024-04-30,72.34,72.79,71.735,71.87,71.87,8718137
2024-05-01,71.61,72.99,71.144,72.21,72.21,6021096
2024-05-02,72.47,72.56,70.97,72.03,72.03,7610487
2024-05-03,72.22,73.075,71.82,72.85,72.85,7452084
2024-05-06,73.04,73.27,72.42,72.55,72.55,4922960
2024-05-07,72.7,73.5,72.62,73.43,73.43,4151544
2024-05-08,73.51,73.66,72.61,72.72,72.72,5054088
2024-05-09,72.74,74.145,72.74,74.1,74.1,6134777
2024-05-10,74.2,74.3,73.535,73.69,73.69,3790579
2024-05-13,73.68,73.83,72.66,72.81,72.81,6182025
2024-05-14,72.6,73.64,72.31,73.49,73.49,5848511
2024-05-15,73.86,74.6713,73.86,74.45,74.45,4492569
2024-05-16,74.43,74.765,74.175,74.55,74.55,5636940
2024-05-17,74.94,74.94,74.06,74.65,74.65,6978299
2024-05-20,74.81,76.07,74.81,75.36,75.36,6534124
2024-05-21,75.56,76.115,75.45,75.67,75.67,5801543
2024-05-22,75.95,76.25,75.145,75.37,75.37,6390277
2024-05-23,75.47,75.52,74.29,74.38,74.38,5581323
2024-05-24,74.54,76.13,74.54,75.63,75.63,4786625
2024-05-28,75.59,75.82,74.86,75.17,75.17,4252437
2024-05-29,74.78,75.38,74.78,74.98,74.98,6809504
2024-05-30,75.11,75.5,74.62,75.0,75.0,5150739
2024-05-31,75.18,75.68,74.43,75.57,75.57,8825296
2024-06-03,75.36,75.92,74.84,75.5,75.5,3217224
2024-06-04,75.38,76.11,75.16,75.92,75.92,3245818
2024-06-05,76.0,76.04,75.48,75.89,75.89,5194012
2024-06-06,75.75,76.3091,75.35,76.12,76.12,5979075
2024-06-07,76.6,77.555,76.35,77.11,77.11,6919038
2024-06-10,76.95,77.53,76.7,77.42,77.42,3471789
2024-06-11,77.44,77.465,76.75,77.15,77.15,3754702
2024-06-12,77.2,77.64,76.68,77.41,77.41,3219862
2024-06-13,77.11,77.3,76.25,76.96,76.96,4054303
2024-06-14,76.85,77.03,76.43,76.76,76.76,3540518
2024-06-17,76.38,76.72,75.96,76.19,76.19,6443574
2024-06-18,76.13,76.49,75.38,76.31,76.31,5365864
2024-06-20,76.6,77.26,76.4,77.0,77.0,8725728
2024-06-21,77.1,77.81,76.9,77.71,77.71,9938194
2024-06-24,77.7,77.99,76.54,76.71,76.71,5594645
2024-06-25,76.9,77.6,76.635,77.51,77.51,6238098
2024-06-26,77.17,77.425,76.76,77.1,77.1,6013179
2024-06-27,77.15,77.5,76.65,77.0,77.0,4196200
2024-06-28,77.01,77.435,76.7,77.01,77.01,7714856
2024-07-01,77.3,77.95,76.24,76.41,76.41,4234519
2024-07-02,76.39,76.73,75.91,76.55,76.55,3321846
2024-07-03,76.8,77.0,75.71,76.11,76.11,2144448
2024-07-05,76.56,76.68,75.77,76.4,76.4,4641155
2024-07-08,76.37,76.43,75.99,76.11,76.11,4537746
2024-07-09,76.45,76.75,76.07,76.51,76.51,3954708
2024-07-10,76.55,77.15,76.03,77.11,77.11,3335061
2024-07-11,77.08,77.235,76.6078,76.89,76.89,5818465
