date,open,high,low,close,adjusted_close,volume
2024-01-16,106.11,106.76,105.32,106.38,104.4303,1848207
2024-01-17,106.76,108.3925,105.02,105.46,103.5272,1653595
2024-01-18,104.78,106.43,104.03,106.39,104.4401,1279634
2024-01-19,106.68,107.27,105.18,105.48,103.5468,1646655
2024-01-22,105.65,106.36,105.26,105.34,103.4093,1544869
2024-01-23,104.54,104.88,103.76,104.54,102.624,1066259
2024-01-24,104.74,105.43,104.15,104.36,102.4473,1758284
2024-01-25,104.93,105.83,103.95,105.71,103.7726,2101939
2024-01-26,106.18,106.38,104.975,105.7,103.7628,1897508
2024-01-29,105.72,106.73,105.41,106.28,104.3321,2082263
2024-01-30,106.33,107.11,105.155,107.06,105.0978,2135583
2024-01-31,109.0,111.4,107.65,109.19,107.1888,5675134
2024-02-01,104.0,105.17,101.77,105.1,103.1737,4648518
2024-02-02,105.8,106.64,103.02,103.46,101.5638,3845055
2024-02-05,104.89,105.255,102.25,103.63,101.7307,2524392
2024-02-06,104.46,104.95,103.55,104.07,102.1626,2267429
2024-02-07,104.31,106.21,104.2,105.67,103.7333,2054780
2024-02-08,105.35,105.89,101.27,102.73,100.8472,2454447
2024-02-09,103.52,105.42,103.24,104.95,103.0265,2614596
2024-02-12,104.67,104.6997,102.39,103.62,101.7209,2387963
2024-02-13,104.36,104.91,103.18,104.36,102.4473,1854265
2024-02-14,104.68,104.78,103.2,103.55,101.6522,1471058
2024-02-15,103.86,105.115,103.735,104.94,103.0167,1509223
2024-02-16,104.99,105.6,104.36,104.45,102.5357,2341282
2024-02-20,104.45,105.96,104.45,105.37,103.4388,1873468
2024-02-21,105.92,106.03,104.7263,105.58,103.645,1626770
2024-02-22,105.48,107.87,105.3,107.15,105.1862,1417816
2024-02-23,107.53,108.1,107.17,108.09,106.1089,974306
2024-02-26,109.62,111.0,109.32,110.27,108.249,5922799
2024-02-27,109.86,110.4511,109.0646,109.61,107.6011,2777107
2024-02-28,109.6,111.72,108.84,111.66,109.6135,2414805
2024-02-29,111.69,112.2,110.68,111.98,109.9277,6327821
2024-03-01,114.45,114.8793,112.26,113.37,111.2922,2990148
2024-03-04,113.48,115.325,112.47,112.64,110.5756,3370267
2024-03-05,112.92,113.58,111.92,112.92,110.8504,1804394
2024-03-06,113.43,113.92,110.54,110.62,108.5926,2433043
2024-03-07,111.43,113.75,110.65,113.67,111.5867,1978895
2024-03-08,113.88,115.38,113.12,115.17,113.0592,1800414
2024-03-11,114.73,115.795,113.88,115.48,113.3635,2310753
2024-03-12,115.48,115.96,114.14,115.62,113.5009,1963329
2024-03-13,116.0,116.04,110.49,111.08,109.0441,4522830
2024-03-14,110.67,111.145,108.99,109.93,107.9152,3348883
2024-03-15,109.0,110.61,108.59,110.61,108.5828,4425346
2024-03-18,110.41,111.35,109.48,110.16,108.141,3650061
2024-03-19,110.22,113.0,109.37,112.85,110.7817,2771339
2024-03-20,112.88,113.135,111.66,111.89,109.8393,2350052
2024-03-21,111.9,112.7,110.95,112.53,110.4676,2159138
2024-03-22,113.04,113.04,110.26,111.01,108.9754,1760513
2024-03-25,111.03,111.87,110.41,111.01,108.9754,1671353
2024-03-26,111.0,111.995,110.69,111.6,109.5546,1480141
2024-03-27,112.11,112.58,110.7,112.54,110.4774,1235442
2024-03-28,112.26,112.53,111.23,111.9,110.3403,1655424
2024-04-01,111.7,112.23,110.46,112.06,110.4981,1379560
2024-04-02,111.58,112.085,110.47,111.25,109.6994,1620175
2024-04-03,111.78,112.37,110.555,110.93,109.3838,1254263
2024-04-04,111.39,111.95,110.01,110.12,108.5851,1377698
2024-04-05,110.05,110.96,109.86,109.92,108.3879,1443678
2024-04-08,109.61,110.1,109.2005,109.47,107.9442,1958169
2024-04-09,109.74,109.88,106.34,108.07,106.5637,1543391
2024-04-10,107.53,108.57,107.22,107.94,106.4355,1178203
2024-04-11,107.83,108.31,106.35,106.42,104.9367,1229015
2024-04-12,105.5,106.225,104.9201,105.1,103.6351,1535419
2024-04-15,106.79,108.27,106.45,107.03,105.5382,1969060
2024-04-16,107.44,108.01,106.895,107.17,105.6763,1515804
2024-04-17,108.0,108.0,106.26,106.52,105.0353,1618273
2024-04-18,107.07,107.44,105.53,106.0,104.5226,1541130
2024-04-19,106.37,108.42,106.28,108.19,106.682,1486096
2024-04-22,103.85,104.5,101.23,102.83,101.3967,5287253
2024-04-23,102.67,103.75,101.589,103.37,101.9292,2477426
2024-04-24,103.18,103.95,102.43,103.54,102.0968,2057344
2024-04-25,103.77,104.87,103.575,103.81,102.3631,1642728
2024-04-26,103.2,103.94,102.93,103.21,101.7714,1399916
2024-04-29,103.02,103.675,102.175,102.91,101.4756,1690855
2024-04-30,102.91,103.34,102.375,103.04,101.6038,2456082
2024-05-01,102.25,103.1,100.56,102.17,100.7459,2858908
2024-05-02,100.0,106.68,100.0,102.98,101.5447,3684813
2024-05-03,101.68,102.26,98.24,98.91,97.5314,3446183
2024-05-06,99.42,99.7,98.325,98.59,97.2158,1889759
2024-05-07,98.77,99.91,98.725,99.72,98.3301,2307955
2024-05-08,99.84,100.09,97.31,97.44,96.0819,2280705
2024-05-09,97.36,98.87,97.36,98.06,96.6932,1822515
2024-05-10,98.22,100.08,98.22,99.53,98.1427,1726388
2024-05-13,99.61,99.86,97.9,98.04,96.6735,1392199
2024-05-14,98.33,98.65,96.95,97.43,96.072,1338730
2024-05-15,97.23,98.13,96.88,97.11,95.7565,1671485
2024-05-16,97.56,99.07,97.27,98.7,97.3243,2024083
2024-05-17,99.27,99.4,98.35,99.08,97.699,1307975
2024-05-20,99.28,99.28,97.86,98.46,97.0877,1399894
2024-05-21,98.27,98.56,95.76,96.01,94.6718,2178653
2024-05-22,95.88,97.13,95.5,96.32,94.9775,1814371
2024-05-23,96.24,96.95,95.9,96.05,94.7112,2058950
2024-05-24,96.41,96.75,95.66,96.39,95.0465,1206966
2024-05-28,95.83,95.88,94.21,94.75,93.4294,1782945
2024-05-29,94.61,96.25,94.04,96.14,94.8,1721760
2024-05-30,96.26,98.1,96.02,97.71,96.3481,2153325
2024-05-31,97.73,99.44,97.06,99.27,97.8864,4182760
2024-06-03,98.57,99.74,98.31,99.51,98.123,1773972
2024-06-04,99.23,99.84,97.55,98.32,96.9496,1823638
2024-06-05,98.46,98.46,97.02,97.96,96.5946,1373029
2024-06-06,97.79,98.95,97.38,98.8,97.4229,1719793
2024-06-07,99.07,99.32,98.34,98.51,97.137,1651043
2024-06-10,98.18,98.95,97.16,98.84,97.4624,1404614
2024-06-11,98.69,99.42,98.04,99.01,97.63,1694914
2024-06-12,99.0,99.19,97.1301,99.0,97.6201,1897919
2024-06-13,98.75,101.17,97.715,100.61,99.2077,2121504
2024-06-14,100.59,100.9566,99.68,100.2,98.8034,1442612
2024-06-17,99.92,101.0,98.88,100.95,99.5429,2377411
2024-06-18,101.17,105.05,100.815,104.09,102.6392,2797755
2024-06-20,104.16,105.32,103.95,104.37,102.9153,2952133
2024-06-21,104.53,105.14,103.12,104.63,103.1717,4413092
2024-06-24,104.93,105.72,104.46,104.9,103.4379,2285019
2024-06-25,105.65,105.73,103.121,103.13,101.6926,1907424
2024-06-26,102.62,102.88,100.45,101.1,99.6909,2106041
2024-06-27,100.96,101.4,98.2,99.62,98.2315,2352267
2024-06-28,100.035,100.6,98.08,98.32,96.9496,4055853
2024-07-01,98.17,99.52,97.41,97.76,96.8961,1793715
2024-07-02,97.76,97.77,96.09,96.54,95.6869,1940383
2024-07-03,96.67,96.96,95.125,95.7,94.8543,1121277
2024-07-05,95.58,96.27,94.4,95.89,95.0426,2069012
