date,open,high,low,close,adjusted_close,volume
2024-01-16,305.58,308.36,303.0,306.94,301.9773,1144000
2024-01-17,308.23,312.71,307.73,308.48,303.4924,1356500
2024-01-18,301.62,309.46,299.27,309.08,304.0827,2249300
2024-01-19,309.84,311.05,301.0,302.06,297.1762,1760600
2024-01-22,302.16,306.89,301.05,305.03,300.0981,1234300
2024-01-23,304.95,307.83,303.25,304.4,299.4783,1032500
2024-01-24,307.44,309.59,303.6,304.5,299.5767,1697300
2024-01-25,297.0,301.24,291.44,298.57,293.7426,2464100
2024-01-26,299.59,301.69,297.54,297.82,293.0047,1157600
2024-01-29,297.0,298.98,295.6,298.88,294.0476,1219100
2024-01-30,299.77,300.97,296.96,298.95,294.1164,1079800
2024-01-31,300.14,303.06,295.54,300.95,296.0841,2463500
2024-02-01,303.63,309.07,301.73,307.32,302.3511,2981900
2024-02-02,315.84,328.37,315.05,323.84,318.604,3376600
2024-02-05,327.36,330.81,321.0,321.27,316.0756,2305400
2024-02-06,322.0,329.27,321.52,327.58,322.2835,1857900
2024-02-07,329.48,333.86,328.76,330.55,325.2055,1809800
2024-02-08,330.51,333.5,329.91,332.29,326.9174,1417000
2024-02-09,331.61,335.83,330.67,334.93,329.5147,1508300
2024-02-12,334.53,337.88,333.16,337.25,331.7972,1021100
2024-02-13,337.0,341.96,336.08,337.42,331.9644,1140800
2024-02-14,338.9,340.06,335.63,338.61,333.1352,1198400
2024-02-15,342.0,342.05,337.4,339.2,333.7157,1572300
2024-02-16,340.18,342.74,338.54,341.09,335.5751,1282600
2024-02-20,340.44,344.42,340.04,341.35,335.8309,1624900
2024-02-21,342.03,344.38,339.71,343.38,337.8281,1396200
2024-02-22,344.06,344.19,341.21,342.16,336.6278,1373900
2024-02-23,343.16,345.66,341.38,344.24,338.6742,998800
2024-02-26,344.74,347.14,342.14,342.31,336.7754,2311200
2024-02-27,342.0,345.24,340.55,340.74,335.2308,1697100
2024-02-28,340.44,340.44,332.51,335.13,329.7115,1981200
2024-02-29,335.06,336.72,331.02,336.14,330.7051,2185000
2024-03-01,336.0,336.0,330.71,332.96,327.5766,1473100
2024-03-04,332.62,338.74,331.78,336.8,331.3545,1294100
2024-03-05,336.21,336.97,332.01,332.73,328.7167,1468200
2024-03-06,333.43,340.84,333.43,339.82,335.7212,2449800
2024-03-07,343.76,347.99,338.73,342.74,338.6059,2072700
2024-03-08,342.03,345.85,340.86,341.79,337.6674,1485100
2024-03-11,340.87,344.43,339.62,342.27,338.1416,1326500
2024-03-12,342.08,345.05,341.0,343.94,339.7915,1313500
2024-03-13,345.8,349.13,344.44,348.72,344.5138,1584200
2024-03-14,348.51,350.22,347.39,349.51,345.2943,1527700
2024-03-15,346.03,353.1,345.85,352.05,347.8036,3818800
2024-03-18,350.51,354.16,349.93,352.63,348.3766,1499100
2024-03-19,353.98,354.43,351.31,352.37,348.1198,1134600
2024-03-20,351.55,354.78,351.08,353.83,349.5622,1049400
2024-03-21,354.11,355.35,352.71,353.72,349.4535,1290800
2024-03-22,353.67,355.77,351.33,351.78,347.5369,1102300
2024-03-25,353.08,355.81,352.3,355.55,351.2614,1034000
2024-03-26,355.04,359.83,354.54,357.73,353.4151,1205100
2024-03-27,359.99,364.71,359.45,363.34,358.9575,1467500
2024-03-28,363.95,365.71,363.15,363.19,358.8093,1162700
2024-04-01,362.69,364.35,359.93,364.08,359.6885,1036800
2024-04-02,359.95,364.65,359.09,363.09,358.7105,2054800
2024-04-03,364.37,364.52,360.33,361.07,356.7148,1567500
2024-04-04,364.11,364.14,359.83,360.37,356.0233,1147900
2024-04-05,360.84,364.26,359.37,362.45,358.0782,992500
2024-04-08,360.89,361.87,357.34,357.98,353.6621,1612500
2024-04-09,359.47,360.46,356.38,357.48,353.1681,1129200
2024-04-10,356.25,359.72,355.51,357.84,353.5238,1005700
2024-04-11,357.39,358.34,352.65,353.08,348.8212,1081100
2024-04-12,351.78,353.33,348.5,349.84,345.6203,1442000
2024-04-15,354.12,355.12,347.46,348.9,344.6916,1357000
2024-04-16,356.13,356.13,346.44,346.85,342.6664,1799900
2024-04-17,346.86,349.93,345.78,346.08,341.9056,1426500
2024-04-18,349.71,353.38,347.0,348.78,344.5731,1621700
2024-04-19,351.28,352.8,348.02,352.39,348.1395,1305100
2024-04-22,352.75,356.39,352.65,353.18,348.92,1404000
2024-04-23,354.0,357.21,351.89,352.65,348.3964,1188500
2024-04-24,351.04,353.99,350.06,352.28,348.0309,1120800
2024-04-25,352.56,355.86,352.37,354.51,350.234,922200
2024-04-26,352.5,355.15,351.42,354.47,350.1944,830500
2024-04-29,354.02,358.23,354.02,356.44,352.1407,1073600
2024-04-30,356.59,357.95,355.7,357.04,352.7334,1216200
2024-05-01,349.97,359.36,348.43,357.18,352.8718,1904100
2024-05-02,360.0,361.71,342.68,344.5,340.3447,3108800
2024-05-03,342.29,343.65,334.72,341.5,337.3809,2413500
2024-05-06,342.46,344.38,339.45,342.41,338.2799,1339300
2024-05-07,343.5,347.06,343.2,346.7,342.5182,1567900
2024-05-08,348.59,348.79,345.44,347.35,343.1603,1355200
