date,open,high,low,close,adjusted_close,volume
2024-01-16,79.135,79.31,78.42,78.72,78.72,2765926
2024-01-17,78.85,79.555,77.78,78.0,78.0,2567631
2024-01-18,74.61,76.71,74.27,76.6,76.6,3081453
2024-01-19,76.72,76.76,74.12,74.15,74.15,4026208
2024-01-22,74.535,75.345,73.82,75.17,75.17,3179646
2024-01-23,75.19,76.14,75.18,75.56,75.56,2195224
2024-01-24,76.31,77.29,75.26,75.48,75.48,3155535
2024-01-25,72.95,74.67,71.81,73.55,73.55,5121187
2024-01-26,73.8,74.14,73.18,73.77,73.77,2979251
2024-01-29,73.51,74.2475,73.28,74.06,74.06,2072453
2024-01-30,74.21,74.93,73.9,74.86,74.86,2265501
2024-01-31,75.46,75.755,75.04,75.31,75.31,3095434
2024-02-01,75.16,75.88,74.195,75.3,75.3,2548194
2024-02-02,75.51,75.7325,74.63,75.41,75.41,2265459
2024-02-05,75.3,75.3,74.05,74.07,74.07,3352199
2024-02-06,73.755,76.39,71.48,74.92,74.92,4652462
2024-02-07,75.02,75.87,74.33,74.92,74.92,4649699
2024-02-08,75.29,76.58,74.68,76.5,76.5,3281524
2024-02-09,76.31,77.36,75.89,77.33,77.33,2508555
2024-02-12,77.19,78.07,76.6,77.91,77.91,2416516
2024-02-13,77.82,78.395,76.49,76.7,76.7,2379930
2024-02-14,76.9,77.54,76.66,77.49,77.49,2017350
2024-02-15,77.73,78.46,77.645,78.3,78.3,1906885
2024-02-16,78.39,79.01,78.07,78.74,78.74,2259779
2024-02-20,78.7,79.84,78.4,79.29,79.29,3663570
2024-02-21,79.6,79.6,78.69,79.17,79.17,1871371
2024-02-22,79.24,80.17,78.89,80.07,80.07,3058666
2024-02-23,80.18,80.7,79.6001,80.22,80.22,2136803
2024-02-26,80.69,81.415,79.97,80.23,80.23,2510254
2024-02-27,80.25,80.67,79.87,80.41,80.41,1993369
2024-02-28,79.72,80.07,78.19,78.39,78.39,2997077
2024-02-29,78.34,78.61,77.3,78.43,78.43,4830821
2024-03-01,78.06,78.43,76.5701,77.98,77.98,2683378
2024-03-04,78.01,79.39,77.78,78.32,78.32,2037274
2024-03-05,78.62,79.11,77.07,77.4,77.4,2511105
