date,open,high,low,close,adjusted_close,volume
2024-01-16,381.22,383.0,376.12,382.82,95.705,1174068
2024-01-17,378.3,383.875,374.17,378.81,94.7025,749056
2024-01-18,378.81,387.13,378.81,385.75,96.4375,1108324
2024-01-19,386.12,387.89,382.61,387.5,96.875,1308776
2024-01-22,391.2,393.4,387.95,388.02,97.005,989796
2024-01-23,388.6,388.6,383.46,386.56,96.64,736180
2024-01-24,387.66,390.81,379.165,379.93,94.9825,940656
2024-01-25,384.22,384.82,377.73,379.29,94.8225,923904
2024-01-26,379.0,379.0,371.275,372.64,93.16,1462060
2024-01-29,370.9,379.32,368.595,378.12,94.53,941900
2024-01-30,377.76,382.27,375.0,375.2,93.8,899284
2024-01-31,376.52,380.0725,372.4,373.03,93.2575,964820
2024-02-01,374.69,381.52,372.74,381.52,95.38,1128904
2024-02-02,378.05,378.49,371.98,376.29,94.0725,998236
2024-02-05,373.61,376.28,370.81,371.36,92.84,772136
2024-02-06,373.35,375.44,372.075,374.7,93.675,794272
2024-02-07,376.77,378.83,373.25,374.64,93.66,1001220
2024-02-08,372.65,374.439,368.46,373.65,93.4125,632668
2024-02-09,373.32,376.95,370.49,376.6,94.15,654460
2024-02-12,375.21,380.52,375.21,379.01,94.7525,480716
2024-02-13,373.39,374.98,364.905,367.69,91.9225,700984
2024-02-14,367.89,373.12,362.69,372.49,93.1225,853412
2024-02-15,375.08,379.609,373.84,374.57,93.6425,651804
2024-02-16,372.96,377.43,371.87,372.01,93.0025,675620
2024-02-20,94.41,95.86,93.36,95.7,95.7,1300021
2024-02-21,95.76,98.32,95.2,98.08,98.08,1868532
2024-02-22,98.08,98.92,97.08,97.78,97.78,2149394
2024-02-23,97.53,97.92,96.005,96.75,96.75,1427662
2024-02-26,96.29,96.48,94.31,94.5,94.5,1215324
2024-02-27,94.0,94.425,93.45,93.74,93.74,1879458
2024-02-28,93.74,95.035,93.29,94.51,94.51,1598066
2024-02-29,94.51,95.05,93.43,93.6,93.6,2355572
2024-03-01,102.04,102.55,97.72,102.19,102.19,2804322
2024-03-04,102.02,104.07,101.58,102.77,102.77,1758024
2024-03-05,102.47,103.64,100.81,101.42,101.42,1219764
2024-03-06,102.82,102.82,101.57,101.87,101.87,1440869
2024-03-07,102.48,103.27,101.89,102.08,102.08,1754087
2024-03-08,102.0,102.56,101.25,101.51,101.51,997660
2024-03-11,101.51,102.71,100.78,101.44,101.44,952889
2024-03-12,101.06,102.1,100.93,101.54,101.54,751313
2024-03-13,103.5,103.91,101.89,102.36,102.36,1000594
2024-03-14,101.71,101.94,100.815,101.5,101.5,1224090
2024-03-15,99.94,101.24,99.9,100.71,100.71,1283323
2024-03-18,101.3,101.4525,100.71,100.82,100.82,770226
2024-03-19,102.11,102.82,101.17,102.25,102.25,1999369
2024-03-20,102.5,102.5799,100.5724,101.66,101.66,884373
2024-03-21,101.48,103.47,101.33,101.37,101.37,878501
2024-03-22,101.0,101.07,99.3701,100.42,100.42,1114207
2024-03-25,100.93,101.21,100.47,100.87,100.87,862408
2024-03-26,100.95,101.31,99.915,100.73,100.73,1056164
2024-03-27,101.8,102.035,101.29,101.84,101.84,986336
2024-03-28,102.17,102.17,101.3,101.46,101.46,887890
2024-04-01,101.04,101.09,98.89,99.24,99.24,877679
2024-04-02,98.79,99.01,97.49,98.06,98.06,900612
