date,open,high,low,close,adjusted_close,volume
2024-01-16,208.15,208.51,205.01,206.43,206.43,653223
2024-01-17,204.35,206.97,201.01,203.52,203.52,488983
2024-01-18,203.32,206.4,201.27,206.11,206.11,342202
2024-01-19,206.62,212.26,205.02,212.03,212.03,1047527
2024-01-22,212.78,216.54,212.265,215.82,215.82,501686
2024-01-23,216.98,216.98,211.48,214.05,214.05,392037
2024-01-24,216.05,216.05,211.26,213.11,213.11,312880
2024-01-25,215.72,216.8,211.23,213.03,213.03,244150
2024-01-26,216.35,224.03,216.35,220.28,220.28,924536
2024-01-29,219.4,225.16,218.43,224.56,224.56,571701
2024-01-30,224.11,228.52,223.6,223.96,223.96,506191
2024-01-31,224.22,224.22,215.755,216.28,216.28,706103
2024-02-01,216.21,220.325,212.52,219.54,219.54,390894
2024-02-02,217.23,219.63,215.06,218.17,218.17,426019
2024-02-05,216.77,219.8227,215.4,217.59,217.59,311192
2024-02-06,217.58,221.18,217.36,220.5,220.5,324856
2024-02-07,220.81,220.81,217.89,218.58,218.58,300406
2024-02-08,216.54,220.59,216.44,218.77,218.77,474138
2024-02-09,219.0,224.61,217.13,222.22,222.22,527682
2024-02-12,221.35,227.67,220.0304,225.78,225.78,663653
2024-02-13,220.85,224.865,216.5,220.24,220.24,910938
2024-02-14,226.85,245.41,225.0,245.12,245.12,1655314
2024-02-15,242.08,245.97,236.39,245.4,245.4,1035083
2024-02-16,244.21,248.67,243.13,244.96,244.96,593485
2024-02-20,242.86,243.94,235.75,238.94,238.94,788848
2024-02-21,236.43,241.28,235.28,241.1,241.1,378905
2024-02-22,242.12,251.99,242.12,246.9,246.9,897851
2024-02-23,247.83,250.185,247.02,247.71,247.71,364837
2024-02-26,246.17,250.98,245.55,249.56,249.56,573126
2024-02-27,250.55,253.6,249.04,252.95,252.95,483207
2024-02-28,252.19,260.04,251.725,256.73,256.73,745194
2024-02-29,257.77,259.69,252.9,254.19,254.19,647240
2024-03-01,254.19,265.795,250.73,264.38,264.38,834558
2024-03-04,262.72,264.81,258.79,258.92,258.92,400250
2024-03-05,256.27,262.12,256.11,261.27,261.27,499856
2024-03-06,262.97,269.1,262.97,263.44,263.44,522528
2024-03-07,266.8,271.54,264.515,270.27,270.27,368425
2024-03-08,271.31,275.0,265.41,266.97,266.97,532272
2024-03-11,266.98,267.6,262.25,263.09,263.09,474481
2024-03-12,262.79,268.215,261.17,264.12,264.12,503373
2024-03-13,265.17,267.2,259.36,261.18,261.18,577573
2024-03-14,261.18,264.86,256.83,260.5,260.5,404573
2024-03-15,255.6,261.58,255.04,258.97,258.97,835185
2024-03-18,260.91,266.0,258.88,262.13,262.13,379817
2024-03-19,261.37,266.61,261.37,266.51,266.51,551671
2024-03-20,266.33,269.0,262.6158,268.17,268.17,379817
2024-03-21,270.0,274.62,269.955,273.43,273.43,440854
2024-03-22,273.69,274.765,268.23,272.57,272.57,377604
2024-03-25,273.57,273.57,265.16,265.61,265.61,381048
2024-03-26,265.64,267.29,263.35,265.44,265.44,314809
2024-03-27,268.79,269.95,266.06,269.37,269.37,288859
2024-03-28,269.59,272.19,267.23,270.95,270.95,497507
2024-04-01,271.12,273.315,267.83,268.73,268.73,337499
2024-04-02,267.24,267.83,258.88,261.82,261.82,553639
2024-04-03,261.1,261.55,258.17,259.31,259.31,606359
2024-04-04,261.95,264.705,250.13,250.66,250.66,687280
2024-04-05,251.28,256.125,249.355,253.1,253.1,529945
2024-04-08,253.94,257.52,253.01,254.92,254.92,442618
2024-04-09,257.28,258.56,256.04,257.15,257.15,328437
2024-04-10,250.17,251.31,246.38,247.49,247.49,486728
2024-04-11,249.3,250.72,246.24,246.42,246.42,320904
2024-04-12,244.07,246.567,239.66,241.34,241.34,389716
2024-04-15,244.32,244.41,234.17,235.93,235.93,462301
2024-04-16,235.92,235.92,231.395,232.34,232.34,336008
2024-04-17,234.4,234.4,229.85,230.09,230.09,499836
2024-04-18,228.02,233.72,223.49,227.55,227.55,710218
2024-04-19,227.14,230.34,225.6468,226.78,226.78,409097
2024-04-22,228.95,232.665,225.79,232.56,232.56,544691
2024-04-23,237.83,242.91,236.22,240.13,240.13,611881
2024-04-24,239.28,244.56,237.44,239.43,239.43,705117
2024-04-25,237.31,237.31,225.965,227.81,227.81,762872
2024-04-26,227.39,230.86,227.39,229.03,229.03,322127
2024-04-29,230.88,233.28,230.305,232.1,232.1,323060
2024-04-30,231.31,232.18,225.58,229.0,229.0,512341
2024-05-01,229.8,237.62,226.44,232.69,232.69,534516
