date,open,high,low,close,adjusted_close,volume
2024-01-16,49.02,49.495,47.76,49.42,49.42,2253104
2024-01-17,48.67,49.26,48.01,48.58,48.58,1993194
2024-01-18,48.62,49.14,48.08,48.72,48.72,1248346
2024-01-19,48.84,49.67,47.86,49.21,49.21,1049039
2024-01-22,49.57,50.5,49.21,49.82,49.82,929681
2024-01-23,50.2,50.4,48.78,49.2,49.2,861810
2024-01-24,49.61,50.17,49.24,49.66,49.66,1783350
2024-01-25,49.73,50.59,49.52,50.41,50.41,2204873
2024-01-26,51.57,52.94,51.57,52.23,52.23,2631106
2024-01-29,52.42,53.92,51.75,53.63,53.63,1968230
2024-01-30,53.29,53.65,52.48,53.04,53.04,1326119
2024-01-31,52.48,53.26,51.54,51.64,51.64,1590519
2024-02-01,51.78,53.43,51.6,53.09,53.09,1630344
2024-02-02,52.46,54.98,52.03,54.51,54.51,2745342
2024-02-05,59.31,60.2,58.91,59.82,59.82,21427891
2024-02-06,59.71,59.795,58.0,58.46,58.46,13253300
2024-02-07,58.5,58.95,56.12,56.5,56.5,6459247
2024-02-08,56.54,57.28,56.34,56.55,56.55,5164273
2024-02-09,56.7,56.95,56.1,56.71,56.71,3815319
2024-02-12,56.7,57.1,56.25,56.99,56.99,3621782
2024-02-13,56.2,56.98,55.91,56.24,56.24,3533824
2024-02-14,56.69,57.15,56.42,56.94,56.94,4170368
2024-02-15,57.09,57.71,56.97,57.44,57.44,2271370
2024-02-16,57.8,58.17,57.66,58.14,58.14,3071327
2024-02-20,58.0,58.26,57.67,57.98,57.98,3136966
2024-02-21,57.82,58.49,57.78,58.24,58.24,2415810
2024-02-22,58.68,58.68,58.3,58.4,58.4,1253974
2024-02-23,59.0,59.28,58.17,58.77,58.77,3079500
2024-02-26,58.65,59.0,58.11,58.29,58.29,2389259
2024-02-27,58.37,58.695,58.01,58.2,58.2,2086996
2024-02-28,58.2,58.43,57.92,57.94,57.94,2294213
2024-02-29,58.06,58.2,57.25,57.34,57.34,3631103
2024-03-01,57.36,57.73,57.02,57.19,57.19,2589984
2024-03-04,57.37,57.44,56.85,56.95,56.95,3778113
2024-03-05,57.0,57.15,56.94,56.96,56.96,3076807
2024-03-06,57.0,57.19,56.645,56.65,56.65,2270506
2024-03-07,57.02,57.03,56.35,56.36,56.36,2418192
2024-03-08,56.4,56.7,56.17,56.51,56.51,2380813
2024-03-11,56.35,56.84,56.24,56.81,56.81,1487604
2024-03-12,56.74,56.87,56.43,56.5,56.5,2442463
2024-03-13,56.54,56.8,56.41,56.6,56.6,1848616
2024-03-14,56.5,56.78,56.15,56.7,56.7,1665751
2024-03-15,56.22,56.62,56.095,56.22,56.22,3952870
2024-03-18,56.54,56.54,55.9,55.96,55.96,2147753
2024-03-19,55.91,56.22,55.85,55.95,55.95,1105160
2024-03-20,55.92,56.09,55.82,55.88,55.88,1656226
2024-03-21,56.02,56.35,55.83,55.85,55.85,2025004
2024-03-22,55.9,56.1899,55.77,55.79,55.79,1127189
2024-03-25,56.09,56.55,55.93,56.4,56.4,1695499
2024-03-26,56.5,56.52,56.15,56.26,56.26,1721252
2024-03-27,56.45,56.51,56.14,56.48,56.48,1591837
2024-03-28,56.48,56.76,56.38,56.45,56.45,1841407
2024-04-01,56.59,56.59,55.92,56.39,56.39,1713922
