date,open,high,low,close,adjusted_close,volume
2024-01-16,76.65,77.44,76.14,77.42,74.3115,12435000
2024-01-17,77.13,77.64,76.725,76.99,73.8987,7922197
2024-01-18,73.13,74.04,72.52,73.88,70.9136,14358570
2024-01-19,73.25,73.589,72.73,73.22,70.9185,16165390
2024-01-22,73.38,74.43,73.01,73.93,71.6061,13278400
2024-01-23,73.99,75.12,73.93,75.1,72.7394,7168836
2024-01-24,75.99,76.6,73.99,74.19,71.858,17535830
2024-01-25,71.5,72.38,70.191,71.99,69.7271,27493910
2024-01-26,72.66,73.02,71.96,73.0,70.7054,11689160
2024-01-29,72.92,73.64,72.86,73.48,71.1703,10291730
2024-01-30,74.0,74.24,73.54,73.85,71.5287,7220043
2024-01-31,74.32,74.985,73.835,74.37,72.0323,8678662
2024-02-01,74.43,74.51,73.46,73.92,71.5965,10532340
2024-02-02,74.0,74.35,73.02,73.09,70.7925,10539910
2024-02-05,73.09,73.25,71.59,72.44,70.163,23864080
2024-02-06,72.44,74.165,72.44,73.76,71.4415,11663180
2024-02-07,75.15,77.4,75.06,76.05,73.6595,14953200
2024-02-08,75.86,75.87,74.565,75.08,72.72,12115610
2024-02-09,75.0,76.35,74.46,76.32,73.921,9000478
2024-02-12,76.0,78.02,75.61,77.29,74.8605,11201510
2024-02-13,77.1,78.3,76.18,76.59,74.1825,8860046
2024-02-14,76.76,77.54,76.035,76.41,74.0082,9769242
2024-02-15,76.72,77.925,76.535,76.6,74.1922,13529920
2024-02-16,76.75,77.445,76.35,77.1,74.6765,8242877
2024-02-20,76.92,77.57,76.14,76.31,73.9113,6924020
2024-02-21,76.32,77.39,76.17,77.15,74.7249,18723150
2024-02-22,77.15,77.4977,76.74,77.1,74.6765,5698608
2024-02-23,77.29,77.52,76.62,77.2,74.7734,4337278
2024-02-26,77.4,77.95,76.285,76.43,74.0276,5296411
2024-02-27,76.46,77.09,76.14,76.27,73.8726,5245121
2024-02-28,76.09,76.26,74.76,75.19,72.8265,6782694
2024-02-29,75.65,75.92,73.54,74.37,72.0323,14536280
2024-03-01,74.63,74.67,73.04,73.84,71.519,8495665
2024-03-04,73.96,74.91,73.66,73.89,71.5674,13748510
2024-03-05,74.15,75.385,73.35,73.71,71.3931,14982850
2024-03-06,73.57,74.705,73.42,74.34,72.0033,8840042
2024-03-07,74.35,74.96,73.565,74.3,71.9645,6711820
2024-03-08,74.35,75.37,74.11,75.07,72.7103,6082855
2024-03-11,74.75,76.45,74.53,75.94,73.553,6268005
2024-03-12,75.82,75.89,74.65,75.21,72.8459,4637927
2024-03-13,75.15,76.01,74.76,75.08,72.72,5155664
2024-03-14,74.77,76.5,74.275,76.42,74.0179,7849061
2024-03-15,75.6,77.6064,75.6,77.4,74.9671,17144920
2024-03-18,77.26,77.64,76.39,77.57,75.1317,7117438
2024-03-19,77.89,78.9,77.69,78.06,75.6063,7177994
2024-03-20,77.74,79.0,77.625,78.98,76.4974,6446364
2024-03-21,78.59,78.94,77.4,78.27,75.8097,8800017
2024-03-22,78.38,79.5,78.38,78.48,76.0131,11110470
2024-03-25,78.83,79.83,78.55,78.98,76.4974,7956840
2024-03-26,77.66,79.745,77.66,79.32,76.8267,10158920
2024-03-27,79.55,79.99,78.71,79.43,76.9333,10263570
2024-03-28,79.54,80.75,79.315,79.76,77.2529,8981310
2024-04-01,79.73,79.98,79.1,79.56,77.0592,8967665
2024-04-02,74.88,75.19,71.96,73.82,71.4996,23677330
2024-04-03,74.04,74.7,73.32,74.6,72.2551,9200700
2024-04-04,74.88,75.27,73.78,73.9,71.5771,5816269
2024-04-05,74.06,75.12,73.7,74.58,72.2357,6366618
2024-04-08,74.41,74.75,73.835,74.44,72.1001,6497038
2024-04-09,74.74,74.85,73.11,73.36,71.0541,5935359
2024-04-10,73.1,73.18,70.84,71.15,68.9135,8366055
2024-04-11,71.12,71.21,69.7,69.74,67.5478,10455280
2024-04-12,69.54,69.8583,68.3175,68.64,66.4824,7691021
2024-04-15,69.12,70.0,68.775,68.96,66.7924,7236243
2024-04-16,71.66,71.66,68.97,69.03,66.8602,9607388
2024-04-17,69.09,69.4,67.96,68.6,66.4437,8100101
2024-04-18,69.17,69.6,68.86,69.39,67.2088,10087090
2024-04-19,69.17,69.935,68.79,69.75,68.2112,7809721
2024-04-22,69.49,70.12,69.13,69.63,68.0939,5701582
2024-04-23,69.82,70.21,68.375,68.5,66.9888,8450704
2024-04-24,68.1,68.21,67.48,67.77,66.2749,8651960
2024-04-25,67.5,67.75,66.875,67.33,65.8446,8918219
2024-04-26,67.21,67.42,66.75,67.18,65.6979,6396438
2024-04-29,67.14,67.875,67.08,67.45,65.962,6556349
2024-04-30,67.2,68.185,66.92,67.71,66.2162,13488470
2024-05-01,56.0,56.885,54.0,56.31,55.0677,65769859
2024-05-02,56.39,56.74,53.7,55.15,53.9333,37885246
2024-05-03,55.22,56.43,54.96,55.9,54.6668,23946080
2024-05-06,55.99,56.27,55.32,55.97,54.7352,16620141
2024-05-07,55.66,57.09,55.58,55.74,54.5103,17488119
2024-05-08,55.79,56.06,54.685,54.91,53.6986,13625330
2024-05-09,54.9,55.74,54.72,55.68,54.4516,10300490
2024-05-10,55.72,56.44,55.57,55.82,54.5885,9288418
2024-05-13,55.91,57.55,55.88,56.47,55.2242,11767630
2024-05-14,56.69,57.1024,55.2,56.0,54.7646,15410680
2024-05-15,56.21,56.4928,55.635,56.26,55.0188,16430971
2024-05-16,56.36,57.725,56.29,57.52,56.251,13974760
2024-05-17,57.65,57.695,57.08,57.68,56.4075,9607690
2024-05-20,57.65,57.87,57.27,57.4,56.1337,11475940
2024-05-21,57.45,57.49,56.7,57.32,56.0555,16758061
2024-05-22,57.42,57.56,57.16,57.44,56.1728,9543931
2024-05-23,57.18,59.73,55.48,55.65,54.4223,18271080
2024-05-24,56.13,56.85,55.53,55.54,54.3147,11725740
2024-05-28,55.38,55.385,53.58,53.63,52.4469,14387110
2024-05-29,53.2,53.72,52.7705,53.67,52.486,16543439
2024-05-30,53.67,56.22,53.6,56.04,54.8037,16154340
2024-05-31,56.0,59.62,55.82,59.6,58.2852,22366750
2024-06-03,59.13,60.44,59.0025,60.21,58.8817,17087320
2024-06-04,60.19,60.42,59.33,60.26,58.9306,12873080
2024-06-05,60.26,60.71,59.62,60.7,59.3609,8933039
2024-06-06,60.5,61.0095,59.91,60.94,59.5956,9545860
2024-06-07,60.7,61.95,60.56,61.78,60.4171,12239980
2024-06-10,61.53,61.53,59.905,60.28,58.9502,10633370
2024-06-11,60.08,60.21,59.555,60.0,58.6763,10286320
2024-06-12,59.96,60.33,59.32,59.99,58.6665,10617900
