date,open,high,low,close,adjusted_close,volume
2024-01-16,134.12,134.975,133.28,133.85,131.7233,887084
2024-01-17,133.68,135.52,133.59,133.72,131.5954,794401
2024-01-18,132.76,134.64,132.17,134.23,132.0973,710002
2024-01-19,134.36,134.38,131.66,132.57,130.4636,945151
2024-01-22,132.71,132.96,130.25,130.71,128.6332,986250
2024-01-23,131.04,131.04,129.23,129.78,127.718,1194525
2024-01-24,129.8,130.5899,127.67,127.76,125.7301,1707306
2024-01-25,127.32,130.875,127.3,130.15,128.0821,1853625
2024-01-26,131.0,131.77,129.75,130.44,128.3675,965977
2024-01-29,129.9,129.95,128.83,129.34,127.285,911204
2024-01-30,129.61,129.855,128.43,128.83,126.7831,896441
2024-01-31,129.42,129.945,128.2,128.43,126.3894,1712932
2024-02-01,124.05,129.6,123.04,127.17,125.1494,2505744
2024-02-02,126.46,127.13,123.8201,125.0,123.0139,1276803
2024-02-05,124.67,124.88,123.1825,123.78,121.8133,1380152
2024-02-06,124.0,126.81,123.73,126.26,124.2539,1942731
2024-02-07,128.0,129.37,126.71,127.42,125.3955,1194664
2024-02-08,126.75,127.22,125.21,126.54,124.5295,1003351
2024-02-09,126.51,127.595,125.9165,126.74,124.7263,621259
2024-02-12,126.48,130.15,126.14,130.01,127.9443,1011298
2024-02-13,130.02,130.73,127.22,127.86,125.8285,791493
2024-02-14,127.87,128.7,126.91,127.72,125.6907,801068
2024-02-15,128.0,128.9,125.27,125.73,123.7323,1231785
2024-02-16,125.68,126.22,123.81,124.0,122.0298,1397279
2024-02-20,124.0,125.05,123.35,123.8,121.833,1124842
2024-02-21,124.06,126.79,123.3,126.73,124.7164,1488776
2024-02-22,126.14,126.57,124.0,125.34,123.3485,873792
2024-02-23,125.74,127.22,125.49,127.08,125.0609,787396
2024-02-26,125.92,127.9,125.44,126.2,124.1949,955988
2024-02-27,125.75,127.31,125.01,126.43,124.4212,631720
2024-02-28,126.29,126.9,125.5,125.66,123.6634,583663
2024-02-29,125.88,126.38,124.21,124.89,122.9057,1590487
2024-03-01,124.99,124.99,123.66,124.68,122.699,1034122
2024-03-04,124.1,126.0014,123.88,125.31,123.319,913698
2024-03-05,125.78,126.65,124.34,124.51,122.5317,1067982
