date,open,high,low,close,adjusted_close,volume
2024-01-16,225.0,229.59,224.81,226.75,225.7762,3267400
2024-01-17,225.54,229.14,223.48,224.58,223.6155,2225800
2024-01-18,223.7,227.49,222.53,226.31,225.3381,2867300
2024-01-19,226.59,231.67,224.73,231.05,230.0577,3257700
2024-01-22,230.77,233.27,228.78,231.97,230.9738,2276200
2024-01-23,233.1,233.25,230.53,232.1,231.1032,1890200
2024-01-24,230.73,232.89,228.43,228.61,227.6282,2106300
2024-01-25,231.33,232.11,226.62,227.39,226.4134,3468300
2024-01-26,236.54,240.58,232.87,233.0,231.9994,6343900
2024-01-29,232.92,234.02,231.15,233.93,232.9254,3127700
2024-01-30,244.05,245.4,238.46,244.95,243.898,6158400
2024-01-31,245.6,248.78,239.6,239.91,238.8797,5077100
2024-02-01,239.36,245.3,238.71,245.13,244.0773,2711700
2024-02-02,244.0,247.87,242.15,246.33,245.2721,2819500
2024-02-05,244.86,249.23,243.1,245.82,244.7643,2644200
2024-02-06,245.69,248.46,244.42,248.2,247.1341,2443100
2024-02-07,247.92,249.89,246.23,246.64,245.5808,2300700
2024-02-08,246.45,246.8,244.08,245.87,244.8141,1774400
2024-02-09,245.0,247.25,242.88,242.95,241.9066,2538300
2024-02-12,243.76,247.08,241.69,246.83,245.77,2284800
2024-02-13,244.98,246.2,238.4,241.53,240.4927,2189400
2024-02-14,243.02,248.47,242.33,247.99,246.925,2838100
2024-02-15,247.54,251.7,247.54,248.96,247.8908,2360900
2024-02-16,248.81,252.33,248.28,250.0,248.9263,2152200
2024-02-20,248.66,250.79,246.82,247.77,246.7059,1982800
2024-02-21,246.31,250.75,246.06,250.65,249.5736,1545400
2024-02-22,251.42,253.42,249.24,252.73,251.6446,1826000
2024-02-23,254.0,255.0,252.58,253.84,252.7499,1351200
2024-02-26,253.32,254.32,250.44,251.65,250.5693,2506300
2024-02-27,252.12,255.59,251.37,254.86,253.7655,2265200
2024-02-28,254.06,256.56,253.54,255.71,254.6118,1945000
2024-02-29,256.77,257.09,252.98,253.14,252.0529,3466700
2024-03-01,252.96,256.38,251.47,255.87,254.7711,1908700
2024-03-04,256.52,259.0,254.85,256.19,255.0898,2888700
2024-03-05,255.16,257.96,254.18,254.39,253.2975,2277800
2024-03-06,255.48,257.08,252.25,252.9,251.8139,3733100
2024-03-07,254.81,255.85,253.31,254.12,253.0287,2857200
2024-03-08,253.1,255.84,252.96,253.69,252.6005,1786000
2024-03-11,252.5,254.0,250.74,252.8,251.7143,1360800
2024-03-12,252.83,255.42,252.01,253.1,252.013,2221800
2024-03-13,254.39,255.68,253.1,255.35,254.2534,2249300
2024-03-14,253.87,256.0,250.54,253.22,252.1325,2635500
