date,open,high,low,close,adjusted_close,volume
2024-01-16,108.47,108.865,104.065,104.82,104.82,1295789
2024-01-17,104.29,106.465,103.76,104.65,104.65,719595
2024-01-18,104.41,105.41,103.665,105.41,105.41,738942
2024-01-19,105.32,105.5448,104.14,104.76,104.76,900745
2024-01-22,105.08,106.59,104.56,104.63,104.63,847715
2024-01-23,105.27,106.88,103.4,103.89,103.89,777982
2024-01-24,105.62,106.66,103.55,104.46,104.46,789880
2024-01-25,104.7,107.6,104.7,107.43,107.43,966377
2024-01-26,107.62,108.58,107.06,107.17,107.17,803830
2024-01-29,106.44,108.37,105.825,108.31,108.31,754158
2024-01-30,108.45,109.24,107.44,107.52,107.52,670794
2024-01-31,108.16,109.74,107.74,108.16,108.16,675127
2024-02-01,108.42,112.5,108.04,112.23,112.23,891338
2024-02-02,111.32,112.02,110.5,111.21,111.21,640896
2024-02-05,110.95,111.67,109.59,110.74,110.74,799035
2024-02-06,110.98,112.84,110.825,112.08,112.08,847702
2024-02-07,112.09,113.705,111.41,111.61,111.61,711338
2024-02-08,111.17,111.285,109.71,110.82,110.82,602685
2024-02-09,110.86,111.28,109.73,109.86,109.86,788695
2024-02-12,110.27,114.585,108.76,114.3,114.3,1610396
2024-02-13,112.28,115.31,111.1,113.6,113.6,1488939
2024-02-14,123.0,128.28,120.59,123.41,123.41,2896627
2024-02-15,123.7,124.86,118.56,119.87,119.87,1458505
2024-02-16,119.29,124.28,118.6001,122.22,122.22,1065200
2024-02-20,122.17,123.44,120.94,123.0,123.0,865247
2024-02-21,122.03,122.51,119.42,120.89,120.89,945088
2024-02-22,121.15,123.31,120.78,122.87,122.87,793849
2024-02-23,122.95,125.47,122.65,125.26,125.26,630572
2024-02-26,126.55,126.79,124.9,124.96,124.96,625182
2024-02-27,124.53,128.04,124.42,127.6,127.6,854369
2024-02-28,127.58,128.715,126.07,126.97,126.97,706665
2024-02-29,127.21,127.905,125.69,126.97,126.97,1041200
2024-03-01,127.03,127.26,124.7,126.92,126.92,835405
2024-03-04,126.46,128.31,124.7801,125.73,125.73,717862
2024-03-05,133.4,136.29,132.0,134.65,134.65,1990771
2024-03-06,133.04,134.895,130.8801,131.98,131.98,898815
2024-03-07,132.58,135.69,132.34,134.08,134.08,645661
2024-03-08,134.08,136.6,134.08,135.17,135.17,494942
2024-03-11,134.34,137.91,134.26,135.82,135.82,811358
2024-03-12,135.84,139.72,135.7969,139.21,139.21,949998
2024-03-13,139.5,141.54,136.715,138.27,138.27,1043603
2024-03-14,138.14,138.57,134.84,136.0,136.0,558550
2024-03-15,133.9,136.72,133.01,136.65,136.65,4320667
2024-03-18,135.26,138.711,134.08,137.02,137.02,830223
2024-03-19,137.17,138.78,137.17,138.33,138.33,620783
2024-03-20,138.47,139.38,137.2,138.78,138.78,626035
2024-03-21,138.93,139.3539,135.0,136.24,136.24,704362
2024-03-22,136.4,136.86,133.16,134.11,134.11,603201
2024-03-25,135.31,136.19,134.28,134.77,134.77,504596
2024-03-26,135.0,136.63,134.795,135.25,135.25,431171
2024-03-27,136.41,137.0,135.69,136.85,136.85,251918
2024-03-28,137.0,138.14,136.955,138.05,138.05,608798
2024-04-01,138.14,138.25,136.03,137.84,137.84,455939
2024-04-02,134.74,136.16,131.81,135.04,135.04,926460
2024-04-03,135.15,136.285,134.905,135.29,135.29,489669
2024-04-04,136.4,136.4,132.72,132.95,132.95,555426
2024-04-05,133.18,134.41,132.35,133.61,133.61,474736
2024-04-08,133.72,134.235,132.48,133.73,133.73,383108
2024-04-09,134.6,134.81,133.19,134.08,134.08,310549
2024-04-10,133.01,134.48,131.99,132.06,132.06,454522
2024-04-11,132.61,132.61,130.7801,131.4,131.4,342290
2024-04-12,130.7,131.82,129.5201,130.42,130.42,513129
2024-04-15,132.28,133.077,129.86,129.96,129.96,451200
2024-04-16,130.48,130.98,128.69,129.78,129.78,345882
2024-04-17,130.64,130.64,126.84,127.64,127.64,555041
2024-04-18,127.6,128.57,125.64,126.11,126.11,749549
2024-04-19,126.81,128.535,125.97,127.82,127.82,487093
2024-04-22,128.75,132.72,128.69,132.52,132.52,673396
2024-04-23,133.01,135.7125,132.9,133.91,133.91,402045
2024-04-24,133.1,134.285,132.73,132.74,132.74,472887
2024-04-25,132.57,133.18,131.34,132.77,132.77,519286
2024-04-26,131.7,134.01,130.96,133.51,133.51,477673
2024-04-29,133.23,139.24,133.23,138.14,138.14,990814
2024-04-30,137.62,139.48,137.14,139.01,139.01,947439
2024-05-01,138.11,140.75,136.35,139.75,139.75,1127667
2024-05-02,141.37,143.23,139.72,142.24,142.24,1893560
2024-05-03,143.0,145.04,131.27,134.45,134.45,2541405
2024-05-06,135.48,138.46,134.0,136.87,136.87,1442587
2024-05-07,136.68,138.1,135.4,137.69,137.69,977496
2024-05-08,137.69,137.97,135.64,135.85,135.85,725130
2024-05-09,136.02,138.47,135.5,137.94,137.94,619091
2024-05-10,138.47,140.31,136.71,137.52,137.52,743556
2024-05-13,137.19,139.025,136.42,136.59,136.59,613353
2024-05-14,136.94,137.14,135.7075,137.01,137.01,595428
2024-05-15,137.59,138.275,136.21,137.88,137.88,569414
2024-05-16,137.56,138.56,136.39,136.48,136.48,603039
2024-05-17,137.15,140.45,137.0,139.82,139.82,758649
2024-05-20,139.82,141.435,138.79,140.93,140.93,827249
2024-05-21,140.92,141.26,138.51,138.69,138.69,687379
2024-05-22,138.01,138.7,134.73,134.75,134.75,933688
2024-05-23,134.23,134.65,131.44,132.25,132.25,945280
2024-05-24,139.0,139.5,136.53,138.54,138.54,1169810
2024-05-28,138.05,144.06,137.32,143.67,143.67,1178516
2024-05-29,142.54,147.26,142.11,146.69,146.69,1216455
2024-05-30,147.08,147.9275,145.44,147.14,147.14,920390
2024-05-31,147.07,147.33,144.45,147.12,147.12,1349981
2024-06-03,146.27,147.3,144.28,145.61,145.61,834227
2024-06-04,145.03,145.03,142.115,143.31,143.31,613208
2024-06-05,143.98,145.6175,142.725,145.03,145.03,738930
2024-06-06,145.1,145.77,143.5,143.84,143.84,686806
2024-06-07,143.43,145.41,142.48,143.18,143.18,960553
2024-06-10,142.31,142.68,139.64,141.58,141.58,659834
2024-06-11,141.39,141.53,139.34,139.86,139.86,715653
2024-06-12,140.38,143.62,139.81,142.69,142.69,701042
2024-06-13,140.79,142.8,139.27,142.16,142.16,558569
2024-06-14,140.99,141.32,139.5,141.16,141.16,512239
2024-06-17,140.34,142.77,138.77,141.24,141.24,997868
2024-06-18,140.6,142.6693,140.14,142.21,142.21,819246
2024-06-20,141.69,145.3204,139.19,140.24,140.24,1040699
2024-06-21,140.22,143.08,136.5,141.38,141.38,5696210
2024-06-24,142.04,144.57,139.25,143.88,143.88,1129129
2024-06-25,143.9,144.11,141.62,142.92,142.92,628812
2024-06-26,142.07,142.953,139.86,142.16,142.16,838144
2024-06-27,141.67,141.7,139.24,141.45,141.45,719894
2024-06-28,140.85,142.71,138.23,138.57,138.57,932041
2024-07-01,139.32,142.6,138.48,138.61,138.61,644252
2024-07-02,138.34,139.08,137.09,138.45,138.45,680777
2024-07-03,139.11,139.11,137.48,137.95,137.95,572044
2024-07-05,137.96,138.33,135.77,136.45,136.45,863502
2024-07-08,136.97,138.14,135.84,137.38,137.38,564286
2024-07-09,137.34,138.82,136.75,137.92,137.92,455985
2024-07-10,138.86,139.7,138.23,139.37,139.37,622752
2024-07-11,140.0,141.3,139.56,140.25,140.25,411652
2024-07-12,140.58,144.1,140.52,141.55,141.55,838537
2024-07-15,140.49,142.79,135.51,135.95,135.95,779101
2024-07-16,136.9,138.88,136.44,137.72,137.72,562492
2024-07-17,137.5,140.33,137.015,139.68,139.68,654101
2024-07-18,140.68,142.38,135.71,136.06,136.06,848479
2024-07-19,136.9,138.89,134.48,137.95,137.95,698407
2024-07-22,137.96,140.02,137.96,139.96,139.96,395772
2024-07-23,141.13,142.205,139.89,141.86,141.86,330391
2024-07-24,142.73,144.86,142.17,143.81,143.81,356375
2024-07-25,143.89,145.375,142.28,142.5,142.5,337679
2024-07-26,143.39,143.79,136.3,137.41,137.41,830983
2024-07-29,137.61,140.03,136.94,139.16,139.16,500884
2024-07-30,137.95,139.3275,133.61,136.47,136.47,638002
2024-07-31,136.55,137.8,134.53,136.62,136.62,760765
2024-08-01,136.72,138.14,135.12,137.52,137.52,446232
2024-08-02,136.21,140.09,134.8701,139.52,139.52,602141
2024-08-05,136.72,138.675,134.91,135.41,135.41,785443
2024-08-06,134.58,140.51,134.0,136.99,136.99,1280224
2024-08-07,142.05,142.88,131.76,133.98,133.98,1431817
2024-08-08,134.94,139.5,133.525,138.88,138.88,865108
2024-08-09,138.73,141.07,136.74,140.3,140.3,581736
2024-08-12,139.93,144.59,139.66,143.63,143.63,745451
2024-08-13,144.2,147.91,144.2,145.84,145.84,871984
2024-08-14,146.29,151.05,145.3,148.88,148.88,1106121
2024-08-15,150.07,151.55,148.58,149.96,149.96,933254
2024-08-16,150.0,151.27,148.52,150.3,150.3,680482
2024-08-19,150.3,152.2155,150.3,152.17,152.17,643098
2024-08-20,151.76,152.08,147.37,147.58,147.58,759804
2024-08-21,148.4,150.699,147.8246,150.6,150.6,542107
2024-08-22,151.2,152.37,149.51,152.35,152.35,396536
2024-08-23,153.3,155.56,152.62,153.99,153.99,475434
2024-08-26,154.0,156.44,153.1943,154.75,154.75,491473
2024-08-27,154.79,156.09,154.4101,154.85,154.85,460983
2024-08-28,154.89,155.19,153.53,153.58,153.58,519563
2024-08-29,153.79,154.71,152.15,153.24,153.24,655191
2024-08-30,152.97,153.84,147.583,150.92,150.92,1085976
2024-09-03,150.0,152.01,148.77,151.98,151.98,878773
2024-09-04,152.03,152.34,149.54,151.37,151.37,491752
2024-09-05,151.23,151.76,148.1301,148.74,148.74,609861
2024-09-06,149.16,151.44,148.305,149.98,149.98,752611
2024-09-09,150.43,152.747,148.95,150.24,150.24,823511
2024-09-10,150.53,154.56,149.69,153.55,153.55,768099
2024-09-11,153.04,154.6,150.59,153.99,153.99,567108
2024-09-12,154.04,160.8192,154.04,157.64,157.64,1130973
2024-09-13,159.31,163.59,157.59,163.56,163.56,806914
2024-09-16,164.13,166.02,163.88,165.19,165.19,760648
2024-09-17,165.93,166.035,162.51,164.22,164.22,882615
2024-09-18,162.32,163.54,160.025,163.16,163.16,831010
2024-09-19,165.26,166.04,161.34,163.14,163.14,850194
2024-09-20,163.13,165.17,161.6688,164.0,164.0,2139252
2024-09-23,165.0,165.87,161.31,161.58,161.58,724521
2024-09-24,161.4,161.79,159.27,161.57,161.57,829125
2024-09-25,162.42,164.75,161.56,164.11,164.11,658319
2024-09-26,164.07,165.78,162.24,162.26,162.26,460799
2024-09-27,162.37,164.505,161.4409,163.08,163.08,395387
2024-09-30,164.31,164.31,161.985,163.93,163.93,480011
2024-10-01,163.52,163.94,160.59,162.75,162.75,620235
2024-10-02,162.55,163.06,158.93,159.11,159.11,709143
2024-10-03,159.03,159.52,156.6,159.07,159.07,617391
2024-10-04,159.66,161.08,159.01,160.69,160.69,391592
2024-10-07,160.16,160.16,155.4,157.54,157.54,887244
2024-10-08,157.41,158.375,152.61,154.35,154.35,986554
2024-10-09,154.12,159.63,153.0,159.3,159.3,710393
2024-10-10,159.26,162.0,159.02,159.43,159.43,574021
2024-10-11,159.88,161.62,159.675,160.85,160.85,405373
2024-10-14,161.0,162.897,160.3077,161.83,161.83,378531
2024-10-15,161.1,167.31,161.06,164.57,164.57,808271
2024-10-16,164.37,168.5,164.37,164.82,164.82,513464
2024-10-17,163.99,165.25,159.64,160.1,160.1,714115
2024-10-18,160.21,162.54,158.27,161.97,161.97,575209
2024-10-21,162.13,162.985,160.95,161.54,161.54,391929
2024-10-22,160.81,163.48,160.2557,163.16,163.16,484505
2024-10-23,162.7,164.25,161.63,162.78,162.78,702904
2024-10-24,162.77,163.96,160.0652,161.38,161.38,507454
2024-10-25,160.64,160.82,156.56,156.99,156.99,854416
2024-10-28,157.97,159.32,156.64,157.05,157.05,827494
2024-10-29,157.47,160.45,156.5228,158.31,158.31,1267605
2024-10-30,148.02,150.0,138.0,141.22,141.22,3294919
2024-10-31,142.2,142.2,138.59,139.81,139.81,1176789
