date,open,high,low,close,adjusted_close,volume
2024-01-16,123.59,124.94,121.29,124.46,124.46,3116700
2024-01-17,123.0,125.53,122.54,125.45,125.45,1905600
2024-01-18,126.26,128.0,125.3,127.45,127.45,3594800
2024-01-19,127.12,127.99,125.06,127.29,127.29,2819300
2024-01-22,129.2,130.31,128.65,129.29,129.29,3290100
2024-01-23,129.15,129.32,125.39,127.12,127.12,1823000
2024-01-24,128.1,128.56,125.74,127.42,127.42,1761900
2024-01-25,129.14,129.39,125.24,126.51,126.51,1680100
2024-01-26,126.07,126.39,119.71,121.96,121.96,3851100
2024-01-29,121.88,124.26,119.55,124.25,124.25,2675300
2024-01-30,123.14,123.24,120.6,120.79,120.79,2680800
2024-01-31,121.23,123.06,120.12,121.35,121.35,2392800
2024-02-01,122.15,123.87,119.92,122.6,122.6,2478200
2024-02-02,122.21,122.45,119.63,120.96,120.96,2559400
2024-02-05,120.71,121.8,119.6,121.23,121.23,2714700
2024-02-06,121.81,124.98,120.43,124.92,124.92,1988200
2024-02-07,124.92,127.13,124.28,126.61,126.61,2246600
2024-02-08,127.2,127.37,125.21,127.05,127.05,4298600
2024-02-09,123.0,124.99,120.29,120.47,120.47,5639200
2024-02-12,119.53,120.5,117.14,118.42,118.42,5252200
2024-02-13,116.52,120.24,116.26,117.03,117.03,3308200
2024-02-14,117.03,117.7,114.96,116.75,116.75,3158200
2024-02-15,117.08,118.51,116.05,117.69,117.69,3125500
2024-02-16,116.83,118.81,116.32,117.05,117.05,3971400
2024-02-20,116.73,119.1,116.73,117.87,117.87,3198900
2024-02-21,117.0,117.96,115.3,116.39,116.39,2933600
2024-02-22,117.55,118.0,115.36,117.5,117.5,3037200
2024-02-23,117.13,118.49,116.01,116.26,116.26,6214000
2024-02-26,116.35,118.19,115.85,116.17,116.17,2812700
2024-02-27,116.25,116.42,114.55,115.32,115.32,2269300
2024-02-28,115.61,115.71,113.05,114.22,114.22,2764000
2024-02-29,115.09,115.56,114.03,115.07,115.07,3556900
2024-03-01,114.37,122.23,113.69,121.74,121.74,4530500
2024-03-04,121.76,124.3,120.51,122.3,122.3,3477400
2024-03-05,123.08,123.91,120.9,121.78,121.78,3543600
2024-03-06,126.1,133.94,124.12,133.72,133.72,9510500
2024-03-07,135.6,137.93,132.26,133.24,133.24,5021500
2024-03-08,134.0,136.25,132.33,135.25,135.25,3761200
2024-03-11,134.65,136.4,133.01,133.04,133.04,3227900
2024-03-12,133.0,136.73,130.74,135.38,135.38,3364100
2024-03-13,136.1,137.46,131.53,131.68,131.68,2945500
2024-03-14,132.44,133.0,128.72,129.5,129.5,2589800
2024-03-15,130.95,131.82,128.62,130.46,130.46,3965200
2024-03-18,131.68,135.58,131.51,134.72,134.72,2661600
2024-03-19,133.83,134.33,131.64,134.17,134.17,2267900
2024-03-20,134.87,135.81,131.31,132.53,132.53,1921500
2024-03-21,133.48,136.45,133.15,133.41,133.41,2185500
2024-03-22,133.54,134.38,131.36,133.18,133.18,1426200
2024-03-25,133.39,140.88,133.39,140.1,140.1,3917400
2024-03-26,140.69,142.0,138.5,139.93,139.93,3096100
2024-03-27,141.55,141.87,138.12,139.48,139.48,2031700
2024-03-28,139.98,140.8,138.51,138.7,138.7,2519900
2024-04-01,138.79,139.62,136.98,137.94,137.94,1862400
2024-04-02,136.33,137.99,135.21,136.65,136.65,2376500
2024-04-03,136.73,139.96,136.59,138.51,138.51,1734900
2024-04-04,139.56,139.71,133.23,133.34,133.34,3034300
2024-04-05,133.13,139.11,131.74,138.93,138.93,2427100
2024-04-08,139.53,140.91,137.47,139.94,139.94,2285600
2024-04-09,140.78,141.99,138.53,140.45,140.45,2777000
2024-04-10,138.81,140.65,137.42,140.32,140.32,1847000
2024-04-11,140.1,141.25,138.15,139.62,139.62,2070100
2024-04-12,138.02,138.77,134.28,136.14,136.14,2412900
2024-04-15,137.81,138.01,134.5,134.56,134.56,2553500
2024-04-16,135.29,137.82,133.21,136.52,136.52,3036300
2024-04-17,136.07,136.64,132.88,133.86,133.86,3222500
2024-04-18,134.36,135.99,133.58,134.3,134.3,2116500
2024-04-19,134.64,135.06,129.17,130.71,130.71,2849400
2024-04-22,131.26,132.36,129.74,131.52,131.52,2110200
2024-04-23,131.47,135.31,131.0,134.0,134.0,2014900
2024-04-24,132.79,138.5,132.47,137.87,137.87,3238200
2024-04-25,138.91,139.24,134.39,138.01,138.01,4203200
2024-04-26,132.5,138.81,124.08,124.34,124.34,8578200
2024-04-29,125.15,128.51,123.08,125.81,125.81,3846800
2024-04-30,126.25,128.65,125.08,127.39,127.39,3049100
2024-05-01,126.21,128.74,123.52,125.88,125.88,2916500
2024-05-02,127.03,127.88,124.61,126.65,126.65,2311400
2024-05-03,127.22,129.22,126.91,128.37,128.37,1779000
2024-05-06,128.52,129.94,127.79,129.65,129.65,1858400
2024-05-07,129.6,130.32,128.99,130.1,130.1,1425100
2024-05-08,130.18,130.36,127.04,127.42,127.42,1336600
