date,open,high,low,close,adjusted_close,volume
2024-01-16,73.43,74.265,72.99,73.99,73.99,4298167
2024-01-17,73.59,73.94,72.81,73.82,73.82,2763274
2024-01-18,73.93,74.55,73.38,74.44,74.44,3822650
2024-01-19,74.64,74.75,73.53,74.31,74.31,3581190
2024-01-22,74.75,76.54,74.6097,75.16,75.16,3408110
2024-01-23,75.59,75.86,74.13,74.83,74.83,2410194
2024-01-24,75.16,75.19,72.47,72.54,72.54,4457582
2024-01-25,73.33,73.78,71.92,73.55,73.55,4588601
2024-01-26,73.55,73.805,72.97,73.24,73.24,2812092
2024-01-29,72.98,74.62,72.7071,74.57,74.57,2685701
2024-01-30,74.36,74.48,73.68,73.9,73.9,2118650
2024-01-31,77.76,79.93,77.195,78.47,78.47,9470520
2024-02-01,78.29,78.91,77.11,78.71,78.71,5020840
2024-02-02,80.0,86.47,79.715,86.09,86.09,11803020
2024-02-05,88.0,90.2,85.99,86.06,86.06,10824780
2024-02-06,86.13,88.83,85.0,88.25,88.25,7193564
2024-02-07,89.44,89.44,82.53,86.61,86.61,7386808
2024-02-08,86.45,86.645,85.21,85.8,85.8,3723162
2024-02-09,86.08,86.69,84.89,85.01,85.01,3052186
2024-02-12,84.83,87.47,84.44,87.12,87.12,3826186
2024-02-13,86.0,87.48,85.305,86.26,86.26,4012986
2024-02-14,86.62,87.28,85.03,86.04,86.04,4976605
2024-02-15,86.3,86.71,85.38,86.04,86.04,2727306
2024-02-16,85.84,87.25,85.43,86.1,86.1,2122134
2024-02-20,85.8,87.0,85.3,86.9,86.9,3235818
2024-02-21,87.02,87.16,86.2,86.65,86.65,2142405
2024-02-22,86.36,87.76,85.49,87.62,87.62,2460753
2024-02-23,87.92,88.33,87.37,87.74,87.74,2797860
2024-02-26,87.39,87.73,85.84,86.15,86.15,6366033
2024-02-27,86.12,86.72,85.41,86.51,86.51,4069696
2024-02-28,86.32,86.62,85.475,86.0,86.0,2635365
2024-02-29,86.0,86.03,84.43,84.87,84.87,5175059
2024-03-01,84.4,85.74,83.61,85.22,85.22,3296234
2024-03-04,85.36,87.59,85.32,87.02,87.02,6772501
2024-03-05,86.79,87.4,85.655,86.1,86.1,2226179
2024-03-06,86.43,88.654,86.28,88.33,88.33,3552002
2024-03-07,90.98,93.8925,90.74,93.81,93.81,6846629
2024-03-08,93.34,94.205,91.91,92.14,92.14,5909408
2024-03-11,91.73,92.04,90.7,90.83,90.83,2974007
2024-03-12,90.58,91.15,89.79,90.91,90.91,2323870
2024-03-13,90.91,93.3,90.09,92.93,92.93,7036488
2024-03-14,93.03,95.27,92.47,93.36,93.36,5066707
2024-03-15,92.46,94.0,92.16,92.31,92.31,5700263
2024-03-18,92.48,93.04,91.95,92.85,92.85,2899689
2024-03-19,93.14,94.44,92.32,94.31,94.31,3893551
2024-03-20,94.26,94.4,91.98,93.04,93.04,3385235
2024-03-21,93.9,95.18,93.88,94.68,94.68,3731873
2024-03-22,94.46,95.08,93.2,93.79,93.79,2452996
2024-03-25,93.93,94.5,92.96,93.16,93.16,2497213
2024-03-26,93.47,94.33,93.22,93.42,93.42,2750083
2024-03-27,93.75,95.35,93.5872,95.15,95.15,3656907
2024-03-28,95.48,96.12,94.87,95.56,95.56,4007477
