date,open,high,low,close,adjusted_close,volume
2024-01-16,280.66,282.215,279.41,280.82,278.6432,841567
2024-01-17,278.65,281.94,276.5,277.88,275.726,737380
2024-01-18,279.01,285.87,278.5,284.82,282.6122,1316673
2024-01-19,286.09,288.09,283.42,287.77,285.5394,1212203
2024-01-22,288.59,290.97,287.03,288.31,286.0752,1768975
2024-01-23,288.75,291.36,283.67,284.91,282.7015,1992005
2024-01-24,285.15,286.49,278.68,278.93,276.7679,1435665
2024-01-25,280.29,286.21,279.93,286.02,283.8029,1438826
2024-01-26,287.49,288.195,281.94,283.43,281.233,929871
2024-01-29,282.42,287.19,281.61,286.73,284.5074,1742821
2024-01-30,300.0,304.95,296.12,301.59,299.2522,2483214
2024-01-31,303.42,309.33,302.39,304.9,302.5366,2555880
2024-02-01,303.35,314.82,303.35,314.66,312.2209,1739760
2024-02-02,313.0,313.0,307.15,309.42,307.0215,1280094
2024-02-05,308.79,312.5091,308.09,310.62,308.2122,861939
2024-02-06,310.63,312.49,304.97,306.82,304.4417,1261321
2024-02-07,307.66,310.18,306.24,307.28,304.8981,890834
2024-02-08,307.06,307.71,302.11,305.46,303.0922,899476
2024-02-09,305.62,307.5116,305.49,306.32,303.9456,770443
2024-02-12,306.0,311.48,303.47,310.16,307.7558,1367663
2024-02-13,306.04,308.01,301.83,304.54,302.1794,996792
2024-02-14,306.15,307.35,303.82,305.43,303.0625,936145
2024-02-15,306.89,309.31,305.805,307.66,305.2752,839673
2024-02-16,307.24,311.35,306.62,308.55,306.1583,869056
2024-02-20,306.68,309.855,306.68,308.58,306.188,774903
2024-02-21,307.5,311.83,307.5,311.62,309.2045,572969
2024-02-22,311.02,318.3,309.57,312.84,310.415,1618066
2024-02-23,313.75,316.98,313.75,315.36,312.9155,787179
2024-02-26,316.0,316.5,313.08,313.2,310.7722,858250
2024-02-27,312.89,315.0,311.59,314.0,311.566,620056
2024-02-28,314.62,316.72,309.7383,312.06,309.6411,738663
2024-02-29,313.96,314.03,309.57,311.7,309.2839,1479178
2024-03-01,311.59,313.99,308.47,311.98,309.5617,1211957
2024-03-04,312.55,314.7,310.72,314.08,311.6454,750583
2024-03-05,315.0,317.86,312.54,315.54,313.0941,987356
2024-03-06,317.3,324.17,316.745,323.4,320.8932,1914034
2024-03-07,325.31,328.685,324.29,324.66,322.1434,966801
2024-03-08,324.45,328.74,324.45,325.37,322.8479,708713
2024-03-11,323.67,325.04,317.0,321.25,318.7598,1043905
2024-03-12,320.75,326.23,319.09,323.55,321.042,1048725
2024-03-13,323.75,325.2,321.23,321.9,319.4048,969742
2024-03-14,321.74,325.05,319.25,324.78,322.9246,1058172
2024-03-15,318.9,323.67,318.9,321.97,320.1306,1230985
2024-03-18,321.97,328.17,321.7,327.17,325.3009,829493
2024-03-19,328.5,330.72,327.697,330.48,328.592,916813
2024-03-20,330.25,331.395,328.57,328.86,326.9813,828226
2024-03-21,329.23,334.025,328.565,328.85,326.9713,1041201
2024-03-22,328.75,330.685,327.46,329.94,328.0551,710107
2024-03-25,330.0,331.57,327.26,327.32,325.4501,755710
2024-03-26,326.75,330.37,326.2,327.71,325.8378,891333
2024-03-27,331.02,332.58,329.46,331.69,329.7951,1031976
2024-03-28,332.76,334.49,330.735,333.53,331.6246,812722
2024-04-01,332.32,332.53,327.68,330.11,328.2241,850509
2024-04-02,329.04,329.635,325.53,329.35,327.4685,904583
2024-04-03,329.12,332.66,328.95,332.2,330.3022,791734
2024-04-04,334.5,335.83,324.51,325.17,323.3123,749510
2024-04-05,326.22,329.55,326.22,328.8,326.9216,604424
2024-04-08,326.49,329.395,325.08,328.02,326.1461,1063600
2024-04-09,329.0,329.43,325.29,328.89,327.0111,667214
2024-04-10,326.25,329.24,324.63,327.76,325.8875,735175
2024-04-11,329.26,329.52,324.21,327.25,325.3805,643375
2024-04-12,326.16,329.11,320.64,322.82,320.9758,994870
2024-04-15,327.73,329.93,321.18,322.63,320.7869,731891
2024-04-16,323.36,323.36,311.905,313.89,312.0968,1623133
2024-04-17,315.48,315.5514,310.15,311.03,309.2531,1511041
2024-04-18,303.01,304.6099,292.97,297.0,295.3033,2767460
2024-04-19,298.64,305.91,297.35,305.11,303.3669,1651998
2024-04-22,307.26,313.1,307.01,310.31,308.5372,1131398
2024-04-23,312.35,320.22,312.35,319.43,317.6051,1183445
2024-04-24,318.83,322.0,317.7,319.02,317.1975,835559
2024-04-25,321.4,322.26,312.13,314.12,312.3255,1584992
2024-04-26,297.38,307.27,295.7857,306.69,304.9379,2257051
2024-04-29,308.85,312.84,307.59,311.42,309.6409,1162825
2024-04-30,312.32,313.42,308.145,309.82,308.05,955770
2024-05-01,307.44,313.87,307.05,309.44,307.6722,812452
2024-05-02,312.0,312.0,307.08,308.84,307.0756,868730
2024-05-03,312.0,314.57,307.3,307.76,306.0018,1044934
2024-05-06,309.27,310.99,307.83,310.06,308.2887,751196
2024-05-07,312.12,314.63,309.81,314.45,312.6536,1178503
