date,open,high,low,close,adjusted_close,volume
2024-01-16,72.42,72.93,71.85,72.89,72.89,1760660
2024-01-17,72.59,73.63,72.4518,73.05,73.05,1275433
2024-01-18,72.95,73.82,72.77,73.55,73.55,1167001
2024-01-19,73.76,73.81,73.0,73.52,73.52,1193346
2024-01-22,73.52,74.37,73.52,74.04,74.04,1084790
2024-01-23,74.26,74.87,74.1,74.71,74.71,1440370
2024-01-24,74.9,74.98,73.98,74.09,74.09,1540457
2024-01-25,74.5,74.7,73.26,74.14,74.14,1713277
2024-01-26,74.45,74.89,74.29,74.41,74.41,1816157
2024-01-29,74.21,75.155,74.21,74.98,74.98,1571186
2024-01-30,75.0,75.26,74.67,74.93,74.93,1410821
2024-01-31,75.05,75.75,74.09,74.44,74.44,2461239
2024-02-01,74.45,74.695,73.42,74.41,74.41,1861260
2024-02-02,74.4,75.12,71.67,72.44,72.44,4242539
2024-02-05,72.15,72.665,71.25,72.04,72.04,2840356
2024-02-06,72.47,74.575,72.12,74.17,74.17,2697511
2024-02-07,74.55,74.6,73.61,73.85,73.85,2266938
2024-02-08,73.6,73.635,72.672,73.43,73.43,1886926
2024-02-09,73.61,74.15,73.09,73.44,73.44,1534541
2024-02-12,73.31,74.18,73.14,74.06,74.06,1571773
2024-02-13,73.81,74.54,72.815,73.27,73.27,1734958
2024-02-14,73.27,73.35,72.5,73.15,73.15,1766133
2024-02-15,73.52,73.93,73.17,73.8,73.8,2418666
2024-02-16,73.66,74.57,73.57,73.79,73.79,2947343
2024-02-20,73.69,74.81,73.66,74.58,74.58,1452544
2024-02-21,74.67,75.85,74.61,75.82,75.82,1970952
2024-02-22,75.64,76.5,75.53,75.88,75.88,1479522
2024-02-23,76.17,76.48,75.64,76.15,76.15,1417898
2024-02-26,75.75,76.1875,74.56,74.81,74.81,1657158
2024-02-27,74.83,75.5,74.44,75.36,75.36,1524602
2024-02-28,75.36,75.36,73.86,74.12,74.12,1866311
2024-02-29,74.41,74.5,73.155,73.8,73.8,2114742
2024-03-01,73.77,74.5,73.165,73.65,73.65,1358025
2024-03-04,73.27,74.84,73.05,74.6,74.6,1533089
2024-03-05,74.99,74.99,73.58,73.76,73.76,1410193
2024-03-06,73.89,76.22,73.89,75.2,75.2,1543938
2024-03-07,75.45,76.47,75.45,76.32,76.32,1573512
2024-03-08,76.21,77.14,76.0308,77.05,77.05,1417269
2024-03-11,76.93,77.04,75.81,76.33,76.33,1223561
2024-03-12,75.98,76.62,75.6,75.64,75.64,1586065
2024-03-13,75.86,76.79,75.73,76.33,76.33,1604545
2024-03-14,75.62,76.32,74.755,75.34,75.34,1877582
2024-03-15,74.63,75.96,74.47,75.91,75.91,5286988
2024-03-18,76.15,76.81,75.635,76.35,76.35,1500979
2024-03-19,76.53,76.53,75.71,76.31,76.31,2299394
2024-03-20,76.22,76.46,74.77,75.04,75.04,1264998
2024-03-21,75.04,75.71,74.8,75.52,75.52,1269797
2024-03-22,75.72,75.99,74.725,75.26,75.26,862212
2024-03-25,75.44,75.72,75.15,75.65,75.65,1435201
2024-03-26,75.64,76.375,75.22,76.17,76.17,2484138
2024-03-27,76.6,77.37,76.455,77.35,77.35,1270206
2024-03-28,77.47,78.16,77.09,77.96,77.96,1990262
2024-04-01,77.9,77.91,76.1,76.12,76.12,1405009
2024-04-02,76.12,76.21,75.66,76.08,76.08,1415409
2024-04-03,76.85,77.56,76.25,77.53,77.53,1661420
2024-04-04,78.49,79.22,77.21,77.28,77.28,1835920
2024-04-05,77.35,78.0,76.94,77.98,77.98,1485429
2024-04-08,78.03,78.165,77.25,77.38,77.38,1603200
2024-04-09,77.91,78.43,77.65,78.41,78.41,1336395
2024-04-10,77.8,78.345,77.27,77.61,77.61,1670312
2024-04-11,78.18,78.25,77.23,77.78,77.78,1657913
2024-04-12,77.51,77.82,76.87,77.33,77.33,1573811
2024-04-15,78.05,78.35,77.26,77.54,77.54,1605404
2024-04-16,77.82,78.04,75.1,75.11,75.11,1764609
2024-04-17,75.28,75.55,74.7,74.92,74.92,1697868
2024-04-18,74.97,75.35,74.53,75.1,75.1,1576803
2024-04-19,75.48,75.62,74.98,75.38,75.38,1288503
2024-04-22,75.29,76.68,74.89,76.22,76.22,1516324
2024-04-23,76.54,77.81,76.12,77.19,77.19,1603280
2024-04-24,76.76,77.38,76.5,76.71,76.71,963154
2024-04-25,76.76,76.97,75.39,75.71,75.71,1190940
2024-04-26,75.23,76.61,75.14,75.98,75.98,919462
2024-04-29,76.0,76.975,75.98,76.63,76.63,799283
2024-04-30,76.36,76.51,75.62,75.77,75.77,1515878
2024-05-01,75.77,77.25,75.38,76.28,76.28,1423724
2024-05-02,76.53,76.7,75.13,75.91,75.91,1795905
2024-05-03,79.6,79.75,75.58,76.54,76.54,2069424
2024-05-06,76.61,76.91,75.75,75.93,75.93,1585120
2024-05-07,76.28,76.48,75.59,76.1,76.1,984581
2024-05-08,75.9,76.2,75.66,75.86,75.86,973729
2024-05-09,75.82,76.425,75.51,75.75,75.75,2037848
2024-05-10,75.64,75.99,75.01,75.14,75.14,1402648
2024-05-13,75.2,76.24,74.6401,75.57,75.57,1039454
2024-05-14,75.91,75.98,74.76,75.65,75.65,1286553
2024-05-15,75.73,76.44,74.81,74.86,74.86,1637741
2024-05-16,74.79,75.13,74.55,74.95,74.95,1749516
2024-05-17,75.03,75.285,74.12,75.02,75.02,1451370
2024-05-20,75.02,75.3,74.46,74.85,74.85,1027857
2024-05-21,74.85,75.02,74.29,74.55,74.55,897598
2024-05-22,74.53,75.22,74.39,74.81,74.81,1217141
2024-05-23,74.92,74.92,73.665,73.99,73.99,1314633
2024-05-24,74.13,74.22,73.72,73.8,73.8,1303244
2024-05-28,73.58,73.86,72.874,73.36,73.36,1217018
2024-05-29,72.64,72.96,72.29,72.39,72.39,1142328
2024-05-30,72.26,73.04,72.02,72.58,72.58,1568800
2024-05-31,72.82,73.81,72.395,73.78,73.78,2501317
2024-06-03,73.26,74.66,73.26,74.53,74.53,1065009
2024-06-04,74.53,74.85,73.77,74.65,74.65,1107186
2024-06-05,74.51,74.71,72.68,74.25,74.25,1371524
2024-06-06,73.91,75.15,73.68,74.78,74.78,1284135
2024-06-07,74.38,74.99,74.0,74.51,74.51,1186677
2024-06-10,74.03,74.36,73.76,73.97,73.97,878774
2024-06-11,73.67,73.67,72.69,72.9,72.9,1605389
2024-06-12,72.5,73.09,72.12,72.48,72.48,1459985
2024-06-13,71.81,72.21,71.53,72.14,72.14,1417248
2024-06-14,71.58,72.26,71.35,71.79,71.79,1033028
2024-06-17,71.32,71.77,71.12,71.43,71.43,1249842
2024-06-18,71.5,71.85,71.0615,71.47,71.47,1384234
2024-06-20,71.21,72.285,70.56,72.21,72.21,1050703
2024-06-21,72.36,73.37,71.81,73.07,73.07,2048929
2024-06-24,73.23,73.31,72.2,72.48,72.48,1000839
2024-06-25,72.32,72.53,71.085,71.65,71.65,942929
2024-06-26,71.44,72.38,71.09,72.27,72.27,973316
2024-06-27,72.46,74.25,72.05,74.21,74.21,2403054
2024-06-28,74.32,75.17,73.91,74.25,74.25,2782114
2024-07-01,74.15,75.0,73.74,74.1,74.1,1153347
2024-07-02,74.18,74.35,73.21,73.53,73.53,1663770
2024-07-03,73.25,73.55,72.7764,73.48,73.48,1201107
2024-07-05,73.47,74.15,72.9316,74.1,74.1,992462
2024-07-08,74.1,74.57,73.99,74.53,74.53,1169554
2024-07-09,74.53,74.76,73.79,74.75,74.75,1366442
2024-07-10,74.73,75.83,74.55,75.77,75.77,1295227
2024-07-11,75.86,76.75,75.815,76.49,76.49,1440377
2024-07-12,76.7,77.98,76.13,77.69,77.69,1694537
2024-07-15,77.41,78.115,77.16,77.34,77.34,1653157
2024-07-16,77.6,78.98,77.3,78.46,78.46,1492308
2024-07-17,78.67,80.38,78.52,78.89,78.89,2177366
2024-07-18,78.44,79.21,77.41,77.66,77.66,2332247
2024-07-19,78.2,78.59,77.475,78.11,78.11,1660498
2024-07-22,78.45,78.58,77.84,78.38,78.38,601500
2024-07-23,78.7,78.7,78.03,78.1,78.1,1606690
2024-07-24,78.26,79.21,78.0,78.34,78.34,1042199
2024-07-25,78.38,79.6,77.81,77.88,77.88,1391837
2024-07-26,77.83,79.4,77.69,78.63,78.63,1472174
2024-07-29,78.35,79.77,78.01,79.64,79.64,2196892
2024-07-30,79.0,82.65,77.8118,82.51,82.51,2820222
2024-07-31,82.45,82.645,80.725,81.61,81.61,3005532
2024-08-01,81.48,83.27,81.2,83.2,83.2,2646431
2024-08-02,83.3,84.15,82.55,83.64,83.64,1701105
2024-08-05,83.46,83.99,82.22,82.36,82.36,2365348
2024-08-06,82.02,83.76,81.8,82.45,82.45,1783091
2024-08-07,82.58,84.075,81.75,81.89,81.89,1954266
2024-08-08,81.92,83.6,81.55,83.39,83.39,1239381
2024-08-09,83.59,84.67,81.32,83.64,83.64,1729034
2024-08-12,83.57,83.75,81.5475,81.77,81.77,1696788
2024-08-13,81.76,82.33,81.28,81.55,81.55,1570581
2024-08-14,81.27,81.55,80.88,80.99,80.99,1877034
2024-08-15,81.11,81.38,79.86,80.55,80.55,2441960
2024-08-16,80.44,81.645,80.155,81.48,81.48,1447875
2024-08-19,81.64,81.72,81.04,81.35,81.35,1734136
2024-08-20,81.39,82.18,80.78,80.91,80.91,1425514
2024-08-21,81.01,81.11,79.845,80.02,80.02,1341034
2024-08-22,80.2,80.5,79.91,80.09,80.09,1727359
2024-08-23,80.09,80.32,79.83,80.25,80.25,1106135
2024-08-26,80.23,80.49,79.64,79.75,79.75,895242
2024-08-27,79.82,80.17,79.54,79.71,79.71,1258574
2024-08-28,79.9,80.6217,79.845,80.38,80.38,1141458
2024-08-29,80.59,80.85,80.31,80.76,80.76,1176838
2024-08-30,80.78,81.33,80.35,81.24,81.24,1206444
2024-09-03,81.24,82.44,81.01,82.16,82.16,1356750
2024-09-04,82.19,83.01,80.99,81.62,81.62,1252589
2024-09-05,81.5,81.59,80.29,80.99,80.99,913654
2024-09-06,81.1,81.9,80.885,81.57,81.57,888036
2024-09-09,81.6,83.08,81.54,82.69,82.69,1244546
2024-09-10,82.83,82.83,81.28,81.96,81.96,1238579
2024-09-11,81.37,81.37,79.1595,80.01,80.01,1590576
2024-09-12,80.03,80.48,79.32,80.42,80.42,958882
2024-09-13,80.32,81.505,80.12,81.15,81.15,1442155
2024-09-16,81.92,82.76,81.245,82.7,82.7,1424960
2024-09-17,82.37,83.09,81.615,82.0,82.0,2009832
2024-09-18,81.39,82.18,81.18,81.72,81.72,1036753
2024-09-19,82.09,82.65,81.87,82.4,82.4,1407075
2024-09-20,82.19,82.21,80.85,81.39,81.39,2533498
2024-09-23,81.68,81.705,81.18,81.46,81.46,680382
2024-09-24,81.28,81.535,80.5833,81.21,81.21,974023
2024-09-25,81.33,81.48,79.355,79.86,79.86,1714594
2024-09-26,79.75,80.52,79.395,80.1,80.1,1828936
2024-09-27,80.66,81.855,80.36,80.82,80.82,855278
2024-09-30,80.82,81.53,80.13,81.46,81.46,1055557
2024-10-01,81.02,81.24,79.98,80.56,80.56,959361
2024-10-02,80.06,80.53,79.26,79.77,79.77,1691609
2024-10-03,79.47,79.94,79.14,79.22,79.22,2560798
2024-10-04,79.7,80.36,79.38,80.24,80.24,1245584
2024-10-07,80.285,80.34,79.85,79.88,79.88,1334809
2024-10-08,79.96,80.525,79.95,80.26,80.26,1123467
2024-10-09,79.59,80.62,79.14,80.12,80.12,921813
2024-10-10,79.84,80.075,79.31,79.92,79.92,1704844
2024-10-11,80.36,80.54,79.53,79.81,79.81,1531225
2024-10-14,79.97,81.67,79.965,81.62,81.62,866393
2024-10-15,81.58,82.86,81.45,81.66,81.66,1546675
2024-10-16,81.66,82.22,81.3,81.94,81.94,1296220
2024-10-17,81.5,81.99,80.02,80.47,80.47,1958348
2024-10-18,80.54,81.6,80.085,81.57,81.57,1099172
2024-10-21,81.18,81.34,80.42,81.15,81.15,1368011
2024-10-22,81.12,81.765,80.33,81.58,81.58,1493515
2024-10-23,81.38,81.59,80.8,81.35,81.35,1173798
2024-10-24,81.5,81.81,80.845,80.91,80.91,898941
2024-10-25,81.03,81.17,79.43,80.83,80.83,1318290
2024-10-28,81.19,81.77,80.45,80.46,80.46,1163444
2024-10-29,80.48,81.4825,80.48,80.83,80.83,1267055
2024-10-30,80.46,81.37,80.37,81.15,81.15,924070
2024-10-31,80.88,81.58,80.64,80.87,80.87,1564939
2024-11-01,80.99,83.05,80.86,82.33,82.33,1955998
2024-11-04,82.8,84.39,82.655,83.72,83.72,3329339
2024-11-05,79.98,81.135,77.5,78.8,78.8,3451529
2024-11-06,81.13,81.13,78.93,80.49,80.49,2464389
2024-11-07,80.6,80.75,78.915,79.29,79.29,1466449
2024-11-08,79.28,79.66,77.93,78.76,78.76,1220706
2024-11-11,78.78,80.09,78.77,79.39,79.39,1283354
2024-11-12,79.11,80.02,78.635,79.76,79.76,1974743
2024-11-13,79.76,80.21,78.735,79.18,79.18,1433338
2024-11-14,78.36,79.23,77.415,77.54,77.54,1657418
2024-11-15,77.63,78.8,77.46,78.6,78.6,1834908
2024-11-18,78.42,79.23,78.09,78.79,78.79,1032828
2024-11-19,78.24,79.27,78.01,78.57,78.57,1574855
2024-11-20,78.28,78.49,77.6,78.04,78.04,1299669
2024-11-21,78.18,79.04,77.48,78.72,78.72,1438377
2024-11-22,78.95,79.3,78.525,78.97,78.97,1258491
2024-11-25,79.29,80.07,79.26,79.73,79.73,2904476
2024-11-26,80.0,80.18,78.59,79.0,79.0,1985291
2024-11-27,79.0,79.69,78.7,79.44,79.44,1596505
2024-11-29,79.4,79.71,79.195,79.5,79.5,954461
2024-12-02,79.24,79.34,78.04,79.0,79.0,1611278
2024-12-03,78.98,78.98,77.38,77.47,77.47,2598646
2024-12-04,77.96,77.96,76.28,76.87,76.87,2094084
2024-12-05,76.71,76.85,75.61,76.0,76.0,1630306
2024-12-06,75.98,76.42,75.22,75.34,75.34,1356781
2024-12-09,75.84,76.245,74.44,75.79,75.79,2326179
2024-12-10,75.47,80.31,74.915,76.83,76.83,3995615
2024-12-11,76.31,77.32,74.71,75.53,75.53,3159135
2024-12-12,75.81,76.29,75.0,75.09,75.09,2839505
2024-12-13,74.76,75.3,73.5,73.65,73.65,2553425
2024-12-16,73.19,73.92,72.22,72.44,72.44,2551895
2024-12-17,72.49,74.02,72.05,72.26,72.26,2691379
2024-12-18,72.02,72.67,71.43,71.47,71.47,3110757
2024-12-19,71.24,72.16,70.69,70.76,70.76,2344407
2024-12-20,70.7,71.95,70.36,71.65,71.65,8613766
2024-12-23,71.22,72.55,70.915,72.5,72.5,2831032
2024-12-24,72.31,72.77,72.0,72.68,72.68,879752
2024-12-26,72.48,72.915,72.31,72.72,72.72,1349944
2024-12-27,72.26,72.9,72.11,72.6,72.6,1039274
2024-12-30,72.18,72.59,71.33,72.27,72.27,1797523
2024-12-31,72.34,72.75,71.7,72.09,72.09,1444657
2025-01-02,72.41,72.73,71.54,71.74,71.74,1164031
2025-01-03,71.77,73.47,71.26,73.19,73.19,2059059
2025-01-06,73.07,74.5,72.81,73.77,73.77,2262620
2025-01-07,73.82,74.24,72.37,72.69,72.69,1790567
2025-01-08,72.92,73.47,71.96,72.74,72.74,2448121
2025-01-10,72.09,72.315,71.19,71.7,71.7,2147897
