date,open,high,low,close,adjusted_close,volume
2024-01-16,73.42,73.8,72.17,72.99,72.99,1349908
2024-01-17,73.02,74.4673,72.15,72.58,72.58,1426103
2024-01-18,72.48,74.27,72.155,74.25,74.25,852461
2024-01-19,74.56,75.04,73.89,74.04,74.04,872073
2024-01-22,73.8,75.03,73.75,74.84,74.84,741580
2024-01-23,74.84,75.27,74.0,74.2,74.2,817679
2024-01-24,74.36,75.39,73.18,73.26,73.26,860186
2024-01-25,73.32,74.19,73.32,74.04,74.04,713190
2024-01-26,74.51,74.73,73.85,74.2,74.2,809386
2024-01-29,74.25,75.24,73.85,75.23,75.23,697300
2024-01-30,75.23,75.5,74.705,74.78,74.78,1047706
2024-01-31,75.24,75.48,74.72,74.84,74.84,988539
2024-02-01,74.89,75.76,74.4675,75.73,75.73,742463
2024-02-02,75.52,76.69,75.31,76.14,76.14,1090937
2024-02-05,75.8,76.07,74.24,74.91,74.91,885199
2024-02-06,75.39,76.33,75.1,76.09,76.09,920557
2024-02-07,76.25,76.31,75.15,75.26,75.26,996195
2024-02-08,73.43,75.2,72.975,74.9,74.9,1757495
2024-02-09,74.86,75.62,73.4327,73.72,73.72,1359560
2024-02-12,73.8,75.77,73.8,75.73,75.73,596594
2024-02-13,75.24,75.36,72.69,73.25,73.25,1409589
2024-02-14,73.61,73.78,72.81,73.68,73.68,881766
2024-02-15,74.18,76.31,74.18,75.5,75.5,870629
2024-02-16,75.4,75.88,74.9904,75.65,75.65,658764
2024-02-20,75.23,76.13,75.05,75.64,75.64,912697
2024-02-21,75.22,76.355,74.485,75.09,75.09,905751
2024-02-22,75.05,77.4,74.83,77.08,77.08,1694219
2024-02-23,77.18,81.21,76.83,79.86,79.86,3240349
2024-02-26,79.5,81.46,79.445,80.57,80.57,2555588
2024-02-27,79.71,82.63,75.41,77.85,77.85,2605997
2024-02-28,78.13,78.13,74.43,76.49,76.49,1690994
2024-02-29,76.8,77.235,76.14,76.47,76.47,1661773
2024-03-01,76.47,77.685,76.04,76.88,76.88,1193866
2024-03-04,76.5,77.3,76.23,76.79,76.79,1009127
2024-03-05,76.0,76.76,75.075,75.41,75.41,1240534
2024-03-06,75.78,76.33,74.39,75.33,75.33,1423412
2024-03-07,75.55,75.87,74.875,75.22,75.22,928232
2024-03-08,75.51,75.97,74.7,74.76,74.76,852919
2024-03-11,75.15,75.26,74.47,75.0,75.0,1020647
2024-03-12,75.08,75.08,74.19,74.42,74.42,977551
2024-03-13,74.49,76.07,74.46,75.34,75.34,1331565
2024-03-14,75.24,75.5,73.98,74.39,74.39,1246798
2024-03-15,73.72,75.04,73.72,74.58,74.58,1551040
2024-03-18,74.37,74.48,73.58,74.18,74.18,937142
2024-03-19,74.63,74.87,73.98,74.38,74.38,1037841
2024-03-20,74.73,74.905,74.14,74.78,74.78,793751
2024-03-21,74.8,74.99,73.56,74.08,74.08,718236
2024-03-22,73.96,74.25,72.555,73.12,73.12,1627007
2024-03-25,73.29,73.74,72.8,72.89,72.89,1604422
2024-03-26,72.72,73.33,72.685,72.88,72.88,1231100
2024-03-27,73.07,75.21,72.985,75.15,75.15,1430587
2024-03-28,75.15,76.15,74.64,75.52,75.52,1014939
2024-04-01,75.17,75.195,73.815,74.24,74.24,1084941
2024-04-02,73.83,74.69,73.0,73.07,73.07,871308
2024-04-03,72.85,73.665,72.82,73.44,73.44,808325
2024-04-04,73.92,74.02,72.72,72.89,72.89,780234
2024-04-05,72.74,72.82,72.2,72.52,72.52,584911
2024-04-08,72.37,73.29,72.15,72.47,72.47,1035445
2024-04-09,72.37,73.2,72.01,73.17,73.17,655485
2024-04-10,72.28,72.78,71.67,71.86,71.86,891621
2024-04-11,72.17,72.69,71.14,71.81,71.81,829307
2024-04-12,71.26,71.57,70.21,71.01,71.01,989207
2024-04-15,71.33,71.96,70.69,70.73,70.73,856775
2024-04-16,70.72,71.41,70.53,71.22,71.22,1033644
