date,open,high,low,close,adjusted_close,volume
2024-01-16,441.48,441.48,433.56,438.79,433.8836,1831281
2024-01-17,440.94,455.53,439.36,447.76,442.7533,2529683
2024-01-18,392.44,415.73,390.5001,411.98,407.3734,9405270
2024-01-19,410.5,412.3945,400.97,401.53,397.0402,3033980
2024-01-22,400.0,411.72,397.0,409.65,405.0694,2447960
2024-01-23,408.03,410.27,404.0,407.52,402.9633,1615685
2024-01-24,407.07,411.8,400.98,402.4,397.9005,2120368
2024-01-25,350.63,364.82,342.69,355.36,351.3865,10864900
2024-01-26,354.92,368.76,354.26,361.23,357.1909,4460516
2024-01-29,363.0,367.76,358.1,365.94,361.8482,2854131
2024-01-30,370.39,378.0,365.89,376.83,372.6164,3059373
2024-01-31,380.02,383.44,375.51,378.06,373.8327,2264278
2024-02-01,375.07,379.5,370.0,375.82,371.6177,3045627
2024-02-02,378.38,382.84,374.22,378.87,374.6336,1784755
2024-02-05,373.31,375.82,358.64,361.02,356.9832,3401872
2024-02-06,361.45,368.42,359.0201,366.35,362.2536,2271647
2024-02-07,368.68,371.85,365.66,368.57,364.4488,2309589
2024-02-08,370.43,372.9299,366.925,367.8,363.6874,1579285
2024-02-09,368.27,371.16,366.13,370.28,366.1397,1122477
2024-02-12,370.3,371.71,367.29,369.14,365.0124,990385
2024-02-13,369.81,373.27,364.34,364.48,360.4045,1255099
2024-02-14,363.65,364.115,360.89,362.29,358.239,1124747
2024-02-15,364.66,366.74,362.51,363.98,359.9101,1245705
2024-02-16,365.45,368.93,365.26,366.92,362.8172,954781
2024-02-20,366.4,369.23,365.0,367.14,363.0348,1121073
2024-02-21,368.57,369.52,364.9,367.6,363.4896,876757
2024-02-22,367.0,369.34,362.87,368.08,363.9643,1226224
2024-02-23,368.78,369.41,361.5501,362.91,358.8521,1371879
2024-02-26,363.89,366.7125,357.885,359.95,355.9252,1217558
2024-02-27,361.15,366.58,357.1801,362.7,358.6444,1454649
2024-02-28,359.99,361.3,350.51,351.16,347.2335,2128498
2024-02-29,351.76,353.4571,346.32,350.32,346.4028,2291709
2024-03-01,350.1,352.11,346.26,352.03,348.0937,1639982
2024-03-04,351.0,352.81,346.6,346.83,342.9519,1792557
2024-03-05,349.0,351.82,337.14,337.92,334.1415,2569494
2024-03-06,337.41,342.09,336.52,339.08,335.2885,1554813
2024-03-07,338.78,342.15,334.54,340.72,336.9102,1576302
2024-03-08,340.56,344.43,338.44,339.35,335.5555,1164295
2024-03-11,338.6,349.2,338.6,347.0,343.12,1164999
2024-03-12,346.33,348.37,340.09,345.15,341.2907,1315848
2024-03-13,345.38,351.36,344.535,345.2,341.3401,1056035
2024-03-14,344.9,349.47,343.02,348.89,344.9888,947488
2024-03-15,346.79,349.28,344.5,348.15,344.2571,2469163
2024-03-18,347.22,349.94,344.17,347.19,343.3078,1008342
2024-03-19,349.3,352.46,348.13,351.59,347.6586,1445874
2024-03-20,349.52,352.12,347.33,348.19,344.2967,1464585
2024-03-21,347.74,352.12,346.82,347.39,343.5056,1460663
2024-03-22,348.02,354.0,348.02,348.54,344.6427,1116453
2024-03-25,349.0,349.7306,345.8,347.09,343.209,1004056
2024-03-26,349.0,350.27,347.35,348.38,344.4845,1498439
2024-03-27,349.58,351.185,347.6622,349.5,346.4722,1000315
2024-03-28,349.6,350.9395,345.89,346.72,343.7162,1583052
2024-04-01,346.0,353.0,345.91,351.45,348.4053,1074390
2024-04-02,315.49,320.12,299.23,304.33,301.6935,9517460
2024-04-03,305.845,312.89,302.7,308.06,305.3912,2836082
2024-04-04,309.12,314.435,308.0417,310.04,307.354,1845721
2024-04-05,307.705,314.24,307.705,313.11,310.3974,1238769
2024-04-08,311.84,318.8,310.72,317.0,314.2537,1299662
2024-04-09,316.5,319.62,315.8,319.62,316.851,850394
2024-04-10,316.8,321.32,315.4,319.17,316.4049,1101245
2024-04-11,320.78,320.78,315.5,316.29,313.5499,992364
2024-04-12,315.94,316.09,310.33,312.59,309.8819,1467617
2024-04-15,315.17,317.57,313.0,314.64,311.9142,1184742
2024-04-16,329.99,330.0,317.39,317.52,314.7692,1683413
2024-04-17,319.63,324.38,318.1,323.46,320.6578,1958774
2024-04-18,327.6,331.0,324.055,324.83,322.0159,1557433
2024-04-19,327.0,329.75,326.9,328.33,325.4856,1143745
2024-04-22,326.74,334.42,324.63,325.3,322.4818,1591093
2024-04-23,325.43,328.18,320.47,327.98,325.1386,1624723
2024-04-24,335.0,336.4,309.0,315.98,313.2426,3488954
