date,open,high,low,close,adjusted_close,volume
2024-01-16,533.69,536.5,519.52,520.0,520.0,817110
2024-01-17,516.23,520.04,507.61,515.48,515.48,753420
2024-01-18,515.91,525.76,515.5,525.28,525.28,692760
2024-01-19,525.23,525.51,513.33,523.82,523.82,443080
2024-01-22,525.91,537.85,525.91,531.43,531.43,449000
2024-01-23,533.73,534.98,524.0,531.52,531.52,293470
2024-01-24,535.37,537.73,519.99,520.21,520.21,357640
2024-01-25,525.98,530.13,519.96,522.44,522.44,325360
2024-01-26,526.59,529.42,521.43,524.98,524.98,385210
2024-01-29,523.71,532.7,522.18,532.06,532.06,315870
2024-01-30,520.8,527.79,517.15,521.03,521.03,430830
2024-01-31,522.67,524.33,513.25,515.08,515.08,405540
2024-02-01,519.62,527.97,510.02,527.28,527.28,457170
2024-02-02,521.68,531.36,518.48,527.14,527.14,607870
2024-02-05,531.51,573.63,531.51,572.12,572.12,921310
2024-02-06,575.96,579.68,561.97,567.0,567.0,576060
2024-02-07,568.79,576.11,562.1,572.31,572.31,623280
2024-02-08,565.72,575.945,562.42,573.61,573.61,542607
2024-02-09,575.8,578.35,565.52,572.21,572.21,320600
2024-02-12,568.96,569.84,561.22,565.56,565.56,302000
2024-02-13,553.14,558.88,546.41,555.66,555.66,336000
2024-02-14,558.54,562.74,555.52,560.56,560.56,390800
2024-02-15,562.39,569.26,558.49,568.83,568.83,308600
2024-02-16,565.15,565.37,555.0,555.54,555.54,376900
2024-02-20,553.77,553.77,546.95,551.21,551.21,441400
2024-02-21,552.0,555.22,545.69,554.77,554.77,413700
2024-02-22,558.51,574.74,558.51,571.31,571.31,428800
2024-02-23,568.76,577.52,568.76,576.29,576.29,256600
2024-02-26,576.29,576.49,566.38,569.87,569.87,348800
2024-02-27,569.61,576.57,567.67,575.07,575.07,292500
2024-02-28,573.19,575.58,568.71,571.68,571.68,270100
2024-02-29,573.13,576.84,568.88,575.23,575.23,551800
2024-03-01,575.23,583.39,560.18,576.87,576.87,375700
2024-03-04,578.34,580.18,565.01,571.28,571.28,323500
2024-03-05,571.67,571.67,555.92,558.32,558.32,417800
2024-03-06,563.59,567.03,557.29,557.46,557.46,371800
2024-03-07,565.21,570.71,559.49,563.22,563.22,375000
2024-03-08,564.81,574.94,559.32,561.41,561.41,299100
2024-03-11,562.25,562.25,544.31,548.31,548.31,465000
2024-03-12,549.12,552.2,543.16,546.84,546.84,397000
2024-03-13,547.28,550.24,537.91,540.18,540.18,315300
2024-03-14,540.68,542.43,531.55,535.58,535.58,337100
2024-03-15,530.12,536.85,526.73,529.77,529.77,829400
2024-03-18,532.83,535.69,529.0,529.81,529.81,379500
2024-03-19,529.1,536.58,529.03,534.42,534.42,335000
2024-03-20,533.27,535.48,524.54,529.5,529.5,422500
2024-03-21,535.0,541.84,530.74,532.09,532.09,428500
2024-03-22,532.92,537.78,526.88,530.72,530.72,251400
2024-03-25,530.19,534.99,524.52,529.71,529.71,363900
2024-03-26,528.27,533.77,526.15,530.6,530.6,398100
2024-03-27,537.78,540.92,533.99,539.57,539.57,308800
2024-03-28,542.2,543.33,537.39,539.93,539.93,290100
2024-04-01,541.37,542.41,528.11,532.41,532.41,302400
2024-04-02,527.6,527.6,518.54,521.67,521.67,382300
2024-04-03,521.1,530.76,521.1,524.04,524.04,333000
2024-04-04,530.69,532.44,516.81,518.1,518.1,354000
2024-04-05,518.1,524.06,516.92,519.54,519.54,434900
2024-04-08,519.83,521.04,512.64,514.7,514.7,415200
2024-04-09,515.64,522.39,510.5,519.81,519.81,390100
2024-04-10,510.35,512.72,500.68,504.14,504.14,427900
2024-04-11,504.18,509.12,502.25,503.1,503.1,388100
2024-04-12,497.5,501.44,492.99,497.79,497.79,513700
2024-04-15,506.57,506.57,489.81,491.29,491.29,495300
2024-04-16,490.62,495.94,488.77,489.57,489.57,556500
2024-04-17,489.44,490.49,477.63,478.24,478.24,533300
2024-04-18,478.29,483.1,475.56,477.79,477.79,399900
2024-04-19,482.2,482.21,471.42,476.35,476.35,568600
2024-04-22,479.48,481.94,473.86,479.57,479.57,419600
2024-04-23,482.6,494.45,481.49,493.8,493.8,558400
2024-04-24,489.24,497.4,487.88,494.26,494.26,493000
2024-04-25,494.82,494.82,479.88,489.24,489.24,358500
2024-04-26,484.03,500.48,484.03,499.3,499.3,529800
2024-04-29,500.47,508.88,500.47,505.34,505.34,414100
2024-04-30,503.37,506.59,491.81,492.76,492.76,754700
2024-05-01,473.0,485.0,462.0,468.04,468.04,1018200
2024-05-02,465.6,477.67,465.6,475.82,475.82,518300
2024-05-03,485.82,493.98,478.45,480.6,480.6,548000
2024-05-06,481.85,484.99,473.8,476.87,476.87,298200
2024-05-07,478.41,486.16,478.12,483.68,483.68,368100
2024-05-08,481.8,487.37,475.97,487.07,487.07,604600
2024-05-09,488.28,505.07,488.28,500.82,500.82,546600
2024-05-10,502.42,510.62,501.68,509.82,509.82,526500
2024-05-13,513.49,514.62,501.23,503.02,503.02,374400
2024-05-14,505.76,522.38,505.38,521.11,521.11,636600
2024-05-15,523.68,548.88,523.68,548.53,548.53,823800
2024-05-16,544.77,547.22,538.91,540.94,540.94,525200
2024-05-17,540.94,543.85,538.43,543.45,543.45,446000
2024-05-20,543.67,545.43,528.84,530.07,530.07,517400
2024-05-21,524.93,529.18,518.4,518.44,518.44,486500
2024-05-22,520.58,522.65,516.25,517.94,517.94,494500
2024-05-23,522.01,524.82,511.78,516.1,516.1,503800
2024-05-24,518.9,524.35,514.3,516.5,516.5,267200
2024-05-28,514.24,514.24,501.81,505.4,505.4,499300
2024-05-29,500.0,507.37,496.08,498.35,498.35,465600
2024-05-30,500.69,501.93,495.04,499.77,499.77,514700
2024-05-31,500.17,504.72,491.16,496.95,496.95,935400
2024-06-03,495.28,498.42,486.99,492.43,492.43,473600
2024-06-04,491.25,492.0,483.02,491.06,491.06,775900
2024-06-05,495.07,498.6,493.0,495.84,495.84,428400
2024-06-06,492.49,502.51,490.31,497.84,497.84,486400
2024-06-07,494.44,501.2,493.2,497.51,497.51,380900
2024-06-10,492.74,511.92,492.74,508.26,508.26,565100
2024-06-11,506.54,508.02,501.52,506.2,506.2,348800
2024-06-12,512.0,521.52,509.47,514.28,514.28,414200
2024-06-13,511.13,512.7,488.73,506.12,506.12,463000
2024-06-14,504.13,508.9,500.52,504.0,504.0,386700
2024-06-17,500.16,504.94,495.54,504.33,504.33,509800
2024-06-18,501.08,504.76,497.88,503.6,503.6,621900
2024-06-20,502.13,502.13,493.78,495.96,495.96,752900
2024-06-21,497.72,500.61,490.0,495.73,495.73,1220000
2024-06-24,494.4,496.35,487.91,491.49,491.49,703900
2024-06-25,493.49,495.35,487.44,491.08,491.08,718300
2024-06-26,489.42,492.72,486.92,488.61,488.61,394900
2024-06-27,487.44,494.16,485.18,493.96,493.96,350000
2024-06-28,493.76,496.25,484.93,487.2,487.2,863800
2024-07-01,486.44,490.7,474.45,476.4,476.4,435900
2024-07-02,477.27,480.81,473.09,477.23,477.23,414000
2024-07-03,475.91,479.77,472.67,477.49,477.49,297200
2024-07-05,476.26,488.89,475.31,486.0,486.0,381800
2024-07-08,486.46,487.32,481.53,483.73,483.73,225000
2024-07-09,482.73,483.0,476.83,477.89,477.89,292500
2024-07-10,478.53,483.7,470.96,483.39,483.39,328100
2024-07-11,486.18,494.695,486.18,487.78,487.78,409405
2024-07-12,490.88,500.23,488.34,492.74,492.74,351800
2024-07-15,490.8,491.36,481.4,482.7,482.7,418100
2024-07-16,484.03,502.32,483.93,499.52,499.52,795400
2024-07-17,497.81,516.96,491.77,496.47,496.47,627600
2024-07-18,489.03,490.0,468.04,470.74,470.74,748200
2024-07-19,475.56,476.22,462.71,468.2,468.2,750300
2024-07-22,474.9,479.3,466.98,475.29,475.29,576600
2024-07-23,477.91,479.34,469.93,470.41,470.41,398500
2024-07-24,469.78,478.48,463.94,471.34,471.34,671700
2024-07-25,476.11,484.23,469.84,470.68,470.68,591200
2024-07-26,476.23,476.23,467.8,469.71,469.71,588400
2024-07-29,469.71,473.11,458.0,472.63,472.63,763200
2024-07-30,475.0,481.86,470.76,474.69,474.69,557700
2024-07-31,477.0,484.41,472.64,476.12,476.12,557600
2024-08-01,475.33,487.48,473.93,477.84,477.84,507000
2024-08-02,476.21,481.85,457.8,468.63,468.63,827100
2024-08-05,459.0,463.13,446.28,455.08,455.08,1134000
2024-08-06,465.0,489.25,465.0,469.37,469.37,1132900
2024-08-07,471.75,486.54,464.99,467.07,467.07,648700
2024-08-08,469.27,484.38,467.02,483.91,483.91,515200
2024-08-09,482.41,486.9,476.99,482.84,482.84,354000
2024-08-12,481.31,483.89,477.25,479.93,479.93,326100
2024-08-13,483.0,492.08,483.0,487.82,487.82,531500
2024-08-14,485.51,485.73,466.76,474.94,474.94,542700
2024-08-15,479.85,491.3,474.19,485.52,485.52,616200
2024-08-16,483.47,495.63,479.72,492.26,492.26,590400
2024-08-19,493.8,498.34,489.42,496.99,496.99,366400
2024-08-20,496.99,503.6,492.73,494.01,494.01,334400
2024-08-21,495.82,497.22,491.03,494.99,494.99,303500
2024-08-22,497.39,497.94,489.51,491.73,491.73,252500
2024-08-23,495.71,497.54,487.6,488.13,488.13,255500
2024-08-26,489.99,491.51,482.4,484.07,484.07,279600
2024-08-27,483.47,485.88,480.26,482.56,482.56,278600
2024-08-28,481.03,487.33,480.19,481.48,481.48,276600
2024-08-29,485.46,492.67,483.4,487.28,487.28,395400
2024-08-30,489.37,491.21,476.56,481.33,481.33,406300
2024-09-03,475.91,481.88,467.81,469.01,469.01,437500
2024-09-04,468.3,473.12,466.11,471.29,471.29,276000
2024-09-05,471.13,472.41,465.53,469.18,469.18,278700
2024-09-06,469.78,477.53,467.31,472.35,472.35,433000
2024-09-09,476.98,485.13,475.69,480.34,480.34,449500
2024-09-10,481.11,496.79,481.11,495.95,495.95,476700
2024-09-11,494.84,494.84,475.62,490.26,490.26,359300
2024-09-12,490.26,497.22,481.2,497.04,497.04,293500
2024-09-13,497.35,508.07,495.6,500.55,500.55,321900
2024-09-16,505.05,512.1,503.76,511.38,511.38,296076
2024-09-17,513.27,519.54,511.47,512.27,512.27,405896
2024-09-18,512.27,521.73,505.72,511.3,511.3,360500
2024-09-19,523.81,530.6,515.68,517.06,517.06,333800
2024-09-20,515.32,515.32,504.47,506.74,506.74,688900
2024-09-23,509.2,510.31,502.24,507.66,507.66,364500
2024-09-24,508.07,511.83,505.2,506.38,506.38,323800
2024-09-25,508.47,508.95,496.45,497.76,497.76,301600
2024-09-26,503.96,509.24,500.72,509.03,509.03,366500
2024-09-27,514.76,518.97,509.47,511.78,511.78,279200
2024-09-30,510.74,512.62,500.16,505.22,505.22,390300
2024-10-01,505.22,505.52,493.27,495.42,495.42,339000
2024-10-02,495.01,495.01,484.58,485.97,485.97,408100
2024-10-03,481.63,484.01,477.29,483.52,483.52,379500
2024-10-04,489.56,492.41,475.0,477.67,477.67,468700
2024-10-07,474.49,475.45,468.05,472.41,472.41,395000
2024-10-08,472.66,478.92,470.27,475.53,475.53,436900
2024-10-09,473.21,480.64,470.47,474.65,474.65,347100
2024-10-10,468.0,473.9,465.16,473.28,473.28,344400
2024-10-11,474.92,484.61,474.92,476.27,476.27,490800
2024-10-14,478.0,479.58,474.33,478.0,478.0,512400
2024-10-15,478.37,486.87,473.02,473.92,473.92,607200
2024-10-16,474.54,474.54,460.36,463.89,463.89,991100
2024-10-17,466.6,467.95,458.05,460.01,460.01,552200
2024-10-18,458.8,460.865,453.17,457.74,457.74,747282
2024-10-21,456.02,457.5,447.84,453.38,453.38,993600
2024-10-22,453.49,462.59,449.39,461.49,461.49,646100
2024-10-23,456.9,460.24,452.44,457.9,457.9,647400
2024-10-24,458.67,461.54,452.12,452.27,452.27,532700
2024-10-25,455.67,456.23,450.13,451.41,451.41,508400
2024-10-28,455.39,456.84,447.96,449.44,449.44,616400
2024-10-29,447.73,452.45,443.2,447.83,447.83,702800
2024-10-30,445.43,456.66,445.43,451.08,451.08,962100
2024-10-31,430.0,430.0,404.74,406.92,406.92,2006400
2024-11-01,408.58,422.09,408.58,417.28,417.28,994100
2024-11-04,419.36,422.92,413.21,414.52,414.52,923600
2024-11-05,413.83,418.54,412.32,415.98,415.98,533200
2024-11-06,431.86,432.75,412.61,423.42,423.42,1074500
2024-11-07,428.21,435.24,425.29,433.0,433.0,966300
2024-11-08,430.01,434.48,428.75,433.28,433.28,655700
2024-11-11,434.49,444.84,433.91,437.3,437.3,653100
2024-11-12,433.97,436.75,425.64,426.11,426.11,681600
2024-11-13,426.54,432.81,425.79,429.82,429.82,621800
2024-11-14,428.01,430.11,423.29,423.65,423.65,553800
2024-11-15,423.34,424.5,408.95,420.91,420.91,690200
2024-11-18,421.5,424.05,418.95,419.83,419.83,437500
2024-11-19,416.65,421.96,414.35,416.34,416.34,748600
2024-11-20,413.38,419.41,410.29,418.61,418.61,650800
2024-11-21,409.55,419.79,398.5,418.55,418.55,537100
2024-11-22,420.41,422.98,415.8,417.24,417.24,503400
