date,open,high,low,close,adjusted_close,volume
2024-01-16,135.28,137.23,133.67,135.14,131.4591,2283085
2024-01-17,132.3,134.47,130.9801,133.56,129.9222,1599362
2024-01-18,134.13,135.3,132.17,134.24,130.5837,1640482
2024-01-19,134.0,136.75,132.55,135.88,132.179,2170211
2024-01-22,137.02,140.75,136.65,138.88,135.0973,1487310
2024-01-23,140.54,141.0,137.6,140.75,136.9163,1329307
2024-01-24,142.5,142.5,139.9,141.01,137.1693,2175659
2024-01-25,143.69,144.82,139.63,142.76,138.8716,1481142
2024-01-26,145.17,145.47,140.14,140.63,136.7996,2106064
2024-01-29,140.9701,146.88,139.37,146.72,142.7237,1457704
2024-01-30,144.66,147.95,144.66,147.2,143.1907,1498310
2024-01-31,146.48,148.19,142.46,143.01,139.1148,2034206
2024-02-01,143.69,145.9299,143.0,145.74,141.7704,1625679
2024-02-02,143.87,145.04,141.56,144.21,140.2821,1190218
2024-02-05,142.9,143.27,141.34,142.23,138.356,1339176
2024-02-06,142.1,146.12,141.21,144.89,140.9436,1815859
2024-02-07,145.09,145.09,139.91,142.94,139.0467,1763842
2024-02-08,142.47,144.85,139.19,143.33,139.4261,2503591
2024-02-09,143.75,147.7,135.3,137.84,134.0856,3832281
2024-02-12,137.84,140.3199,135.31,139.96,136.1479,2675678
2024-02-13,136.49,137.96,129.63,133.74,130.0973,2385063
2024-02-14,135.02,140.95,134.0199,140.74,136.9066,1783786
2024-02-15,142.17,147.0,141.0,146.07,142.0914,1510132
2024-02-16,144.17,147.25,142.7,143.41,139.5039,1930687
2024-02-20,141.72,142.9,138.6,140.05,136.2354,1401370
2024-02-21,137.5,139.14,133.87,136.4099,132.6945,1572737
2024-02-22,137.34,137.41,134.15,135.55,131.858,2158903
2024-02-23,135.77,136.61,132.91,133.0,129.3774,1358913
2024-02-26,135.01,139.66,135.0,136.97,133.2393,2106269
2024-02-27,137.03,140.05,134.79,139.76,135.9533,1359838
2024-02-28,138.32,143.17,138.12,140.98,137.1401,1213862
2024-02-29,143.97,146.08,139.78,139.83,136.0214,1260636
2024-03-01,139.2,142.7,135.47,140.5,136.6732,1951864
2024-03-04,140.25,140.8,135.92,137.7,133.9494,1517739
2024-03-05,136.2,137.39,134.42,134.68,131.0117,1472302
2024-03-06,136.31,137.19,133.38,135.13,131.4494,1213246
