date,open,high,low,close,adjusted_close,volume
2024-01-16,62.59,62.635,61.22,61.34,61.34,1410663
2024-01-17,61.18,61.84,60.37,61.48,61.48,1218629
2024-01-18,61.3,61.55,60.27,61.18,61.18,1139354
2024-01-19,61.28,61.67,60.45,61.49,61.49,1212269
2024-01-22,61.805,61.93,60.61,61.5,61.5,1117110
2024-01-23,61.73,62.19,60.93,61.87,61.87,1097543
2024-01-24,62.05,62.14,60.78,60.84,60.84,1317323
2024-01-25,60.73,61.32,59.58,60.92,60.92,1114651
2024-01-26,61.32,61.71,60.3,60.64,60.64,1030055
2024-01-29,60.36,60.84,59.77,60.47,60.47,1253053
2024-01-30,60.5,60.5,59.15,59.28,59.28,1865500
2024-01-31,59.3,59.475,58.52,58.77,58.77,1857899
2024-02-01,58.52,59.27,58.03,59.16,59.16,1402269
2024-02-02,58.63,59.27,58.05,58.35,58.35,1148076
2024-02-05,58.0,58.47,57.63,58.06,58.06,1248997
2024-02-06,58.5,59.94,57.69,59.63,59.63,2025638
2024-02-07,59.24,59.575,57.34,57.34,57.34,1368656
2024-02-08,57.35,57.72,56.1,57.36,57.36,1703754
2024-02-09,57.37,57.96,57.09,57.66,57.66,1761933
2024-02-12,57.79,58.43,57.38,57.84,57.84,2211796
2024-02-13,60.04,60.7,57.83,59.34,59.34,3494636
2024-02-14,58.59,60.2,57.51,57.89,57.89,2235715
2024-02-15,58.09,59.87,57.89,58.97,58.97,1436639
2024-02-16,58.88,59.105,57.92,57.96,57.96,1132034
2024-02-20,57.79,59.5,57.62,58.82,58.82,2167035
2024-02-21,59.08,60.46,59.05,60.33,60.33,1960923
2024-02-22,60.33,61.34,59.46,60.91,60.91,1701518
2024-02-23,61.8,61.865,60.31,60.59,60.59,1373232
2024-02-26,60.33,61.44,60.1,60.53,60.53,1246939
2024-02-27,60.65,61.48,59.73,61.0,61.0,1370002
2024-02-28,60.77,61.0,59.91,59.98,59.98,1118697
2024-02-29,60.21,60.21,58.25,58.36,58.36,3086977
2024-03-01,58.7,59.66,58.37,59.05,59.05,1574698
2024-03-04,59.25,59.775,58.07,59.72,59.72,1663282
2024-03-05,59.96,60.19,58.07,58.9,58.9,1876797
2024-03-06,59.21,59.7,58.52,59.26,59.26,1797523
2024-03-07,59.49,59.72,58.33,59.03,59.03,1581732
2024-03-08,59.17,60.17,59.14,60.02,60.02,1572361
2024-03-11,60.15,61.16,59.7,60.79,60.79,2193150
2024-03-12,60.72,60.9,58.9,59.33,59.33,1643796
2024-03-13,59.35,60.22,58.6,58.92,58.92,1335486
2024-03-14,58.75,59.12,58.0994,58.54,58.54,1230862
2024-03-15,58.3,58.755,57.53,58.37,58.37,4901969
2024-03-18,58.75,58.78,57.3,57.34,57.34,1811547
2024-03-19,57.7,58.44,57.18,58.33,58.33,2502861
2024-03-20,58.03,58.43,57.49,58.24,58.24,1714309
2024-03-21,58.57,59.03,57.47,57.72,57.72,1535769
