date,open,high,low,close,adjusted_close,volume
2024-01-16,211.43,213.32,209.42,212.7,212.7,767720
2024-01-17,210.62,212.205,209.37,210.91,210.91,996905
2024-01-18,208.82,213.705,207.31,213.19,213.19,1008532
2024-01-19,213.36,215.607,212.25,215.39,215.39,1370094
2024-01-22,216.37,219.32,215.82,217.75,217.75,1047366
2024-01-23,216.2,218.2,211.82,213.53,213.53,980772
2024-01-24,214.58,217.14,212.5,212.88,212.88,1219426
2024-01-25,214.8,215.75,212.66,215.5,215.5,849838
2024-01-26,216.99,219.465,215.74,216.09,216.09,1040293
2024-01-29,215.59,218.2136,214.54,218.02,218.02,611830
2024-01-30,217.9,220.63,216.76,217.08,217.08,665137
2024-01-31,216.13,217.4,207.91,208.23,208.23,1716733
2024-02-01,207.9,211.57,205.38,211.3,211.3,920991
2024-02-02,209.56,212.08,208.465,210.75,210.75,586472
2024-02-05,210.06,212.385,208.05,210.71,210.71,1162178
2024-02-06,210.0,215.58,209.125,215.41,215.41,1239295
2024-02-07,216.0,216.32,212.8,214.34,214.34,965513
2024-02-08,213.54,217.28,212.12,217.0,217.0,984172
2024-02-09,217.55,222.21,216.18,218.2,218.2,1143902
2024-02-12,217.39,219.9125,217.08,217.88,217.88,1034344
2024-02-13,214.78,217.17,212.9,215.27,215.27,1353937
2024-02-14,223.0,243.82,223.0,243.47,243.47,2798244
2024-02-15,241.95,243.61,238.07,241.47,241.47,1677758
2024-02-16,241.43,241.95,237.9,238.6,238.6,1021421
2024-02-20,236.68,237.79,234.12,234.76,234.76,1015300
2024-02-21,234.74,237.73,230.71,237.28,237.28,1186096
2024-02-22,238.47,250.0,238.42,247.33,247.33,1936813
2024-02-23,248.68,251.0,245.83,247.26,247.26,973678
2024-02-26,247.59,248.92,246.375,247.48,247.48,618355
2024-02-27,248.1,249.61,245.7,248.84,248.84,629452
2024-02-28,248.55,252.51,248.55,250.31,250.31,975028
2024-02-29,250.02,250.045,246.19,247.16,247.16,1393553
2024-03-01,246.48,252.95,244.0,252.45,252.45,1144452
2024-03-04,251.05,253.33,250.01,251.56,251.56,642060
2024-03-05,250.0,251.245,247.09,250.2,250.2,655803
2024-03-06,251.45,257.25,251.07,252.97,252.97,843606
2024-03-07,255.27,259.53,254.31,258.59,258.59,872385
2024-03-08,259.64,261.73,257.17,257.18,257.18,842757
2024-03-11,256.24,259.16,254.475,258.58,258.58,994048
2024-03-12,258.0,261.66,256.49,259.1,259.1,839113
2024-03-13,259.67,261.72,255.4152,255.65,255.65,812997
2024-03-14,255.11,256.755,252.05,254.26,254.26,989184
2024-03-15,250.58,255.07,250.58,252.71,252.71,1139793
2024-03-18,253.98,254.96,252.17,253.87,253.87,734346
2024-03-19,253.32,256.34,251.95,254.16,254.16,797580
2024-03-20,254.19,255.35,251.22,252.72,252.72,1242528
2024-03-21,254.13,256.29,252.31,254.56,254.56,1122234
2024-03-22,254.8,254.8,251.19,252.41,252.41,646270
2024-03-25,254.1,254.54,248.125,248.88,248.88,688367
2024-03-26,249.85,250.37,247.48,247.74,247.74,880372
2024-03-27,250.32,252.7,249.045,252.57,252.57,747004
2024-03-28,252.71,253.765,247.96,252.89,252.89,771448
2024-04-01,253.33,253.84,247.6,248.87,248.87,633299
2024-04-02,246.71,247.31,242.295,245.51,245.51,997506
2024-04-03,245.05,246.0,241.95,242.98,242.98,880154
2024-04-04,245.08,246.04,238.31,238.53,238.53,939792
2024-04-05,239.02,241.939,238.03,241.45,241.45,556638
2024-04-08,241.48,242.965,239.58,241.5,241.5,495441
2024-04-09,244.35,247.005,244.25,245.33,245.33,548706
2024-04-10,239.06,241.76,236.53,239.41,239.41,534636
2024-04-11,240.34,242.05,236.87,238.02,238.02,658356
2024-04-12,235.35,236.93,232.86,234.23,234.23,932313
2024-04-15,236.93,236.93,230.14,231.16,231.16,609477
2024-04-16,232.32,232.58,228.755,229.14,229.14,920953
2024-04-17,230.56,231.58,226.875,227.25,227.25,705876
2024-04-18,225.19,230.52,222.71,227.17,227.17,631234
2024-04-19,227.54,229.8455,225.54,228.09,228.09,776957
2024-04-22,230.36,232.98,228.0,231.34,231.34,737099
2024-04-23,235.95,239.92,232.12,238.62,238.62,1112773
2024-04-24,238.3,244.27,237.7,240.84,240.84,1505728
2024-04-25,239.32,239.89,232.42,233.98,233.98,1061417
2024-04-26,233.1,236.93,233.1,234.88,234.88,697640
2024-04-29,236.55,237.82,234.27,235.48,235.48,740094
2024-04-30,234.17,235.99,231.46,231.77,231.77,674185
2024-05-01,231.91,237.56,229.58,232.94,232.94,1025521
2024-05-02,227.69,232.88,221.33,222.14,222.14,1697682
2024-05-03,223.53,227.56,222.975,223.37,223.37,1052929
2024-05-06,224.97,227.24,224.435,227.04,227.04,684926
2024-05-07,228.2,230.28,226.945,229.14,229.14,849873
2024-05-08,228.66,229.83,226.89,227.88,227.88,579536
2024-05-09,228.2,229.54,227.3,229.2,229.2,643740
2024-05-10,230.92,234.735,230.055,234.08,234.08,1261997
2024-05-13,234.17,236.16,229.01,229.04,229.04,867399
2024-05-14,230.59,231.64,228.43,231.14,231.14,699573
2024-05-15,233.71,235.79,231.81,233.69,233.69,963405
2024-05-16,233.07,236.72,232.1,235.0,235.0,1008991
2024-05-17,235.0,235.7908,231.06,231.18,231.18,723943
2024-05-20,231.25,231.89,229.45,230.09,230.09,701389
2024-05-21,229.27,229.585,226.75,229.38,229.38,1060619
2024-05-22,229.38,230.85,225.26,226.03,226.03,1155690
2024-05-23,226.82,229.42,223.36,227.09,227.09,788115
2024-05-24,227.46,229.92,226.93,229.6,229.6,751380
2024-05-28,229.79,230.41,224.88,226.71,226.71,1160238
2024-05-29,224.63,225.57,222.87,225.0,225.0,1411697
2024-05-30,223.53,225.63,221.77,222.45,222.45,1150065
2024-05-31,222.81,223.55,216.65,219.09,219.09,3503962
2024-06-03,220.86,222.165,214.81,216.47,216.47,1393242
2024-06-04,216.17,217.35,212.34,217.18,217.18,1153654
2024-06-05,217.59,219.48,215.445,218.9,218.9,1164796
2024-06-06,221.12,221.12,217.73,220.49,220.49,1146698
2024-06-07,218.78,220.23,215.72,219.23,219.23,1305265
2024-06-10,216.9,216.96,213.92,215.83,215.83,1670182
2024-06-11,214.28,215.74,212.52,215.51,215.51,1613709
2024-06-12,218.58,220.48,215.57,217.46,217.46,1233606
2024-06-13,216.24,217.68,212.97,213.96,213.96,904371
2024-06-14,212.8,213.38,210.79,212.75,212.75,845033
2024-06-17,211.83,213.74,209.76,213.32,213.32,1014155
2024-06-18,214.04,216.25,212.15,212.83,212.83,1099382
2024-06-20,210.52,214.28,209.61,214.19,214.19,975219
2024-06-21,215.31,217.15,213.9,216.25,216.25,1590610
2024-06-24,217.23,218.51,213.46,214.09,214.09,1464315
2024-06-25,213.48,215.16,209.87,211.42,211.42,1449800
2024-06-26,210.97,211.9,208.85,211.18,211.18,1658075
2024-06-27,210.48,213.09,209.09,212.75,212.75,1014494
2024-06-28,213.45,214.77,209.59,211.44,211.44,5448174
2024-07-01,212.64,214.76,208.03,208.49,208.49,1125342
2024-07-02,208.29,209.915,206.95,207.47,207.47,936449
2024-07-03,208.43,208.585,206.39,206.81,206.81,929729
2024-07-05,207.42,208.5,205.06,208.1,208.1,1108787
2024-07-08,208.56,209.62,207.07,208.94,208.94,1287096
2024-07-09,209.33,213.3,208.86,213.05,213.05,1123299
2024-07-10,213.26,213.9,209.07,211.98,211.98,888236
2024-07-11,215.0,219.85,214.02,219.44,219.44,1124660
2024-07-12,220.8,224.97,218.44,224.17,224.17,1362151
2024-07-15,224.05,227.26,223.95,225.89,225.89,1056482
2024-07-16,227.83,234.33,227.37,232.97,232.97,1315010
2024-07-17,231.78,237.411,230.0,230.29,230.29,970535
2024-07-18,228.45,231.3,223.67,224.85,224.85,873958
2024-07-19,226.04,226.53,222.005,224.57,224.57,1093584
2024-07-22,239.86,246.41,230.27,245.23,245.23,2496343
2024-07-23,242.0,243.17,238.58,238.79,238.79,1918151
2024-07-24,238.04,240.91,236.32,238.75,238.75,1339330
2024-07-25,237.04,239.07,230.88,232.29,232.29,1967757
2024-07-26,235.58,239.95,233.99,239.67,239.67,1195238
2024-07-29,239.0,239.0,235.02,237.25,237.25,948640
2024-07-30,239.11,246.265,238.575,245.57,245.57,1309298
2024-07-31,246.42,249.4,245.72,246.23,246.23,1287406
2024-08-01,246.7,249.97,246.53,248.36,248.36,974998
2024-08-02,245.19,246.59,236.89,241.78,241.78,1141380
2024-08-05,234.88,237.5,231.37,233.65,233.65,1195327
2024-08-06,236.27,241.11,233.85,237.26,237.26,921732
2024-08-07,240.31,240.31,229.49,229.62,229.62,1431943
2024-08-08,229.66,236.29,229.17,236.07,236.07,635207
2024-08-09,236.26,238.005,234.61,237.47,237.47,552564
2024-08-12,235.82,236.79,230.81,231.46,231.46,761185
2024-08-13,233.02,239.18,232.61,238.44,238.44,964194
2024-08-14,239.46,240.47,236.02,236.21,236.21,517586
2024-08-15,238.9,241.26,238.235,240.91,240.91,837438
2024-08-16,239.88,241.0,238.17,239.63,239.63,438352
2024-08-19,240.21,243.48,238.65,243.11,243.11,797585
2024-08-20,243.11,247.4,241.87,246.94,246.94,1197130
2024-08-21,247.55,248.21,245.485,247.0,247.0,717433
2024-08-22,248.68,248.68,244.24,244.96,244.96,523879
2024-08-23,247.85,249.85,245.82,248.93,248.93,557532
2024-08-26,249.44,249.97,246.97,247.86,247.86,407791
2024-08-27,247.18,248.89,245.56,248.6,248.6,911637
2024-08-28,248.47,250.78,246.125,247.55,247.55,727038
2024-08-29,249.21,252.88,248.17,250.79,250.79,754093
2024-08-30,251.01,251.9572,246.85,251.55,251.55,1194435
2024-09-03,249.03,252.69,247.04,248.81,248.81,1229910
2024-09-04,249.32,250.46,246.405,248.84,248.84,1059848
2024-09-05,249.54,249.54,244.4,248.14,248.14,786394
2024-09-06,248.2,249.435,241.95,243.07,243.07,919808
2024-09-09,244.89,245.57,238.98,240.87,240.87,2118910
2024-09-10,240.86,244.6275,230.46,235.2,235.2,2371420
2024-09-11,234.47,237.74,230.24,237.3,237.3,1227481
2024-09-12,237.32,239.74,234.5,238.4,238.4,1406475
2024-09-13,238.97,240.62,237.19,238.7,238.7,1144738
2024-09-16,240.7,242.04,237.8,239.38,239.38,1031695
2024-09-17,242.1,243.89,238.11,239.98,239.98,1427204
2024-09-18,240.85,246.36,238.82,242.67,242.67,1584417
2024-09-19,247.45,248.03,243.65,244.62,244.62,1168473
2024-09-20,242.0,243.33,239.02,242.12,242.12,3159620
2024-09-23,244.6,245.2,240.28,240.73,240.73,742109
2024-09-24,241.36,241.8772,237.35,239.57,239.57,1053773
2024-09-25,238.56,238.56,230.0,231.71,231.71,1302051
2024-09-26,234.77,236.99,233.21,236.23,236.23,718070
2024-09-27,237.02,237.255,233.37,234.79,234.79,858579
2024-09-30,233.61,237.3,233.61,236.97,236.97,724025
2024-10-01,236.28,237.13,231.06,231.37,231.37,803658
2024-10-02,229.94,233.91,228.2,231.76,231.76,795573
2024-10-03,230.79,230.79,226.82,227.4,227.4,854265
2024-10-04,230.88,231.06,228.01,229.84,229.84,591239
2024-10-07,227.24,227.48,224.41,225.36,225.36,975739
2024-10-08,225.05,227.79,225.05,226.72,226.72,885110
2024-10-09,227.52,229.88,226.6,228.79,228.79,673945
2024-10-10,227.0,232.85,226.15,230.25,230.25,718719
2024-10-11,229.97,232.49,228.96,229.26,229.26,971331
2024-10-14,229.28,233.57,228.66,233.22,233.22,711744
2024-10-15,233.8,237.335,231.84,232.98,232.98,1087477
2024-10-16,231.37,233.72,229.8,233.06,233.06,870108
2024-10-17,235.54,236.45,232.89,233.89,233.89,914636
2024-10-18,235.08,237.21,232.05,236.69,236.69,810936
2024-10-21,235.03,235.32,230.16,231.19,231.19,846236
2024-10-22,228.04,230.15,223.0,228.3,228.3,953972
2024-10-23,228.79,231.34,225.93,228.31,228.31,865503
2024-10-24,223.97,224.32,209.17,211.71,211.71,2286476
2024-10-25,213.25,217.51,213.0,214.63,214.63,1012728
2024-10-28,217.45,218.6,215.0,217.54,217.54,1073306
