date,open,high,low,close,adjusted_close,volume
2024-01-16,363.39,364.48,359.395,362.33,362.33,1494965
2024-01-17,358.4,361.23,355.17,358.88,358.88,1246107
2024-01-18,369.88,374.18,366.7911,371.93,371.93,2533109
2024-01-19,374.0,376.9,370.655,374.82,374.82,2392529
2024-01-22,377.91,379.39,375.07,375.81,375.81,1813143
2024-01-23,377.25,377.8025,367.5,371.41,371.41,2393791
2024-01-24,383.93,384.0,362.14,370.07,370.07,4949678
2024-01-25,372.61,377.325,370.6,374.97,374.97,1873334
2024-01-26,371.6,375.06,368.0101,374.76,374.76,2144764
2024-01-29,374.41,379.34,373.06,379.16,379.16,1602969
2024-01-30,377.37,381.79,376.42,377.29,377.29,1375320
2024-01-31,378.5,383.74,375.595,378.22,378.22,1802098
2024-02-01,378.41,384.29,375.67,383.83,383.83,1630137
2024-02-02,382.33,385.43,377.9,383.77,383.77,1773557
2024-02-05,384.47,388.6199,380.57,383.94,383.94,1575287
2024-02-06,385.26,389.79,384.12,389.69,389.69,1694266
2024-02-07,390.38,392.0,385.72,391.375,391.375,1458965
2024-02-08,389.51,391.6,385.36,386.94,386.94,998655
2024-02-09,387.46,389.92,383.05,388.22,388.22,1234101
2024-02-12,386.09,387.36,381.0701,382.13,382.13,1569858
2024-02-13,375.0,383.245,371.0,378.89,378.89,1705296
2024-02-14,380.09,381.91,378.0,381.76,381.76,1147614
2024-02-15,382.03,383.0,377.54,380.17,380.17,1053098
2024-02-16,378.29,381.15,376.0,378.63,378.63,1272001
2024-02-20,379.69,382.88,374.61,377.64,377.64,1445682
2024-02-21,376.75,380.47,373.15,380.23,380.23,1216678
2024-02-22,382.43,389.68,382.21,389.08,389.08,1540785
2024-02-23,389.08,391.25,387.28,389.77,389.77,1000527
2024-02-26,389.4,391.81,386.15,388.27,388.27,1024539
2024-02-27,386.46,389.4701,385.275,386.46,386.46,1042975
2024-02-28,384.6,386.7455,383.56,386.59,386.59,902880
2024-02-29,384.41,389.26,383.93,385.6,385.6,2134795
2024-03-01,383.48,399.67,382.3201,397.9,397.9,2194148
2024-03-04,398.3,403.0,396.51,400.59,400.59,1943687
2024-03-05,400.0,400.41,386.3,387.32,387.32,1610642
2024-03-06,386.76,393.136,386.76,388.16,388.16,1203238
2024-03-07,393.3,396.61,390.35,392.68,392.68,1797733
2024-03-08,392.02,395.93,390.79,391.85,391.85,1737950
2024-03-11,391.0,391.0,377.44,378.9,378.9,1602471
2024-03-12,378.9,390.255,378.52,389.4,389.4,1446493
2024-03-13,389.67,390.69,380.985,382.99,382.99,1447955
2024-03-14,383.23,384.43,376.6,384.31,384.31,1413037
2024-03-15,398.16,398.16,382.63,396.28,396.28,3906792
2024-03-18,399.6,401.27,390.79,392.62,392.62,1654503
2024-03-19,391.99,392.58,381.77,390.53,390.53,1610816
2024-03-20,390.39,390.67,384.4,390.37,390.37,930134
2024-03-21,394.0,397.0,391.93,391.96,391.96,920837
