date,open,high,low,close,adjusted_close,volume
2024-01-16,161.57,162.25,160.18,160.52,155.594,6923200
2024-01-17,160.25,161.3,159.87,160.43,155.5068,5072100
2024-01-18,160.0,161.37,159.69,161.21,156.2629,5368500
2024-01-19,161.15,161.92,160.28,161.68,156.7184,7055800
2024-01-22,162.0,163.58,161.34,162.47,157.4842,6824200
2024-01-23,159.66,160.51,156.91,159.81,154.9058,9149800
2024-01-24,159.75,160.6,158.16,158.96,154.0819,7247900
2024-01-25,159.0,159.62,158.47,159.56,154.6635,5478900
2024-01-26,160.43,160.74,159.36,159.5,154.6053,5591900
2024-01-29,159.01,160.07,158.96,159.36,154.4696,6483200
2024-01-30,159.35,159.76,158.13,158.77,153.8977,7200500
2024-01-31,160.4,160.62,158.67,158.9,154.0238,8256800
2024-02-01,158.16,158.49,157.05,158.36,153.5003,8012000
2024-02-02,157.97,158.31,155.94,156.61,151.804,8295500
2024-02-05,156.61,156.89,155.34,155.8,151.0189,9121600
2024-02-06,155.83,158.73,155.6,158.06,153.2095,9229900
2024-02-07,157.8,159.37,157.69,157.98,153.132,8690300
2024-02-08,157.34,157.34,155.31,156.4,151.6005,9755000
2024-02-09,156.27,157.2,155.67,156.76,151.9494,6529200
2024-02-12,156.58,158.41,156.35,157.85,153.006,6701500
2024-02-13,157.64,158.45,155.75,156.47,151.6683,8621000
2024-02-14,156.35,156.46,154.84,155.74,150.9607,9098800
2024-02-15,155.98,158.48,155.89,157.92,153.0738,7462500
2024-02-16,156.6,157.26,155.67,156.55,152.898,8540700
2024-02-20,156.56,158.61,156.44,157.86,154.1775,9501700
2024-02-21,158.02,158.69,157.13,158.68,154.9783,7473300
2024-02-22,158.98,160.74,157.77,160.45,156.7071,8065000
2024-02-23,160.88,162.25,160.16,161.84,158.0646,6726000
2024-02-26,161.8,162.01,160.57,160.79,157.0391,5465400
2024-02-27,160.34,161.04,159.64,160.98,157.2247,5078600
2024-02-28,161.0,161.61,160.29,161.55,157.7814,6071100
2024-02-29,162.0,162.19,160.94,161.38,157.6154,9849100
2024-03-01,161.83,162.57,161.09,162.12,158.3381,5668000
2024-03-04,161.32,161.61,158.27,159.84,156.1113,8532900
2024-03-05,160.62,161.24,159.2,159.97,156.2383,8298200
2024-03-06,159.46,160.93,159.22,159.34,155.6229,5773700
2024-03-07,160.0,160.36,158.24,158.87,155.1639,5188700
2024-03-08,158.87,160.39,158.43,159.52,155.7987,5283200
2024-03-11,159.49,161.32,158.88,161.23,157.4689,4620800
2024-03-12,161.58,163.11,161.13,162.74,158.9436,8018700
2024-03-13,162.53,162.68,159.81,161.1,157.3419,6260000
2024-03-14,160.94,161.54,158.69,159.21,155.496,6988300
2024-03-15,158.06,159.19,157.1,158.18,154.49,13165500
2024-03-18,158.57,158.69,156.5,156.76,153.1031,6602300
2024-03-19,156.67,156.86,155.66,156.21,152.566,7840600
2024-03-20,155.7,156.44,155.21,155.76,152.1265,5982300
2024-03-21,155.59,156.95,155.1,155.75,152.1167,5915800
2024-03-22,155.69,156.36,155.11,155.23,151.6088,7245400
2024-03-25,155.4,155.98,154.9,155.22,151.5991,7498100
2024-03-26,155.61,156.23,154.76,155.77,152.1362,6864100
2024-03-27,155.99,158.22,155.44,157.96,154.2751,8461600
2024-03-28,158.2,159.14,158.11,158.19,154.4998,6181500
2024-04-01,157.72,158.15,156.77,157.78,154.0993,4364700
2024-04-02,156.57,157.83,155.95,157.73,154.0505,6102300
2024-04-03,157.79,158.05,154.25,154.26,150.6615,8098200
2024-04-04,155.31,155.5,152.41,152.5,148.9425,6947400
2024-04-05,152.03,153.01,151.61,152.39,148.8351,6778100
2024-04-08,151.99,153.04,151.56,151.59,148.0537,5935400
2024-04-09,151.55,152.53,150.94,152.29,148.7374,6135600
2024-04-10,151.53,151.82,149.76,150.2,146.6962,6809500
2024-04-11,150.8,150.87,148.39,148.79,145.3191,8374400
2024-04-12,148.06,149.07,147.15,147.52,144.0787,7097500
2024-04-15,148.37,149.49,147.37,147.59,144.147,8502300
2024-04-16,145.01,146.25,143.39,144.45,141.0803,12774900
2024-04-17,145.0,145.41,143.54,144.77,141.3928,9378100
2024-04-18,144.98,145.8,143.13,145.74,142.3402,9887700
2024-04-19,146.15,148.13,144.54,147.91,144.4596,9747700
2024-04-22,148.51,150.27,147.3,149.12,145.6414,10118700
2024-04-23,149.86,150.49,148.2,149.56,146.0711,10110400
2024-04-24,148.14,148.99,146.86,148.53,145.0651,9756300
2024-04-25,149.37,149.58,146.33,146.82,143.395,7642700
2024-04-26,146.7,147.18,145.95,146.14,142.7309,6183000
2024-04-29,146.14,147.22,145.99,146.82,143.395,6149600
2024-04-30,146.88,146.88,144.53,144.59,141.217,8817700
2024-05-01,148.74,151.85,147.62,151.18,147.6533,14470900
2024-05-02,152.04,152.33,149.14,149.92,146.4227,8459800
2024-05-03,149.89,149.89,147.82,149.27,145.7879,6532700
2024-05-06,149.87,150.05,147.91,148.58,145.114,5042800
2024-05-07,149.38,149.73,148.45,148.72,145.2507,7333500
2024-05-08,149.12,149.73,148.7,148.95,145.4753,7735100
2024-05-09,148.98,150.1,148.89,149.85,146.3543,6546200
2024-05-10,150.0,150.09,149.19,149.91,146.4129,5710600
2024-05-13,150.04,152.0,149.71,151.22,147.6924,5628500
2024-05-14,151.85,152.21,150.7,151.38,147.8486,8254200
2024-05-15,151.82,152.95,151.3,152.67,149.1085,5548000
2024-05-16,153.0,154.38,152.33,154.28,150.681,7591000
2024-05-17,154.86,154.86,153.71,154.64,151.0326,6521800
2024-05-20,153.1,153.39,151.26,151.27,148.9355,7742300
2024-05-21,151.78,152.59,150.79,151.24,148.9059,5492400
2024-05-22,150.84,154.08,150.32,153.5,151.131,6609800
2024-05-23,152.75,152.84,149.38,149.7,147.3897,8000400
2024-05-24,149.53,149.81,146.76,146.97,144.7018,9517000
2024-05-28,146.79,146.79,144.15,144.38,142.1518,10499800
2024-05-29,143.82,145.42,143.71,144.44,142.2109,8263800
2024-05-30,144.62,145.61,144.02,145.28,143.0379,8491100
2024-05-31,145.57,147.48,145.19,146.67,144.4065,14621200
2024-06-03,147.25,148.9,146.77,147.74,145.4599,7329200
2024-06-04,147.48,148.31,146.19,147.8,145.519,8876400
2024-06-05,147.97,147.99,145.85,145.97,143.7173,5891300
2024-06-06,145.5,147.0,144.66,146.42,144.1603,5016300
2024-06-07,146.68,148.3,146.34,147.08,144.8101,5111600
2024-06-10,146.53,147.56,145.6,147.13,144.8594,5751300
2024-06-11,146.81,147.16,145.44,146.76,144.4951,5661200
2024-06-12,147.06,147.21,144.78,145.41,143.1659,6180500
2024-06-13,145.07,146.0,143.88,145.45,143.2053,6840400
2024-06-14,145.14,145.97,144.48,145.54,143.2939,4075300
2024-06-17,145.02,146.43,144.74,145.95,143.6976,6666600
2024-06-18,145.96,146.39,145.26,145.65,143.4022,6156600
2024-06-20,145.27,148.08,145.01,147.78,145.4993,8749700
2024-06-21,147.89,149.08,147.37,148.75,146.4544,15176900
2024-06-24,149.0,149.72,148.17,149.12,146.8186,6914700
2024-06-25,149.18,149.2,146.94,147.19,144.9184,6620300
2024-06-26,146.2,147.19,145.78,146.82,144.5541,5267800
2024-06-27,146.8,147.36,144.84,145.8,143.5499,5739200
2024-06-28,146.04,147.07,145.65,146.16,143.9043,10495700
2024-07-01,146.07,148.7,145.62,146.44,144.18,5144400
2024-07-02,146.43,147.15,145.74,146.03,143.7763,5492000
2024-07-03,146.2,146.65,144.74,145.69,143.4416,3246200
2024-07-05,145.77,146.55,144.5,146.48,144.2194,4888500
2024-07-08,146.4,147.22,145.25,145.48,143.2348,5260200
2024-07-09,145.67,147.13,145.18,147.05,144.7806,5890400
2024-07-10,147.26,149.47,146.68,149.43,147.1239,6093200
2024-07-11,149.58,150.58,148.64,149.7,147.3897,6350400
2024-07-12,150.0,150.88,149.24,149.88,147.5669,5336400
2024-07-15,150.08,150.25,148.87,149.24,146.9368,6711400
2024-07-16,149.69,151.08,149.16,151.01,148.6795,6469600
2024-07-17,151.55,157.49,151.42,156.58,154.1635,13801400
2024-07-18,155.6,157.07,154.62,155.42,153.0214,10166200
2024-07-19,156.51,156.51,154.12,154.69,152.3027,7398000
2024-07-22,154.77,155.11,153.59,154.24,151.8596,6840600
