date,open,high,low,close,adjusted_close,volume
2024-01-16,221.94,222.96,220.17,221.77,218.8878,1023981
2024-01-17,221.06,225.38,220.63,223.0,220.1018,660124
2024-01-18,221.38,228.105,220.42,227.32,224.3657,834738
2024-01-19,228.31,228.31,223.855,226.15,223.2109,744916
2024-01-22,226.28,228.43,224.86,225.77,222.8358,478255
2024-01-23,226.13,227.37,224.135,226.69,223.7438,527340
2024-01-24,226.87,228.39,223.07,223.35,220.4473,555267
2024-01-25,225.1,226.81,222.085,226.65,223.7044,482440
2024-01-26,228.58,229.54,224.78,224.92,221.9969,641510
2024-01-29,224.65,227.29,223.65,227.14,224.188,910970
2024-01-30,227.58,228.22,225.54,226.35,223.4083,440295
2024-01-31,227.56,227.56,221.79,222.3,219.4109,789990
2024-02-01,218.28,224.32,213.281,224.29,221.375,765868
2024-02-02,223.01,223.805,220.92,221.54,218.6608,617268
2024-02-05,220.57,221.325,218.845,219.64,216.7855,582215
2024-02-06,219.77,223.18,219.77,222.28,219.3912,466288
2024-02-07,223.77,224.4225,222.646,223.71,220.8026,505867
2024-02-08,222.06,223.155,220.75,222.8,219.9044,602466
2024-02-09,222.73,223.605,222.175,222.59,219.6971,386765
2024-02-12,222.26,227.53,221.83,227.45,224.494,508804
2024-02-13,226.45,226.985,221.98,223.33,220.4275,625239
2024-02-14,224.47,228.55,224.4,228.11,225.1454,1074458
2024-02-15,227.0,229.46,218.0,222.13,219.2431,1064014
2024-02-16,223.37,223.37,216.0,216.64,213.8245,1151409
2024-02-20,215.29,217.78,214.71,215.67,212.8671,857150
2024-02-21,215.3,218.1,214.01,217.93,215.0977,803589
2024-02-22,217.51,218.32,214.04,217.77,214.9398,979651
2024-02-23,218.56,219.49,216.55,219.16,216.3117,939971
2024-02-26,218.91,221.1,214.9,215.47,213.3706,1239848
2024-02-27,214.96,216.46,212.15,215.69,213.5885,1075066
2024-02-28,215.66,215.71,213.86,214.8,212.7072,642899
2024-02-29,215.0,216.09,212.23,215.83,213.7271,1299213
2024-03-01,215.66,218.16,214.53,218.0,215.876,795916
2024-03-04,217.12,220.18,217.075,219.1,216.9653,598141
2024-03-05,219.47,221.135,216.12,216.15,214.044,835504
2024-03-06,216.36,218.25,215.44,217.8,215.6779,795343
2024-03-07,218.45,219.7,217.34,218.36,216.2325,576042
2024-03-08,218.53,219.71,217.32,217.5,215.3809,632404
2024-03-11,216.84,218.91,215.92,218.53,216.4008,512858
2024-03-12,217.99,218.51,216.295,216.86,214.7471,395554
2024-03-13,217.66,218.49,214.49,215.75,213.6479,541043
2024-03-14,214.52,214.76,207.49,209.01,206.9736,1582566
2024-03-15,206.37,211.01,206.37,209.21,207.1716,1388743
2024-03-18,209.34,209.6,206.87,209.54,207.4984,877597
2024-03-19,209.84,211.98,208.36,210.97,208.9145,858086
2024-03-20,210.3,210.9,207.57,209.36,207.3202,1168406
2024-03-21,210.51,212.04,209.55,211.29,209.2314,568884
2024-03-22,211.29,213.34,210.19,213.26,211.1822,806721
2024-03-25,215.0,215.316,212.3,213.75,211.6674,520476
2024-03-26,213.75,214.4161,212.78,213.52,211.4396,559147
2024-03-27,214.85,216.63,214.85,216.57,214.4599,430701
2024-03-28,216.74,218.67,215.64,218.46,216.3315,607583
2024-04-01,217.29,217.785,213.81,216.35,214.2421,490616
2024-04-02,216.14,216.155,210.81,211.95,209.8849,802911
2024-04-03,211.59,213.445,210.8,212.24,210.1721,624121
2024-04-04,213.77,214.855,210.63,211.21,209.1522,498931
2024-04-05,211.0,212.065,208.75,211.26,209.2017,612676
2024-04-08,211.15,212.39,210.06,210.12,208.0728,602421
2024-04-09,211.51,212.685,210.0,210.05,208.0035,714111
2024-04-10,208.57,209.205,206.56,207.17,205.1515,901940
2024-04-11,207.91,207.955,204.01,206.5,204.488,861295
2024-04-12,205.21,206.4,204.4,205.73,203.7255,717036
2024-04-15,206.95,208.32,203.0,203.32,201.339,669066
2024-04-16,204.24,204.69,201.91,201.93,199.9626,691528
2024-04-17,202.78,202.78,199.84,199.97,198.0217,683299
2024-04-18,199.55,200.21,198.06,199.45,197.5067,769005
2024-04-19,200.73,201.64,199.6501,201.48,199.517,768208
2024-04-22,202.25,203.89,200.67,203.07,201.0915,685960
2024-04-23,204.76,210.63,203.22,207.97,205.9437,925458
2024-04-24,206.82,208.14,205.54,207.94,205.914,793528
2024-04-25,204.77,204.82,196.11,198.35,196.4175,2098112
2024-04-26,197.08,200.155,197.01,198.4,196.467,931317
2024-04-29,199.0,207.535,199.0,204.17,202.1807,1415309
2024-04-30,203.21,204.5,200.925,201.37,199.408,890860
2024-05-01,200.76,204.09,198.43,201.32,199.3585,765348
2024-05-02,201.57,201.645,199.11,200.25,198.2989,599282
2024-05-03,201.12,202.92,199.68,201.32,199.3585,555654
2024-05-06,202.41,203.09,199.385,201.04,199.0812,813044
2024-05-07,201.99,202.5355,199.615,201.5,199.5368,620897
2024-05-08,202.33,202.33,200.68,201.61,199.6457,556886
2024-05-09,201.53,206.23,201.47,206.15,204.1415,813688
2024-05-10,206.34,207.8,205.46,207.67,205.6466,722931
2024-05-13,208.31,211.4,207.8451,210.37,208.3203,792854
2024-05-14,211.34,212.16,208.6804,211.2,209.1423,536448
2024-05-15,212.26,213.78,210.835,213.21,211.1327,542275
2024-05-16,212.96,215.07,212.29,213.13,211.0534,676626
2024-05-17,213.52,213.52,208.19,210.59,208.5382,730919
2024-05-20,212.06,214.14,206.07,206.83,204.8148,592475
2024-05-21,206.25,207.46,204.98,205.34,203.3393,594249
2024-05-22,204.41,205.16,200.97,201.19,199.2298,780917
2024-05-23,200.13,201.16,197.01,197.09,195.1697,677754
2024-05-24,197.08,200.1799,196.19,199.65,197.7048,724589
2024-05-28,199.31,199.57,196.14,196.19,194.9941,743619
2024-05-29,195.21,195.21,192.3,192.5,191.3266,942902
2024-05-30,192.51,194.35,192.39,193.44,192.2609,1361640
2024-05-31,193.5,195.1,191.97,194.91,193.7219,1255709
2024-06-03,194.91,197.94,194.81,195.01,193.8213,614630
2024-06-04,194.89,197.51,193.115,196.68,195.4811,726187
2024-06-05,196.75,199.545,195.77,198.0,196.7931,662767
2024-06-06,196.94,199.7096,196.5205,198.41,197.2006,429667
2024-06-07,197.83,199.19,195.84,196.6,195.4016,471229
2024-06-10,196.1,196.56,192.5001,195.92,194.7258,514959
2024-06-11,195.69,197.46,195.105,197.42,196.2166,464887
2024-06-12,198.66,200.0,196.15,196.36,195.1631,626340
2024-06-13,195.42,196.76,192.38,196.48,195.2823,632442
2024-06-14,197.91,200.1,195.21,199.88,198.6616,716109
2024-06-17,198.66,201.68,198.07,201.56,200.3314,604254
2024-06-18,201.1,206.76,201.1,206.5,205.2413,898878
2024-06-20,205.1,208.305,204.235,207.38,206.1159,974385
2024-06-21,208.08,208.08,204.06,205.25,203.9989,1070234
2024-06-24,205.88,209.41,204.48,208.0,206.7321,638035
2024-06-25,207.35,208.32,206.21,207.84,206.5731,599620
2024-06-26,206.63,206.63,202.69,203.24,202.0011,500393
2024-06-27,202.99,205.0,202.51,204.9,203.651,464948
