date,open,high,low,close,adjusted_close,volume
2024-01-16,643.91,647.73,633.67,634.57,630.4552,2413600
2024-01-17,639.45,640.52,625.19,628.91,624.8319,2124100
2024-01-18,621.28,623.88,612.7,623.35,619.308,3385000
2024-01-19,622.39,629.59,620.0,628.58,624.5041,3120500
2024-01-22,630.0,632.64,625.0,630.88,626.7892,2030200
2024-01-23,627.69,630.0,614.82,629.68,625.5969,2525000
2024-01-24,633.52,643.17,632.0,633.7,629.5909,2276900
2024-01-25,627.37,632.61,624.68,627.62,623.5503,2407900
2024-01-26,637.35,639.6,630.5,639.25,635.1049,2410300
2024-01-29,641.5,645.65,639.77,645.0,640.8176,2718500
2024-01-30,645.7,646.8,641.0,644.98,640.7977,2006100
2024-01-31,650.38,663.55,637.0,645.61,641.4236,4719000
2024-02-01,647.33,660.52,643.17,660.43,656.1475,2494300
2024-02-02,662.38,672.62,659.74,667.65,663.3207,3018000
2024-02-05,691.02,711.88,682.53,706.2,701.6208,7602400
2024-02-06,742.0,742.0,691.1,705.03,700.4583,8187300
2024-02-07,710.38,740.99,707.02,725.38,720.6764,5798000
2024-02-08,728.32,741.0,725.75,735.68,730.9096,4636900
2024-02-09,735.5,745.7,733.61,740.16,735.3605,2833900
2024-02-12,740.8,740.8,726.45,737.26,732.4793,2932300
2024-02-13,730.18,742.98,730.18,742.97,738.1523,2860300
2024-02-14,745.82,764.05,745.0,757.31,753.7181,3394300
2024-02-15,755.8,762.99,750.01,757.78,754.1859,2507000
2024-02-16,771.03,794.47,763.5,782.06,778.3508,5000700
2024-02-20,790.0,793.38,753.2,755.66,752.076,4701100
2024-02-21,738.08,749.5,733.24,745.91,742.3722,3548700
2024-02-22,763.58,775.12,756.27,769.64,765.9897,3167400
2024-02-23,774.0,777.65,762.26,769.54,765.8901,2394800
2024-02-26,771.3,780.22,769.12,771.92,768.2589,2243800
2024-02-27,754.9,772.95,745.44,765.0,761.3717,2716700
2024-02-28,762.25,763.0,751.66,757.64,754.0466,2716300
2024-02-29,753.08,756.46,744.03,753.68,750.1054,3905400
2024-03-01,769.02,784.08,764.13,782.12,778.4105,4240500
2024-03-04,796.44,800.78,786.16,792.28,788.5223,3855600
2024-03-05,785.31,788.53,769.28,777.59,773.902,3168700
2024-03-06,784.29,787.85,774.0,779.77,776.0716,2518600
2024-03-07,771.84,792.99,761.12,780.16,776.4598,3977400
2024-03-08,780.0,780.0,755.0,762.14,758.5252,4042900
2024-03-11,752.21,756.8,727.62,734.37,730.8869,3968900
2024-03-12,740.96,755.97,738.01,754.95,751.3693,2701700
2024-03-13,757.0,760.77,745.71,757.84,754.2456,2357500
2024-03-14,764.95,768.0,749.4,760.73,757.1219,2647500
2024-03-15,755.38,760.89,747.71,754.17,750.593,3729300
2024-03-18,762.28,769.68,758.25,762.66,759.0428,2521400
2024-03-19,758.44,773.85,755.0,772.78,769.1148,2557100
2024-03-20,770.11,773.16,756.64,772.86,769.1944,2038000
2024-03-21,774.0,780.54,758.88,770.26,766.6067,3013200
2024-03-22,770.0,777.0,767.28,770.61,766.9551,1979700
2024-03-25,771.1,778.49,768.15,773.14,769.4731,1806600
2024-03-26,774.2,778.33,769.0,774.9,771.2247,2099000
2024-03-27,778.71,785.26,767.38,778.18,774.4892,2297700
2024-03-28,780.32,793.67,776.44,777.96,774.2702,3209400
2024-04-01,776.0,777.5,753.82,760.55,756.9428,2921300
2024-04-02,755.07,765.07,753.5,763.96,760.3366,2596800
2024-04-03,765.69,787.25,765.41,775.99,772.3095,3044900
2024-04-04,781.54,787.9,767.82,768.08,764.4371,2354000
2024-04-05,765.47,786.71,763.09,784.21,780.4906,2111900
2024-04-08,785.02,785.2,773.35,777.29,773.6034,1664200
2024-04-09,777.64,777.82,750.65,757.24,753.6485,2464800
2024-04-10,751.28,765.26,746.83,761.98,758.366,1700300
2024-04-11,759.78,763.33,750.67,759.59,755.9873,1594800
2024-04-12,759.57,763.5,749.79,751.64,748.075,2490000
2024-04-15,760.07,768.0,749.52,750.77,747.2092,2358600
2024-04-16,751.68,753.14,743.0,746.74,743.1983,2569800
2024-04-17,759.2,771.83,744.88,750.77,747.2092,3069400
2024-04-18,749.42,752.2,743.77,745.95,742.412,1717300
2024-04-19,749.16,750.01,722.07,726.31,722.8652,3503900
2024-04-22,729.74,737.88,725.42,731.33,727.8614,2354100
2024-04-23,741.2,746.16,731.44,745.69,742.1533,2042000
2024-04-24,752.64,752.64,728.79,732.2,728.7272,2133400
2024-04-25,725.0,727.99,718.3,724.87,721.432,2608800
2024-04-26,723.48,737.45,721.0,733.51,730.031,2009200
2024-04-29,735.75,740.58,729.61,737.2,733.7035,2665600
2024-04-30,775.0,795.5,767.66,781.1,777.3953,7437100
2024-05-01,774.76,782.61,768.25,776.75,773.0659,2802100
2024-05-02,777.34,777.34,754.29,755.91,752.3248,3205600
2024-05-03,743.0,745.0,730.34,734.97,731.4841,4595100
2024-05-06,738.04,766.99,736.0,766.68,763.0437,3398300
2024-05-07,768.9,779.09,762.11,777.77,774.0811,2879400
2024-05-08,779.1,781.35,772.2,775.0,771.3242,2089800
2024-05-09,777.0,784.0,769.2,771.55,767.8906,2522100
2024-05-10,774.02,777.42,760.0,760.0,756.3954,2082300
2024-05-13,763.5,763.55,750.53,757.7,754.1063,1848900
2024-05-14,751.52,764.5,751.52,763.98,760.3565,1956200
2024-05-15,764.15,787.66,763.1,787.02,784.6224,3038300
2024-05-16,784.71,786.48,770.14,771.12,768.7708,2299700
2024-05-17,772.89,774.87,767.1,770.0,767.6542,1670300
2024-05-20,766.9,784.33,766.12,783.18,780.7941,2188800
2024-05-21,792.46,816.61,791.39,803.17,800.7232,4334500
2024-05-22,801.0,804.88,795.25,802.91,800.4639,1767500
2024-05-23,810.0,820.61,802.16,808.45,805.9871,3025800
2024-05-24,808.0,810.12,804.15,807.43,804.9702,1774600
2024-05-28,809.0,809.0,788.25,807.86,805.3989,2483500
2024-05-29,803.0,815.61,802.09,811.53,809.0577,2380000
2024-05-30,812.79,819.99,806.11,815.06,812.5769,1986300
2024-05-31,818.8,826.21,811.1,820.34,817.8408,4472100
2024-06-03,823.83,838.28,818.5,831.26,828.7276,2537200
2024-06-04,834.0,835.47,825.31,832.59,830.0535,1748300
2024-06-05,830.49,838.45,817.62,831.76,829.2261,2169000
2024-06-06,834.88,846.97,831.88,837.29,834.7392,2109000
2024-06-07,837.76,856.81,837.01,849.99,847.4005,2468800
2024-06-10,853.98,871.63,849.39,865.0,862.3648,3444500
