date,open,high,low,close,adjusted_close,volume
2024-01-16,486.51,489.77,485.01,488.5,486.2184,510731
2024-01-17,489.49,494.76,485.35,485.82,483.551,618676
2024-01-18,483.83,494.7625,480.14,493.0,490.6974,789801
2024-01-19,493.24,494.3,484.27,484.6,482.3367,876770
2024-01-22,484.52,490.1282,483.32,487.32,485.0439,776981
2024-01-23,484.69,486.78,483.127,485.37,483.1031,582784
2024-01-24,485.69,488.01,484.25,485.0,482.7348,496532
2024-01-25,484.16,486.43,478.65,486.33,484.0586,742610
2024-01-26,487.1,487.96,484.03,485.27,483.0035,370758
2024-01-29,485.4,488.33,484.42,486.46,484.188,496928
2024-01-30,488.26,490.225,484.1,490.02,487.7313,590399
2024-01-31,494.74,507.21,494.74,499.89,497.5552,1073235
2024-02-01,497.62,503.8054,487.34,501.85,499.5061,733677
2024-02-02,503.78,508.09,502.03,504.45,502.0939,691495
2024-02-05,507.86,510.94,502.26,507.94,505.5676,633283
2024-02-06,511.08,515.575,504.39,506.87,504.5026,952397
2024-02-07,510.0,519.7499,509.01,516.98,514.5654,1465130
2024-02-08,505.01,510.725,488.29,494.23,491.9217,2289151
2024-02-09,497.26,504.31,494.5,501.35,499.0084,1083410
2024-02-12,500.0,500.4647,493.97,494.48,492.1705,579645
2024-02-13,496.0,507.03,496.0,504.77,502.4124,838738
2024-02-14,504.77,506.0318,494.82,501.2,498.8591,698233
2024-02-15,501.27,508.8,500.815,505.68,503.3182,720067
2024-02-16,507.93,512.48,506.41,511.06,508.6731,738962
2024-02-20,513.1,517.77,506.07,506.74,504.3732,650951
2024-02-21,509.09,509.09,502.78,507.42,505.0501,524092
2024-02-22,506.7,515.18,504.4001,510.3,507.9166,630311
2024-02-23,512.47,516.97,509.37,516.24,513.8289,687248
2024-02-26,520.69,522.82,518.5,519.2,516.7751,651896
2024-02-27,516.43,524.69,516.43,518.98,516.5561,623582
2024-02-28,520.39,524.02,517.0501,523.68,521.2341,475188
2024-02-29,522.86,524.6,519.17,521.41,519.5899,1421369
2024-03-01,523.51,531.24,522.74,525.88,524.0443,833267
2024-03-04,526.43,535.01,524.6481,534.18,532.3153,765422
2024-03-05,537.26,537.26,524.47,528.83,526.984,905122
2024-03-06,529.43,531.46,525.04,525.05,523.2172,713619
2024-03-07,528.41,529.42,520.94,528.48,526.6352,1004233
2024-03-08,525.09,528.46,523.5,527.41,525.5689,678791
2024-03-11,526.2,527.13,523.06,526.66,524.8216,591378
2024-03-12,527.4,531.45,523.54,531.24,529.3856,516514
2024-03-13,533.34,533.34,517.92,520.21,518.3941,854391
2024-03-14,521.0,530.9,519.4,529.36,527.5121,753236
2024-03-15,524.55,533.91,524.3624,533.64,531.7772,1365603
2024-03-18,532.44,536.68,528.56,529.71,527.8609,569613
2024-03-19,531.94,535.8944,529.61,534.34,532.4748,461544
2024-03-20,535.65,535.77,529.5,530.75,528.8973,400399
2024-03-21,530.0,535.085,526.67,534.18,532.3153,499491
2024-03-22,534.83,535.9,529.99,532.57,530.7109,426685
2024-03-25,533.32,534.32,531.5205,532.55,530.691,310513
2024-03-26,533.0,538.3,531.67,536.09,534.2186,538664
2024-03-27,538.35,539.99,531.26,539.26,537.3776,426489
2024-03-28,540.0,540.0,535.245,536.85,534.976,751796
2024-04-01,536.27,538.26,531.085,536.49,534.6172,540604
2024-04-02,532.65,536.93,531.057,533.27,531.4085,546259
2024-04-03,535.44,541.91,534.75,540.09,538.2047,472982
2024-04-04,542.65,543.0,533.67,534.79,532.9232,443774
2024-04-05,537.08,541.28,533.16,538.75,536.8694,312193
2024-04-08,535.02,537.26,531.02,532.23,530.3721,410731
2024-04-09,532.86,533.29,518.42,527.28,525.4394,572314
2024-04-10,529.52,538.0399,529.25,529.99,528.1399,452986
2024-04-11,530.51,530.51,522.65,523.37,521.543,486267
2024-04-12,521.5,527.99,521.5,523.01,521.1843,484479
2024-04-15,524.0,529.41,522.63,522.68,520.8555,372220
2024-04-16,528.67,531.21,525.57,528.35,526.5057,362609
2024-04-17,530.62,532.0,524.27,525.92,524.0841,538003
2024-04-18,528.42,528.42,514.88,518.81,516.999,631442
2024-04-19,520.01,525.83,517.01,524.83,522.9979,645525
2024-04-22,525.0,533.22,517.82,527.32,525.4793,893497
2024-04-23,528.69,532.86,527.89,532.0,530.1429,490789
2024-04-24,531.64,537.145,529.28,535.42,533.551,583497
2024-04-25,538.19,542.3,534.72,539.94,538.0552,635557
2024-04-26,537.99,544.81,534.68,543.3,541.4035,654669
2024-04-29,542.62,543.25,535.52,536.09,534.2186,1209237
2024-04-30,536.18,539.19,533.75,537.21,535.3347,795069
2024-05-01,532.3,535.095,518.27,531.1,529.2461,1170824
2024-05-02,529.65,533.8,524.89,530.27,528.419,823335
2024-05-03,530.0,530.0,520.49,528.86,527.0139,866981
2024-05-06,531.24,534.63,530.8,533.41,531.548,642678
2024-05-07,533.55,546.63,533.515,545.75,543.8449,984411
2024-05-08,552.31,566.005,538.615,543.61,541.7124,1378615
2024-05-09,543.89,556.46,543.89,555.12,553.1822,977354
2024-05-10,556.27,560.49,556.13,559.91,557.9555,636900
2024-05-13,558.7,563.36,553.58,554.61,552.674,683349
