date,open,high,low,close,adjusted_close,volume
2024-01-16,86.96,87.18,86.25,86.54,83.6823,5398300
2024-01-17,86.2,86.82,85.67,86.05,83.2085,6956000
2024-01-18,86.85,87.14,86.08,86.29,83.4406,7203600
2024-01-19,86.26,86.71,85.72,86.49,83.634,4819000
2024-01-22,86.59,87.37,86.28,86.47,83.6146,6015700
2024-01-23,86.86,87.36,85.61,86.34,83.4889,5060300
2024-01-24,86.18,86.32,84.67,84.72,81.9224,6035200
2024-01-25,85.26,85.83,84.6,85.79,82.9571,5557800
2024-01-26,86.19,86.6,85.63,86.54,83.6823,6784400
2024-01-29,86.3,87.48,86.13,87.44,84.5526,7144700
2024-01-30,87.46,87.56,86.51,86.97,84.0981,5760100
2024-01-31,88.29,89.18,87.52,87.54,84.6493,10357900
2024-02-01,87.36,88.54,86.7,88.09,85.1811,4320000
2024-02-02,87.46,88.14,87.06,87.63,84.7363,5051900
2024-02-05,87.58,87.78,86.74,86.75,83.8854,4083400
2024-02-06,87.08,87.84,86.87,87.74,84.8427,4667100
2024-02-07,88.05,88.25,87.04,87.16,84.2818,4740100
2024-02-08,86.55,86.76,85.39,86.18,83.3342,5938100
2024-02-09,86.08,86.16,84.46,84.99,82.1835,8843400
2024-02-12,84.63,85.33,84.38,85.07,82.2609,5892300
2024-02-13,84.57,85.0,83.13,83.59,80.8297,7579400
2024-02-14,83.67,84.35,83.24,83.68,80.9168,4934500
2024-02-15,83.83,85.01,83.76,84.72,81.9224,4867900
2024-02-16,84.49,85.74,84.11,84.42,81.6323,10847600
2024-02-20,86.96,87.22,82.59,85.85,83.0151,11771400
2024-02-21,86.53,86.53,84.84,85.9,83.0634,6877000
2024-02-22,85.77,85.87,84.48,85.06,82.2512,9824900
2024-02-23,85.33,85.95,84.86,85.67,82.841,4707700
2024-02-26,85.56,85.56,83.48,83.67,80.9071,5974100
2024-02-27,83.46,84.18,83.14,83.84,81.0715,4546200
2024-02-28,83.63,83.83,83.23,83.36,80.6073,4755300
2024-02-29,83.53,83.77,82.79,83.36,80.6073,8893100
2024-03-01,83.42,83.85,82.65,83.6,80.8394,4266600
2024-03-04,83.6,85.11,83.24,85.06,82.2512,5553000
2024-03-05,85.44,85.84,84.3,84.6,81.8064,5073700
2024-03-06,84.73,85.8,84.6,85.55,82.725,6048400
2024-03-07,86.0,86.43,84.68,85.15,82.3382,6177600
2024-03-08,85.48,86.27,84.92,85.13,82.3189,6561200
2024-03-11,84.54,85.63,84.54,85.5,82.6767,5539000
2024-03-12,85.15,86.09,84.9,85.74,82.9087,4562200
2024-03-13,86.01,86.35,84.79,85.08,82.2705,5908200
2024-03-14,84.52,84.71,83.99,84.39,81.6033,7836100
2024-03-15,83.44,84.01,82.82,83.57,80.8104,17081800
2024-03-18,83.8,84.06,83.34,83.66,80.8974,4783800
2024-03-19,83.69,84.15,83.3,84.11,81.3326,4903000
2024-03-20,83.75,84.18,83.54,84.04,81.2649,4191700
2024-03-21,83.57,83.99,83.09,83.41,81.3234,6233800
2024-03-22,83.7,83.86,82.93,83.08,81.0016,5181300
2024-03-25,82.81,83.4,82.72,83.24,81.1576,5481300
2024-03-26,83.5,83.87,83.05,83.7,81.6061,4806700
2024-03-27,84.19,87.03,84.1,86.92,84.7456,8220100
2024-03-28,87.1,87.73,86.93,87.15,84.9698,7579500
2024-04-01,86.84,87.18,86.43,87.02,84.8431,4727300
2024-04-02,86.86,86.91,84.95,85.2,83.0686,6007200
2024-04-03,85.47,85.73,84.73,85.0,82.8736,5887400
2024-04-04,85.34,85.4,83.75,83.92,81.8206,6797100
2024-04-05,83.44,84.68,83.1,84.56,82.4446,4935800
