date,open,high,low,close,adjusted_close,volume
2024-01-16,118.49,119.34,117.94,118.49,115.3418,6832300
2024-01-17,119.18,119.4,117.61,118.13,114.9914,5591400
2024-01-18,117.65,118.62,116.62,118.54,115.3905,10524700
2024-01-19,118.21,119.02,117.72,118.89,115.7312,7535300
2024-01-22,119.04,119.97,118.86,119.43,116.2568,8786200
2024-01-23,118.14,119.99,117.27,119.84,116.6559,6501400
2024-01-24,119.7,119.95,118.44,118.88,115.7214,5859900
2024-01-25,118.66,120.18,118.66,120.13,116.9382,6689800
2024-01-26,120.51,121.02,120.08,120.82,117.6099,8300300
2024-01-29,121.35,121.46,120.49,121.28,118.0577,9138200
2024-01-30,121.28,121.76,120.18,121.66,118.4276,7469500
2024-01-31,122.53,122.85,120.5,120.78,117.5709,10779000
2024-02-01,123.65,126.43,122.77,126.38,123.0222,11650700
2024-02-02,126.71,127.56,126.11,126.41,123.0514,10175100
2024-02-05,126.98,127.8,125.7,126.18,122.8275,8027700
2024-02-06,126.61,127.52,126.07,126.88,123.5089,6153000
2024-02-07,126.9,128.06,126.5,127.47,124.0832,6742800
2024-02-08,127.32,127.48,125.95,126.61,123.246,6308300
2024-02-09,126.22,126.69,125.04,125.45,122.1169,7891200
2024-02-12,125.0,125.48,124.4,125.34,122.0098,5257400
2024-02-13,125.98,126.86,124.48,125.43,122.0974,7273400
2024-02-14,125.61,126.03,124.82,125.82,122.477,6622400
2024-02-15,125.97,127.23,125.95,126.54,123.1779,5756700
2024-02-16,126.5,128.09,126.17,127.79,124.3947,6266500
2024-02-20,128.13,129.29,127.21,127.37,123.9859,6952800
2024-02-21,127.44,128.16,126.8,128.12,124.7159,4849200
2024-02-22,128.15,129.72,127.65,129.26,125.8256,6517400
2024-02-23,129.79,130.24,128.86,129.45,126.0106,5177400
2024-02-26,129.38,129.7,128.47,128.84,125.4168,5158400
2024-02-27,128.26,129.16,127.8,129.03,125.6017,4780200
2024-02-28,129.34,129.4,127.7,128.19,124.7841,5697200
2024-02-29,128.1,128.85,127.06,127.15,123.7717,11246100
2024-03-01,126.87,127.85,126.42,126.96,123.5867,6023400
2024-03-04,124.46,126.54,123.29,124.05,120.7541,12706200
2024-03-05,124.68,125.04,122.39,122.83,119.5665,8277800
2024-03-06,122.84,124.76,122.51,123.75,120.462,8251400
2024-03-07,123.36,124.53,122.82,123.99,120.6957,8982200
2024-03-08,123.23,124.04,122.06,123.5,120.2187,9822700
2024-03-11,124.65,124.65,121.84,122.77,119.5081,7769300
2024-03-12,123.0,123.21,121.43,122.66,119.401,11621800
2024-03-13,123.16,123.21,120.8,122.16,118.9143,9186000
2024-03-14,121.32,121.32,119.66,120.51,118.0522,10132500
2024-03-15,119.84,121.94,119.23,121.52,119.0416,46476800
2024-03-18,121.85,122.51,121.13,121.44,118.9633,8311900
2024-03-19,121.44,122.26,120.43,122.2,119.7078,11696600
2024-03-20,121.28,123.91,120.38,123.85,121.3241,9793200
2024-03-21,123.69,124.19,123.06,123.62,121.0988,8156300
2024-03-22,123.79,124.49,123.22,123.85,121.3241,7022500
2024-03-25,124.08,125.58,123.77,125.31,122.7543,7605800
