date,open,high,low,close,adjusted_close,volume
2024-01-16,104.31,104.31,97.52,102.16,102.16,5810000
2024-01-17,98.3,101.49,97.61,100.35,100.35,4580000
2024-01-18,100.01,100.01,96.65,99.07,99.07,3730000
2024-01-19,98.43,100.44,97.08,99.7,99.7,3730000
2024-01-22,100.25,102.97,98.6,99.7,99.7,3340000
2024-01-23,100.5,102.94,99.54,101.92,101.92,2810000
2024-01-24,103.2,104.27,101.01,101.11,101.11,2550000
2024-01-25,101.76,103.82,101.07,102.81,102.81,2660000
2024-01-26,103.55,103.9,101.01,101.81,101.81,2350000
2024-01-29,101.79,105.81,100.01,104.84,104.84,3450000
2024-01-30,103.51,104.0,101.9,102.47,102.47,2090000
2024-01-31,102.47,104.09,100.5,101.05,101.05,2530000
2024-02-01,100.9,101.0,97.17,99.02,99.02,3760000
2024-02-02,97.39,98.21,95.3,97.5,97.5,3350000
2024-02-05,96.7,96.95,94.17,95.49,95.49,2790000
2024-02-06,95.65,100.1,95.14,100.03,100.03,3050000
2024-02-07,100.15,100.24,97.86,99.3,99.3,2150000
2024-02-08,99.0,99.0,92.95,93.66,93.66,4916430
2024-02-09,93.36,93.36,86.41,87.41,87.41,7216500
2024-02-12,87.41,89.07,85.75,89.0,89.0,3991700
2024-02-13,86.81,88.3,84.06,85.37,85.37,4035100
2024-02-14,86.04,86.85,84.23,85.95,85.95,3572100
2024-02-15,86.13,92.08,84.8,91.14,91.14,4972800
2024-02-16,90.41,90.85,87.37,88.37,88.37,3706800
2024-02-20,87.36,89.54,86.48,86.99,86.99,3140300
2024-02-21,86.15,88.57,85.53,87.59,87.59,3760000
2024-02-22,91.865,101.73,91.06,99.44,99.44,11354500
2024-02-23,99.6,100.97,95.32,96.46,96.46,4525000
2024-02-26,93.68,94.79,91.46,94.02,94.02,4581000
2024-02-27,94.31,97.47,92.5,96.2,96.2,3086100
2024-02-28,95.0,99.27,94.34,97.48,97.48,2971900
2024-02-29,96.79,97.24,92.22,92.24,92.24,5324000
2024-03-01,92.52,96.88,92.11,95.06,95.06,3787800
2024-03-04,94.65,96.135,92.6,96.0,96.0,3474000
2024-03-05,94.65,96.17,93.35,95.56,95.56,2864800
2024-03-06,96.38,98.51,95.58,98.1,98.1,3327300
2024-03-07,99.1,99.92,96.515,99.48,99.48,3204700
2024-03-08,99.21,103.95,98.65,103.03,103.03,4325600
2024-03-11,103.44,114.25,102.75,111.98,111.98,9874400
2024-03-12,112.0,113.7,109.922,110.43,110.43,4180400
2024-03-13,110.43,112.65,105.99,106.51,106.51,5122000
2024-03-14,106.14,106.99,101.88,103.46,103.46,4635900
2024-03-15,103.17,104.725,100.94,103.85,103.85,5464000
2024-03-18,104.98,107.59,103.65,104.26,104.26,4034500
2024-03-19,103.9,105.55,102.64,105.11,105.11,3045300
2024-03-20,103.41,103.597,100.3,103.08,103.08,3424200
2024-03-21,104.5,106.38,102.55,104.09,104.09,2254600
2024-03-22,104.11,105.97,103.51,105.43,105.43,2036200
2024-03-25,106.0,110.75,105.9,110.38,110.38,3569400
2024-03-26,111.8,111.8,106.93,107.41,107.41,4151800
2024-03-27,109.58,111.125,105.04,110.59,110.59,4575200
2024-03-28,111.1,112.0,105.95,106.56,106.56,3960700
2024-04-01,106.29,106.65,103.55,105.6,105.6,2918200
2024-04-02,104.71,105.948,103.07,103.61,103.61,2603100
2024-04-03,103.0,105.15,97.0,101.21,101.21,5167800
2024-04-04,102.69,105.98,101.72,102.27,102.27,3088000
2024-04-05,101.76,103.82,101.05,102.88,102.88,2131800
2024-04-08,102.27,105.225,101.06,105.09,105.09,2060100
2024-04-09,105.9,115.89,105.78,111.6,111.6,8946000
2024-04-10,107.65,110.285,105.9,107.14,107.14,3537400
2024-04-11,107.56,108.6,103.68,107.01,107.01,3208700
2024-04-12,106.0,107.88,104.65,105.14,105.14,2410600
2024-04-15,105.02,106.2,102.3,103.86,103.86,2273800
2024-04-16,102.08,106.42,101.297,103.79,103.79,2163900
2024-04-17,105.14,105.14,102.27,103.44,103.44,2000300
2024-04-18,102.53,103.505,99.9,102.0,102.0,1798500
2024-04-19,102.37,103.795,100.45,101.41,101.41,2608200
2024-04-22,102.79,105.43,99.3,104.46,104.46,3176400
2024-04-23,104.46,108.21,103.48,107.89,107.89,2435300
2024-04-24,111.05,111.29,106.64,108.85,108.85,3410200
2024-04-25,107.43,108.23,103.52,106.18,106.18,2798500
2024-04-26,106.18,108.19,105.25,107.97,107.97,2247100
2024-04-29,108.78,112.33,108.72,111.62,111.62,2610700
2024-04-30,110.5,113.21,109.55,110.31,110.31,3212000
2024-05-01,111.11,113.73,109.0,111.46,111.46,3843000
2024-05-02,114.86,128.81,114.06,125.59,125.59,11973100
2024-05-03,125.0,126.4,122.01,125.0,125.0,4513100
2024-05-06,125.0,125.15,118.75,122.13,122.13,3953200
2024-05-07,122.86,123.5,118.68,121.07,121.07,2894000
2024-05-08,120.0,122.825,119.5,121.89,121.89,2507500
2024-05-09,123.15,125.5,121.68,122.69,122.69,3367400
2024-05-10,120.75,124.9,116.732,117.31,117.31,4238500
2024-05-13,119.47,126.88,119.03,125.67,125.67,4095200
2024-05-14,127.0,129.94,126.339,128.32,128.32,3625400
2024-05-15,127.49,129.2,124.98,129.06,129.06,2964700
2024-05-16,129.76,133.04,127.83,132.68,132.68,3008000
2024-05-17,132.52,134.6,129.67,132.9,132.9,2718200
2024-05-20,132.98,142.79,131.72,141.01,141.01,4711300
2024-05-21,139.47,143.87,138.104,143.69,143.69,3375900
2024-05-22,142.9,164.88,142.81,163.33,163.33,13592700
2024-05-23,160.0,165.14,157.46,164.01,164.01,7120700
2024-05-24,163.675,170.47,162.0,166.61,166.61,5045600
2024-05-28,161.64,164.725,148.5,153.2,153.2,6636500
2024-05-29,150.0,150.0,140.23,147.92,147.92,5505900
2024-05-30,150.35,152.79,143.52,151.49,151.49,4667800
