date,open,high,low,close,adjusted_close,volume
2024-01-16,1168.55,1187.95,1168.55,1183.98,1183.98,183686
2024-01-17,1173.8,1192.11,1150.0,1163.0,1163.0,204503
2024-01-18,1164.09,1187.8,1162.19,1185.0,1185.0,135091
2024-01-19,1188.69,1202.36,1174.65,1200.0,1200.0,153689
2024-01-22,1205.74,1219.22,1202.0,1219.16,1219.16,158480
2024-01-23,1229.37,1229.37,1202.108,1219.94,1219.94,135437
2024-01-24,1223.55,1232.56,1194.65,1204.81,1204.81,211541
2024-01-25,1218.0,1218.0,1198.395,1202.45,1202.45,176998
2024-01-26,1224.21,1237.98,1215.739,1217.47,1217.47,133080
2024-01-29,1217.75,1231.12,1212.315,1227.48,1227.48,108754
2024-01-30,1224.95,1239.18,1221.48,1237.5,1237.5,125655
2024-01-31,1240.09,1240.09,1193.89,1197.19,1197.19,123433
2024-02-01,1196.03,1224.21,1187.005,1224.0,1224.0,114021
2024-02-02,1213.46,1220.75,1193.43,1210.11,1210.11,108940
2024-02-05,1203.32,1205.45,1186.0,1186.97,1186.97,235101
2024-02-06,1185.98,1223.94,1185.98,1212.1,1212.1,149761
2024-02-07,1216.11,1218.195,1203.76,1213.23,1213.23,190647
2024-02-08,1212.98,1230.67,1207.54,1224.97,1224.97,214127
2024-02-09,1240.8,1240.8,1169.94,1174.51,1174.51,291051
2024-02-12,1181.53,1194.16,1169.41,1190.04,1190.04,142153
2024-02-13,1166.98,1180.0,1133.463,1157.56,1157.56,203566
2024-02-14,1174.23,1184.6,1165.38,1181.18,1181.18,129052
2024-02-15,1183.05,1200.71,1182.27,1192.7,1192.7,95100
2024-02-16,1189.21,1202.509,1186.78,1187.44,1187.44,80360
2024-02-20,1177.96,1196.57,1176.77,1184.37,1184.37,143968
2024-02-21,1177.3,1196.71,1177.3,1193.89,1193.89,93197
2024-02-22,1195.0,1200.545,1174.59,1192.78,1192.78,136878
2024-02-23,1200.4,1212.975,1200.4,1209.79,1209.79,67829
2024-02-26,1206.41,1215.0,1195.26,1195.26,1195.26,90227
2024-02-27,1205.24,1221.78,1200.08,1213.21,1213.21,104863
2024-02-28,1213.21,1252.46,1213.21,1243.57,1243.57,118807
2024-02-29,1246.98,1254.32,1236.095,1247.22,1247.22,186599
2024-03-01,1241.55,1271.295,1223.025,1267.98,1267.98,153329
2024-03-04,1268.0,1300.01,1262.935,1286.54,1286.54,165341
2024-03-05,1285.0,1298.61,1272.105,1286.9,1286.9,148989
2024-03-06,1295.49,1318.02,1295.49,1311.65,1311.65,124236
2024-03-07,1326.91,1359.98,1326.91,1350.46,1350.46,173277
2024-03-08,1356.01,1364.59,1313.61,1313.85,1313.85,119116
2024-03-11,1310.54,1321.69,1289.621,1297.97,1297.97,161914
2024-03-12,1300.0,1304.93,1288.19,1288.31,1288.31,128423
2024-03-13,1292.18,1310.97,1287.32,1305.65,1305.65,133987
2024-03-14,1297.76,1307.99,1288.45,1298.13,1298.13,115384
2024-03-15,1289.14,1331.86,1289.14,1324.45,1324.45,319912
2024-03-18,1324.45,1326.96,1304.66,1306.17,1306.17,131921
2024-03-19,1305.9,1315.0,1295.72,1302.65,1302.65,176602
2024-03-20,1300.01,1305.07,1287.1,1302.86,1302.86,92006
2024-03-21,1309.54,1345.94,1300.79,1338.64,1338.64,115554
2024-03-22,1343.74,1343.83,1308.8,1327.6,1327.6,120770
2024-03-25,1338.65,1338.65,1309.37,1320.0,1320.0,105208
2024-03-26,1320.08,1326.37,1308.8,1315.07,1315.07,107450
2024-03-27,1326.15,1339.62,1313.48,1335.84,1335.84,87569
2024-03-28,1340.77,1342.44,1331.27,1331.29,1331.29,94138
2024-04-01,1345.04,1345.04,1320.29,1341.2,1341.2,95212
2024-04-02,1324.93,1335.49,1313.94,1321.05,1321.05,116578
2024-04-03,1312.83,1345.825,1312.83,1330.77,1330.77,137090
2024-04-04,1330.0,1340.0,1283.67,1284.55,1284.55,144180
2024-04-05,1287.54,1303.195,1285.48,1300.84,1300.84,90855
2024-04-08,1302.48,1314.25,1300.74,1304.27,1304.27,89232
2024-04-09,1309.95,1338.15,1309.95,1336.6,1336.6,95722
2024-04-10,1305.11,1320.815,1300.13,1305.44,1305.44,83377
2024-04-11,1326.0,1326.0,1305.82,1311.49,1311.49,91422
2024-04-12,1298.0,1304.73,1251.0,1261.07,1261.07,124777
2024-04-15,1277.32,1277.32,1239.48,1243.56,1243.56,94632
2024-04-16,1242.72,1242.72,1223.51,1228.3,1228.3,105206
2024-04-17,1235.28,1235.28,1196.82,1198.03,1198.03,150807
2024-04-18,1175.0,1206.115,1142.91,1192.56,1192.56,166952
2024-04-19,1201.65,1202.3,1185.87,1188.54,1188.54,100804
2024-04-22,1195.94,1215.51,1186.76,1199.46,1199.46,83733
2024-04-23,1223.72,1247.53,1217.03,1241.32,1241.32,122561
2024-04-24,1234.94,1258.45,1227.92,1235.37,1235.37,157084
2024-04-25,1232.89,1236.505,1206.44,1232.91,1232.91,92019
2024-04-26,1230.67,1255.185,1221.32,1238.09,1238.09,94952
2024-04-29,1240.85,1258.49,1240.85,1255.24,1255.24,113344
2024-04-30,1243.8,1251.99,1229.38,1229.7,1229.7,100576
2024-05-01,1225.59,1271.9,1220.08,1249.75,1249.75,98747
2024-05-02,1255.2,1265.745,1226.06,1249.88,1249.88,108877
2024-05-03,1270.65,1272.9,1251.36,1251.95,1251.95,95337
2024-05-06,1245.39,1253.799,1223.22,1250.8,1250.8,202839
2024-05-07,1260.15,1267.91,1234.0,1247.74,1247.74,158677
2024-05-08,1249.83,1264.423,1246.685,1253.13,1253.13,139675
