date,open,high,low,close,adjusted_close,volume
2024-01-16,16.65,16.7751,16.335,16.59,15.6159,3200285
2024-01-17,16.36,16.52,15.74,15.9,14.9664,4123189
2024-01-18,15.99,16.16,15.475,15.69,14.7687,3806665
2024-01-19,15.65,15.73,15.33,15.5,14.5899,3302871
2024-01-22,15.6,15.98,15.52,15.69,14.7687,2649103
2024-01-23,15.85,16.31,15.735,16.27,15.3147,2544592
2024-01-24,16.39,16.6,16.27,16.42,15.4559,2314878
2024-01-25,16.66,16.85,16.47,16.84,15.8512,2269211
2024-01-26,16.8,17.015,16.6501,16.73,15.7477,2502996
2024-01-29,16.82,17.18,16.602,17.16,16.1524,2257974
2024-01-30,17.12,17.18,16.62,16.78,15.7947,1679152
2024-01-31,16.83,17.0801,16.65,16.65,15.6724,3032386
2024-02-01,16.75,17.3,16.5712,17.24,16.2277,1881520
2024-02-02,17.17,17.21,16.61,16.64,15.663,1961065
2024-02-05,16.6,16.63,16.02,16.04,15.0982,2070857
2024-02-06,16.1,17.14,16.0358,16.95,15.9548,2824163
2024-02-07,16.85,16.89,16.06,16.25,15.2959,2616249
2024-02-08,16.18,16.32,15.94,16.31,15.3523,2355425
2024-02-09,16.33,16.43,16.12,16.38,15.4182,2034973
2024-02-12,16.48,16.87,16.4699,16.83,15.8418,2255631
2024-02-13,16.53,16.54,15.84,16.12,15.1735,3396230
2024-02-14,16.28,16.44,15.93,16.36,15.3994,3559267
2024-02-15,17.85,19.08,17.65,18.62,17.5267,7744797
2024-02-16,18.56,18.985,18.35,18.71,17.6114,3397634
2024-02-20,18.75,18.93,18.38,18.49,17.4043,3370548
2024-02-21,18.7,18.97,18.255,18.53,17.442,3291605
2024-02-22,18.51,18.67,18.27,18.55,17.4608,2281630
2024-02-23,18.4,18.7,18.05,18.5,17.6806,2390817
2024-02-26,18.5,18.62,17.6247,17.65,16.8683,2898210
2024-02-27,17.75,18.265,17.61,18.04,17.241,1932366
2024-02-28,17.89,17.935,17.6561,17.83,17.0403,2550790
2024-02-29,17.88,17.95,17.385,17.41,16.6389,2782103
2024-03-01,17.5,17.6,17.25,17.56,16.7823,1549851
2024-03-04,17.6,17.68,17.29,17.39,16.6198,1773341
2024-03-05,17.38,17.87,17.34,17.75,16.9639,1530122
2024-03-06,17.95,18.035,17.735,17.97,17.1741,1656415
2024-03-07,18.1,18.48,18.0,18.23,17.4226,1405504
2024-03-08,18.27,18.525,18.15,18.45,17.6328,1558083
2024-03-11,18.35,18.74,18.27,18.34,17.5277,1811331
2024-03-12,18.31,18.48,18.25,18.27,17.4608,1675575
2024-03-13,18.36,18.61,18.23,18.55,17.7284,2799420
2024-03-14,18.26,18.63,18.03,18.36,17.5468,2264686
2024-03-15,18.06,18.38,18.06,18.28,17.4704,4317593
2024-03-18,18.31,18.31,17.5725,17.81,17.0212,3070042
2024-03-19,17.8,18.08,17.61,17.94,17.1454,2378684
