date,open,high,low,close,adjusted_close,volume
2024-01-16,28.6,28.72,28.22,28.32,26.6886,38825980
2024-01-17,28.16,28.53,27.93,28.15,26.5284,33312578
2024-01-18,28.04,28.13,27.6,28.09,26.4718,50321152
2024-01-19,28.03,28.38,27.93,28.28,26.6509,35549289
2024-01-22,28.32,28.62,27.93,28.31,26.6792,41663953
2024-01-23,28.44,28.65,28.15,28.43,26.7923,33466648
2024-01-24,28.54,28.775,28.33,28.33,26.698,42720738
2024-01-25,27.82,27.92,27.445,27.47,26.2771,47605551
2024-01-26,27.63,27.91,27.36,27.47,26.2771,47073762
2024-01-29,27.52,27.63,27.31,27.48,26.2867,67082719
2024-01-30,27.89,28.37,26.95,27.02,25.8467,86072430
2024-01-31,27.17,27.5103,26.78,27.08,25.9041,81192094
2024-02-01,27.1,27.325,26.73,27.29,26.1049,53882961
2024-02-02,27.18,27.2,26.69,26.93,25.7606,51718527
2024-02-05,26.94,26.94,26.52,26.57,25.4162,42633398
2024-02-06,26.66,27.725,26.57,27.5,26.3058,56994488
2024-02-07,27.55,27.65,27.295,27.56,26.3632,36843008
2024-02-08,27.56,27.69,27.41,27.57,26.3728,29048350
2024-02-09,27.56,27.59,27.38,27.56,26.3632,29062711
2024-02-12,27.54,28.02,27.52,27.66,26.4589,30323721
2024-02-13,27.54,27.83,26.86,26.97,25.7988,37927461
2024-02-14,27.01,27.17,26.91,27.11,25.9328,25270221
2024-02-15,27.25,27.805,27.22,27.51,26.3154,36111621
2024-02-16,27.55,27.89,27.21,27.62,26.4206,35935328
2024-02-20,27.61,28.14,27.52,27.59,26.3919,34232008
2024-02-21,27.6,27.675,27.355,27.67,26.4684,27370650
2024-02-22,27.59,27.695,27.185,27.55,26.3537,31957510
2024-02-23,27.75,28.086,27.69,27.76,26.5545,33182551
2024-02-26,27.67,27.67,27.07,27.18,25.9997,45685480
2024-02-27,27.12,27.2,26.81,26.89,25.7223,38598359
2024-02-28,26.96,27.235,26.82,27.04,25.8658,31010180
2024-02-29,27.07,27.19,26.55,26.56,25.4066,54643160
2024-03-01,26.825,26.9,26.51,26.59,25.4353,46392102
2024-03-04,26.3,26.46,25.61,25.89,24.7657,86777719
2024-03-05,25.87,26.42,25.69,26.08,24.9475,73646086
2024-03-06,26.9,27.3,26.785,27.19,26.0093,84919453
2024-03-07,27.2,27.32,26.76,26.79,25.6267,46423820
2024-03-08,26.88,27.3,26.85,27.22,26.038,45906633
2024-03-11,27.31,28.39,27.31,28.37,27.138,52600152
2024-03-12,28.31,28.34,27.76,28.01,26.7937,48758230
2024-03-13,28.29,28.69,28.19,28.22,26.9946,39272980
2024-03-14,28.25,28.28,27.77,28.13,26.9085,36427961
