date,open,high,low,close,adjusted_close,volume
2024-01-16,931.21,937.48,929.12,937.32,937.32,761400
2024-01-17,939.76,943.0,921.68,929.13,929.13,526700
2024-01-18,923.97,937.39,917.7,930.0,930.0,513600
2024-01-19,933.18,937.99,928.65,933.4,933.4,710800
2024-01-22,936.48,943.92,922.0,942.83,942.83,530600
2024-01-23,943.34,955.31,941.7,954.58,954.58,568200
2024-01-24,957.03,957.03,945.49,948.24,948.24,390500
2024-01-25,957.6,957.75,945.0,948.87,948.87,394000
2024-01-26,952.0,958.15,939.06,940.05,940.05,460500
2024-01-29,946.12,957.67,943.84,955.8,955.8,530000
2024-01-30,956.0,960.21,945.1,959.73,959.73,374700
2024-01-31,961.05,965.66,941.19,942.78,942.78,601900
2024-02-01,945.61,964.93,937.47,957.78,957.78,520500
2024-02-02,971.23,973.99,939.31,945.18,945.18,752000
2024-02-05,931.87,939.5,923.03,936.33,936.33,703800
2024-02-06,940.0,945.46,927.52,937.81,937.81,460400
2024-02-07,940.0,954.3,933.46,938.49,938.49,456400
2024-02-08,934.79,947.24,930.04,946.43,946.43,487600
2024-02-09,948.0,957.51,945.85,953.42,953.42,613800
2024-02-12,952.39,954.53,941.01,947.06,947.06,604200
2024-02-13,946.17,947.46,933.8,940.48,940.48,523800
2024-02-14,943.1,951.83,936.7,947.82,947.82,373500
2024-02-15,951.67,958.74,948.93,954.73,954.73,334300
2024-02-16,953.44,956.52,944.12,948.05,948.05,367400
2024-02-20,950.0,963.0,943.73,946.87,946.87,417700
2024-02-21,952.0,958.0,945.7,952.84,952.84,300500
2024-02-22,953.57,973.0,947.85,964.89,964.89,614700
2024-02-23,975.0,985.64,969.15,981.2,981.2,439600
2024-02-26,977.55,995.97,975.0,989.28,989.28,541200
2024-02-27,989.0,995.41,975.22,993.35,993.35,464200
2024-02-28,995.0,998.33,987.61,987.61,987.61,486000
2024-02-29,989.91,990.3,965.16,966.09,966.09,792200
2024-03-01,967.5,988.13,966.09,982.82,982.82,370500
2024-03-04,982.82,985.21,966.22,971.19,971.19,455600
2024-03-05,972.72,977.67,953.29,965.21,965.21,397500
2024-03-06,959.23,974.18,955.56,972.1,972.1,366800
2024-03-07,971.13,979.25,969.88,973.31,973.31,380500
2024-03-08,973.34,976.0,962.82,968.83,968.83,354400
2024-03-11,971.09,979.8,960.44,964.44,964.44,355600
2024-03-12,964.44,975.93,963.0,970.57,970.57,359000
2024-03-13,979.82,979.82,963.83,965.47,965.47,386200
2024-03-14,966.3,969.18,950.97,959.04,959.04,507300
2024-03-15,956.47,968.51,953.72,964.47,964.47,1090500
2024-03-18,970.0,970.71,959.49,959.92,959.92,360200
2024-03-19,965.11,969.16,959.14,963.66,963.66,365300
2024-03-20,959.06,967.2,947.37,966.96,966.96,579300
2024-03-21,974.75,979.26,968.0,968.01,968.01,435100
2024-03-22,973.0,977.39,966.47,967.24,967.24,274400
2024-03-25,954.01,964.98,952.47,961.09,961.09,322300
2024-03-26,961.99,966.68,957.78,963.55,963.55,386800
2024-03-27,971.04,976.75,962.41,966.3,966.3,314800
2024-03-28,970.38,970.79,959.25,962.49,962.49,461800
2024-04-01,964.73,970.2,954.09,969.31,969.31,360600
2024-04-02,961.44,961.44,951.02,954.68,954.68,438100
2024-04-03,955.0,961.68,950.43,950.95,950.95,413200
2024-04-04,962.2,962.2,935.36,937.02,937.02,410800
2024-04-05,939.31,949.83,934.87,942.7,942.7,363500
2024-04-08,939.16,942.99,935.51,938.48,938.48,330900
2024-04-09,941.39,949.2,938.0,943.89,943.89,305700
2024-04-10,935.02,937.87,923.44,936.2,936.2,389700
2024-04-11,928.58,930.64,907.33,920.32,920.32,617100
2024-04-12,911.55,912.22,898.26,904.7,904.7,665300
