date,open,high,low,close,adjusted_close,volume
2024-01-16,171.71,172.03,169.24,170.21,168.6359,1109398
2024-01-17,171.46,171.57,168.29,170.71,169.1313,752412
2024-01-18,171.78,173.36,170.39,172.76,171.1623,918253
2024-01-19,173.37,173.37,170.475,172.54,170.9444,615397
2024-01-22,174.0,179.1,173.975,176.82,175.1848,844622
2024-01-23,177.32,178.53,173.33,174.97,173.3519,592269
2024-01-24,175.47,177.77,171.66,171.78,170.1914,1293324
2024-01-25,189.56,190.04,181.1,186.35,184.6266,2473154
2024-01-26,187.98,195.7363,187.0,190.15,188.3915,2336926
2024-01-29,189.95,197.85,188.5,191.23,189.4615,1626012
2024-01-30,190.8,192.34,189.68,191.38,189.6101,730466
2024-01-31,192.31,193.04,189.76,190.2,188.441,767779
2024-02-01,190.44,193.83,189.8,193.66,191.869,823528
2024-02-02,191.98,193.27,190.8921,191.86,190.0857,617554
2024-02-05,191.2,192.44,190.09,190.11,188.3519,815932
2024-02-06,190.29,192.64,186.07,190.72,188.9562,1303531
2024-02-07,190.35,190.51,186.52,186.59,185.3309,979889
2024-02-08,185.68,186.07,181.74,183.75,182.51,897067
2024-02-09,184.84,185.95,182.27,184.63,183.3841,747704
2024-02-12,179.87,184.0,179.72,182.52,181.2883,881764
2024-02-13,179.65,181.62,178.49,179.17,177.9609,731277
2024-02-14,179.55,180.9839,178.735,180.55,179.3316,468402
2024-02-15,182.47,184.24,180.31,182.61,181.3777,604174
2024-02-16,181.63,183.8775,180.18,180.46,179.2422,666843
2024-02-20,180.46,181.05,179.18,180.66,179.4409,660341
2024-02-21,180.5,180.83,178.64,180.29,179.0734,620140
2024-02-22,180.26,183.505,179.01,183.1,181.8644,706189
2024-02-23,183.1,185.8,183.1,184.04,182.7981,675521
2024-02-26,184.04,185.38,181.7,183.29,182.0531,965448
2024-02-27,183.15,184.095,180.96,180.99,179.7686,666918
2024-02-28,180.99,181.16,171.99,173.96,172.7861,1410243
2024-02-29,174.43,174.7399,171.67,173.72,172.5477,1613284
2024-03-01,173.25,175.795,170.56,174.61,173.4317,819794
2024-03-04,176.2,181.18,175.21,180.72,179.5005,1077709
2024-03-05,181.18,181.18,176.32,177.63,176.4313,659427
2024-03-06,178.98,184.355,178.92,184.28,183.0364,1030883
2024-03-07,190.0,194.26,188.91,192.6,191.3003,1447316
2024-03-08,192.0,194.79,185.97,188.44,187.1684,980941
2024-03-11,185.55,189.87,184.38,189.75,188.4695,1332381
2024-03-12,189.25,194.7095,188.79,193.78,192.4723,1390721
2024-03-13,193.68,194.23,191.685,192.47,191.1712,930409
2024-03-14,192.47,194.37,190.45,191.75,190.456,1533754
2024-03-15,188.84,190.41,187.84,190.05,188.7675,1438168
2024-03-18,191.04,192.04,190.17,190.96,189.6714,860765
2024-03-19,190.9,193.08,190.2,193.02,191.7175,1022485
2024-03-20,191.69,193.02,190.18,192.38,191.0818,1205396
2024-03-21,193.45,194.39,192.36,193.73,192.4227,1109771
2024-03-22,193.6,193.82,191.12,192.0,190.7043,1130264
2024-03-25,192.5,194.59,191.82,193.31,192.0055,1836891
2024-03-26,193.5,195.66,192.99,194.18,192.8696,1108903
2024-03-27,195.49,196.75,194.21,196.33,195.0051,567412
