date,open,high,low,close,adjusted_close,volume
2024-01-16,221.83,222.41,220.0,221.27,219.1674,284204
2024-01-17,220.0,221.86,218.7,218.88,216.8001,257796
2024-01-18,219.24,220.71,217.32,220.47,218.375,313826
2024-01-19,221.1,221.62,217.08,221.43,219.3259,452161
2024-01-22,222.31,223.22,219.72,220.06,217.9689,428487
2024-01-23,220.91,220.91,215.27,216.78,214.7201,426300
2024-01-24,217.09,217.35,214.73,214.85,212.8084,289190
2024-01-25,216.74,217.6599,213.91,216.68,214.621,300195
2024-01-26,217.92,218.0,215.165,216.09,214.0366,251643
2024-01-29,215.05,217.07,214.23,216.69,214.6309,357593
2024-01-30,216.3,218.46,215.53,218.17,216.0969,328522
2024-01-31,221.16,224.31,218.475,218.95,216.8695,890603
2024-02-01,218.6,223.69,216.5,223.61,221.4852,570428
2024-02-02,221.72,224.36,219.96,222.19,220.0787,441906
2024-02-05,221.05,221.69,218.66,219.9,217.8104,362601
2024-02-06,220.69,226.285,219.31,225.92,223.7732,621875
2024-02-07,226.63,229.395,225.32,225.87,223.7237,976094
2024-02-08,218.0,220.995,210.0,220.26,218.167,734285
2024-02-09,220.77,224.58,218.97,224.27,222.1389,607917
2024-02-12,224.59,226.295,223.785,224.94,222.8025,416881
2024-02-13,223.5,225.725,222.23,224.52,222.3865,488370
2024-02-14,224.82,227.633,223.715,227.61,225.4472,346239
2024-02-15,228.4,233.48,228.2101,233.05,230.8355,453045
2024-02-16,232.75,235.22,230.96,231.23,229.0328,442753
2024-02-20,231.51,231.99,227.8,229.25,227.0716,396241
2024-02-21,229.2,233.45,228.25,232.85,230.6374,349086
2024-02-22,233.15,236.4,231.0486,236.03,234.3104,369602
2024-02-23,236.85,238.51,234.72,235.85,234.1317,279679
2024-02-26,235.21,235.46,232.79,233.71,232.0073,210753
2024-02-27,233.58,233.82,231.185,232.52,230.826,282219
2024-02-28,232.52,232.75,230.155,231.34,229.6546,284627
2024-02-29,231.88,233.495,229.27,232.91,231.2131,866512
2024-03-01,233.44,234.875,232.005,232.77,231.0742,357989
2024-03-04,232.28,234.085,231.135,233.27,231.5705,274560
2024-03-05,233.48,234.38,227.83,228.38,226.7161,287584
2024-03-06,228.48,230.505,227.76,229.08,227.411,292552
2024-03-07,230.87,233.59,229.975,233.02,231.3223,369069
2024-03-08,231.92,235.04,231.92,233.7,231.9974,260568
2024-03-11,233.46,234.55,231.12,233.84,232.1364,322378
2024-03-12,233.48,234.85,232.6,233.81,232.1066,363501
2024-03-13,234.47,234.68,232.91,233.79,232.0867,412238
2024-03-14,232.33,232.9385,230.51,231.56,229.873,341641
2024-03-15,226.92,231.98,226.92,230.05,228.374,603500
2024-03-18,231.66,232.5525,229.83,230.0,228.3243,353781
2024-03-19,230.75,231.55,229.1,230.14,228.4633,240900
2024-03-20,229.81,233.455,229.81,233.27,231.5705,431782
2024-03-21,233.6,235.0,226.93,227.09,225.4355,524259
2024-03-22,226.89,229.195,225.4879,229.0,227.3316,623932
2024-03-25,228.87,228.93,220.21,220.67,219.0623,696551
2024-03-26,221.38,222.87,219.5,221.52,219.9061,509847
2024-03-27,223.13,225.96,223.06,225.52,223.877,467410
2024-03-28,225.85,226.57,223.54,224.82,223.1821,497538
2024-04-01,224.0,224.46,218.595,221.03,219.4197,316950
2024-04-02,220.11,220.71,215.73,216.27,214.6944,415926
2024-04-03,216.49,218.45,215.7,216.65,215.0716,452494
2024-04-04,218.11,218.11,213.01,213.4,211.8453,455127
2024-04-05,213.67,215.14,212.96,213.48,211.9247,434668
2024-04-08,213.23,215.12,212.59,212.65,211.1007,616334
2024-04-09,213.39,214.945,212.04,214.72,213.1557,598491
2024-04-10,211.5,212.75,208.16,209.21,207.6858,579533
2024-04-11,211.05,211.05,206.15,206.28,204.7772,850480
2024-04-12,204.37,206.08,203.335,204.0,202.5138,678625
2024-04-15,206.12,207.855,200.93,201.21,199.7441,847866
2024-04-16,200.99,200.99,198.4,199.01,197.5601,784627
2024-04-17,199.32,201.67,197.82,200.24,198.7812,1115554
2024-04-18,200.64,201.74,198.22,200.81,199.347,658479
2024-04-19,201.73,201.73,197.8401,199.51,198.0565,535935
2024-04-22,200.72,202.0,198.13,200.9,199.4364,369710
2024-04-23,201.85,208.02,201.0,205.99,204.4893,561633
2024-04-24,204.69,205.0975,202.44,202.8,201.3225,492086
2024-04-25,202.11,202.21,200.41,201.54,200.0717,411721
2024-04-26,201.28,204.64,200.45,203.9,202.4145,318142
