date,open,high,low,close,adjusted_close,volume
2024-01-16,310.91,314.435,309.6,314.29,311.4173,1599848
2024-01-17,312.79,315.06,311.54,313.68,310.8129,1466646
2024-01-18,315.85,317.82,312.84,314.72,311.8434,1472733
2024-01-19,315.08,315.82,312.45,315.05,312.1704,1905221
2024-01-22,316.77,317.205,312.63,313.27,310.4066,1868477
2024-01-23,314.0,314.545,307.515,312.18,309.3266,1366834
2024-01-24,312.02,313.0,307.35,307.75,304.9371,1420624
2024-01-25,309.07,312.09,307.23,311.91,309.0591,1200769
2024-01-26,313.25,313.72,310.6,311.36,308.5141,907428
2024-01-29,310.74,314.94,310.74,314.5,311.6254,1427338
2024-01-30,315.15,317.12,314.05,316.64,313.7458,2006408
2024-01-31,339.0,342.8,333.7001,335.48,332.4136,4931979
2024-02-01,335.57,341.89,333.92,340.56,337.4472,2004473
2024-02-02,341.0,342.88,338.63,342.05,338.9236,1159607
2024-02-05,342.45,346.59,340.68,342.91,339.7757,1539813
2024-02-06,344.49,344.94,338.9,339.77,336.6644,1314403
2024-02-07,340.74,344.25,338.23,342.72,339.5874,823892
2024-02-08,340.72,341.91,337.08,339.03,335.9312,1445668
2024-02-09,338.86,344.33,337.632,341.96,338.8344,1402296
2024-02-12,343.73,343.98,339.86,341.09,337.9723,844995
2024-02-13,339.9,341.45,336.3,339.8,336.6941,1548093
2024-02-14,341.29,349.68,340.16,349.42,346.2262,1904493
2024-02-15,351.08,352.56,345.9,348.79,345.602,1516125
2024-02-16,349.65,352.88,348.02,349.3,346.1073,1343074
2024-02-20,351.7,351.96,347.39,348.07,344.8885,1161919
2024-02-21,348.89,350.27,346.0442,347.56,344.3832,1177604
2024-02-22,350.0,354.82,348.69,353.15,349.9221,1326921
2024-02-23,353.6,357.4,352.37,355.03,351.7849,691466
2024-02-26,355.35,356.61,351.7,352.46,349.2384,1224144
2024-02-27,351.32,354.329,350.6,352.21,348.9907,903902
2024-02-28,351.61,352.2489,348.54,351.8,348.5844,1289404
2024-02-29,352.39,353.77,347.265,349.07,345.8794,2283350
2024-03-01,348.82,354.54,347.0786,353.22,349.9915,1400458
2024-03-04,353.0,356.843,352.1,355.85,352.5974,714110
2024-03-05,357.01,357.68,349.91,352.39,349.1691,840014
2024-03-06,353.0,357.01,352.695,355.0,351.7552,892326
2024-03-07,357.46,359.78,355.67,357.62,354.3513,804147
2024-03-08,357.12,360.28,355.64,357.87,354.599,871271
2024-03-11,357.87,361.41,354.37,355.59,352.3398,1119991
2024-03-12,355.17,360.33,353.76,358.39,355.1142,737022
2024-03-13,359.63,359.645,355.8,356.89,353.6279,1105232
2024-03-14,356.56,358.22,353.16,355.64,352.3893,961235
2024-03-15,353.37,354.23,350.79,352.23,349.0105,2075224
2024-03-18,354.02,355.92,352.62,354.08,350.8436,953753
2024-03-19,354.95,356.98,353.56,356.89,353.6279,1052135
2024-03-20,356.91,356.91,351.52,353.19,349.9617,1179231
2024-03-21,353.96,354.8665,351.0,353.51,350.2788,1537654
2024-03-22,353.41,354.95,348.805,352.62,349.397,1105369
2024-03-25,353.25,354.24,349.845,351.03,347.8215,792529
2024-03-26,351.17,352.99,350.0,350.38,347.1774,785798
2024-03-27,351.99,359.08,351.89,358.71,356.2447,1404675
