date,open,high,low,close,adjusted_close,volume
2024-01-16,71.15,72.46,70.7,71.43,71.1232,1100492
2024-01-17,70.41,71.34,69.3,69.84,69.54,966058
2024-01-18,69.99,70.235,69.27,69.86,69.56,914194
2024-01-19,70.24,70.7089,68.43,70.32,70.018,2113911
2024-01-22,70.94,72.61,70.36,72.02,71.7107,660079
2024-01-23,72.43,72.65,70.97,72.48,72.1687,534771
2024-01-24,72.98,73.41,70.84,71.06,70.7548,565477
2024-01-25,72.23,72.23,70.53,71.12,70.8145,560904
2024-01-26,72.6,73.75,72.4,72.63,72.3181,1070572
2024-01-29,72.19,73.09,71.47,72.78,72.4674,1080548
2024-01-30,72.86,74.0,72.47,72.71,72.3977,1131170
2024-01-31,72.71,72.715,70.07,70.32,70.018,1434429
2024-02-01,67.1,69.45,65.22,68.54,68.2456,2507046
2024-02-02,66.68,67.78,64.965,65.98,65.6966,1745415
2024-02-05,65.91,68.0065,65.35,66.77,66.4832,1945982
2024-02-06,66.67,67.6,65.9415,67.37,67.0807,1017782
2024-02-07,67.77,67.8,66.0,66.36,66.075,942504
2024-02-08,66.69,68.29,66.36,67.98,67.688,971437
2024-02-09,67.9,68.19,66.79,67.95,67.7379,908290
2024-02-12,68.1,70.265,67.28,69.95,69.7316,1277511
2024-02-13,68.2,68.84,66.35,67.52,67.3092,1029930
2024-02-14,68.41,70.22,67.63,70.12,69.9011,1036506
2024-02-15,70.5,71.96,70.38,71.26,71.0375,1109678
2024-02-16,70.59,72.82,70.09,71.61,71.3864,1048576
2024-02-20,70.35,70.77,69.91,70.33,70.1104,632240
2024-02-21,70.0,71.985,69.6216,71.72,71.4961,1373852
2024-02-22,71.65,72.55,70.98,71.76,71.536,801031
2024-02-23,72.07,72.57,71.1558,71.62,71.3964,479577
2024-02-26,71.77,72.19,71.15,71.91,71.6855,581214
2024-02-27,72.16,73.405,71.57,73.21,72.9815,1156003
2024-02-28,72.72,74.43,72.55,74.39,74.1578,1191471
2024-02-29,75.0,75.6,73.54,73.57,73.3403,1241420
2024-03-01,73.48,74.575,72.1,74.38,74.1478,1117214
2024-03-04,74.39,75.07,73.67,74.88,74.6462,707228
2024-03-05,74.36,74.99,72.9,73.4,73.1709,769362
2024-03-06,73.43,76.055,71.64,74.68,74.4469,1212667
2024-03-07,75.08,77.34,74.98,76.94,76.6998,1418178
2024-03-08,77.18,78.745,76.88,77.09,76.8493,1513113
2024-03-11,76.78,77.41,74.695,75.13,74.8955,1192602
2024-03-12,75.07,75.67,73.22,74.12,73.8886,1105193
2024-03-13,74.0,74.6815,72.01,72.49,72.2637,995750
2024-03-14,72.19,72.39,69.7,71.22,70.9977,1380383
2024-03-15,70.11,72.84,70.11,72.52,72.2936,1749508
2024-03-18,72.48,72.87,71.04,71.88,71.6556,1004049
2024-03-19,71.88,72.405,70.04,70.76,70.5391,1041638
2024-03-20,70.84,71.95,70.725,71.88,71.6556,1190446
2024-03-21,72.75,72.775,71.81,72.33,72.1042,821923
2024-03-22,72.38,72.455,70.65,71.5,71.2768,975518
2024-03-25,71.73,71.75,69.08,69.22,69.0039,1136284
2024-03-26,69.36,69.485,68.295,68.4,68.1865,1465106
2024-03-27,69.08,69.79,68.0,69.42,69.2033,971586
2024-03-28,69.89,70.765,69.28,70.39,70.1703,1179959
2024-04-01,70.75,70.82,68.61,69.41,69.1933,772939
2024-04-02,68.9,68.98,67.34,68.76,68.5453,689314
2024-04-03,68.29,68.88,67.41,67.87,67.6581,810475
2024-04-04,68.49,68.87,66.77,67.05,66.8407,858803
2024-04-05,67.02,68.36,66.85,66.99,66.7809,1053192
2024-04-08,67.26,68.86,66.74,68.22,68.007,1008251
2024-04-09,68.76,71.27,68.73,71.23,71.0076,1175061
2024-04-10,69.58,70.17,69.245,69.51,69.293,843726
2024-04-11,70.68,70.825,68.74,68.81,68.5952,1100965
2024-04-12,68.09,68.52,66.28,66.73,66.5217,703423
2024-04-15,67.26,67.46,65.1,65.52,65.3155,735418
2024-04-16,65.29,65.29,63.645,64.01,63.8102,1616348
2024-04-17,64.54,64.81,62.7,62.73,62.5342,902987
2024-04-18,61.61,62.43,61.16,62.21,62.0158,1174667
2024-04-19,62.45,62.96,61.94,62.12,61.9261,909608
2024-04-22,62.54,63.39,61.815,62.8,62.604,829547
2024-04-23,64.0,64.585,63.56,63.69,63.4912,1217190
2024-04-24,63.22,63.945,62.61,63.52,63.3217,984815
2024-04-25,63.21,63.31,61.79,62.66,62.4644,965762
2024-04-26,62.83,64.36,62.4,64.06,63.86,973784
2024-04-29,64.39,66.63,64.284,64.51,64.3086,1604634
2024-04-30,63.83,64.78,63.16,63.21,63.0127,1329624
2024-05-01,70.54,76.68,70.012,73.46,73.2307,3117232
2024-05-02,74.45,76.31,73.08,75.6,75.364,2255997
2024-05-03,76.89,77.98,76.18,77.29,77.0487,1509857
2024-05-06,77.48,77.7199,75.2,76.06,75.8226,1090356
2024-05-07,76.87,77.59,75.85,77.46,77.2182,1007595
2024-05-08,77.53,77.7,76.565,77.05,76.8095,838284
2024-05-09,77.24,79.79,76.61,79.63,79.3814,816087
2024-05-10,79.61,81.09,79.47,80.91,80.7385,1463839
2024-05-13,82.14,82.75,80.55,81.97,81.7963,1418015
2024-05-14,82.41,84.47,82.065,84.15,83.9717,926909
2024-05-15,84.94,85.57,83.0,83.5,83.323,1149196
2024-05-16,83.15,83.82,82.32,82.84,82.6644,1389946
2024-05-17,82.98,84.61,82.19,83.805,83.6274,1379971
2024-05-20,83.23,84.22,82.38,82.5,82.3252,1006916
2024-05-21,82.42,83.4,80.83,82.68,82.5048,840134
2024-05-22,80.97,83.28,80.29,82.98,82.8041,696296
