date,open,high,low,close,adjusted_close,volume
2024-01-16,246.88,247.105,243.33,245.91,244.3409,254470
2024-01-17,243.13,245.66,242.52,244.94,243.3771,226606
2024-01-18,246.21,246.62,243.0,246.38,244.8079,147145
2024-01-19,246.92,249.84,243.5984,246.83,245.255,249715
2024-01-22,247.62,253.5,247.31,252.58,250.9683,391611
2024-01-23,254.12,254.9999,246.0,247.9,246.3182,162307
2024-01-24,248.35,249.645,241.44,241.96,240.4161,156129
2024-01-25,245.78,245.78,242.83,244.88,243.3175,168368
2024-01-26,246.97,246.97,242.0,244.45,242.8902,149691
2024-01-29,243.33,247.385,243.33,247.02,245.4438,127316
2024-01-30,245.58,247.87,244.54,244.85,243.2877,130833
2024-01-31,247.06,248.59,242.65,242.83,241.2806,246251
2024-02-01,242.26,248.34,239.15,247.65,246.0698,174478
2024-02-02,245.57,247.03,242.785,245.74,244.172,178810
2024-02-05,243.06,246.11,243.06,244.1,242.5425,140377
2024-02-06,244.71,252.84,243.96,252.25,250.6404,202903
2024-02-07,252.3,253.75,249.965,250.89,249.2891,182744
2024-02-08,249.33,251.46,246.71,251.32,249.7164,112229
2024-02-09,250.24,252.3,248.5893,252.04,250.4318,148177
2024-02-12,252.77,253.46,251.62,252.73,251.1174,102279
2024-02-13,247.77,250.73,245.64,247.95,246.3679,173708
2024-02-14,249.58,250.08,245.835,249.07,247.4807,142041
2024-02-15,251.18,255.23,251.0,255.05,253.4226,167196
2024-02-16,254.23,256.85,250.36,251.07,249.468,218349
2024-02-20,250.02,253.06,247.45,250.95,249.3487,284463
2024-02-21,251.36,252.56,246.985,250.95,249.3487,499574
2024-02-22,243.005,245.94,236.745,237.7,236.1833,785669
2024-02-23,238.98,242.25,235.15,237.75,236.233,512233
2024-02-26,236.72,236.88,227.16,227.84,226.3862,684604
2024-02-27,227.85,228.415,225.865,226.04,224.5977,381698
2024-02-28,225.27,227.45,224.45,224.79,223.3557,302490
2024-02-29,225.09,225.55,221.56,222.79,221.7038,405653
2024-03-01,220.27,224.65,218.0,223.0,221.9127,240129
2024-03-04,221.63,225.42,220.55,225.0,223.903,198518
2024-03-05,223.96,226.035,221.22,223.28,222.1914,296666
2024-03-06,223.89,225.9999,222.81,224.51,223.4154,274923
2024-03-07,226.34,230.105,224.985,228.88,227.7641,390799
2024-03-08,228.39,231.37,224.12,224.4,223.3059,305175
2024-03-11,223.72,227.51,222.44,227.11,226.0027,239576
2024-03-12,226.04,227.48,224.58,226.56,225.4554,173005
2024-03-13,226.67,227.78,221.57,222.17,221.0868,196857
2024-03-14,220.09,220.655,216.68,218.21,217.1461,228612
2024-03-15,215.32,217.12,214.14,215.39,214.3398,508439
2024-03-18,217.35,218.815,213.48,216.47,215.4146,225124
2024-03-19,216.81,219.63,215.21,218.07,217.0068,377153
2024-03-20,216.93,221.155,216.53,220.48,219.405,178826
2024-03-21,221.84,224.75,220.81,224.39,223.296,312199
2024-03-22,225.0,225.0,219.41,220.94,219.8628,198915
2024-03-25,220.59,221.91,218.91,219.65,218.5791,287982
2024-03-26,220.53,220.6308,215.92,216.39,215.335,360930
2024-03-27,218.25,224.08,217.925,223.87,222.7785,306770
2024-03-28,223.86,227.65,222.905,226.17,225.0673,288953
2024-04-01,225.8,227.06,220.785,222.88,221.7933,195877
2024-04-02,221.4,221.4,216.51,217.39,216.3301,428466
2024-04-03,216.73,217.99,214.59,214.74,213.693,328815
2024-04-04,216.77,216.77,211.54,211.89,210.8569,333552
2024-04-05,211.08,217.86,210.535,216.77,215.7131,304373
2024-04-08,217.43,220.23,215.9483,216.9,215.8425,245228
2024-04-09,217.52,223.94,215.69,223.79,222.6989,228255
2024-04-10,219.35,220.36,216.27,218.24,217.1759,161154
2024-04-11,220.9,220.91,216.235,217.42,216.3599,178015
2024-04-12,215.27,216.18,212.79,214.44,213.3945,189485
2024-04-15,216.22,216.345,209.86,210.66,209.6329,288334
2024-04-16,210.26,213.23,207.7908,210.1,209.0756,202561
2024-04-17,210.67,210.67,207.09,208.3,207.2844,170359
2024-04-18,208.74,209.935,206.75,207.38,206.3689,154319
2024-04-19,208.67,208.9,205.26,206.56,205.5529,416411
2024-04-22,208.17,209.28,205.5474,207.27,206.2594,329746
2024-04-23,208.31,212.56,207.51,211.11,210.0807,284357
2024-04-24,209.74,212.495,209.74,211.17,210.1404,201415
2024-04-25,209.52,209.52,205.39,206.71,205.7022,345088
2024-04-26,206.84,208.56,206.36,206.71,205.7022,433169
2024-04-29,207.59,210.135,207.33,208.48,207.4635,502328
2024-04-30,206.68,209.52,205.455,208.75,207.7322,489548
2024-05-01,207.79,213.275,207.135,211.54,210.5086,620701
2024-05-02,208.46,213.41,198.205,198.73,197.7611,706549
2024-05-03,201.19,206.515,199.12,203.01,202.0202,604098
2024-05-06,204.93,205.035,199.29,200.96,199.9802,551439
2024-05-07,201.72,203.785,201.19,201.52,200.5375,462601
2024-05-08,200.0,201.335,197.99,200.45,199.4727,460885
2024-05-09,201.4,205.38,199.76,204.7,203.702,407774
2024-05-10,204.57,206.69,203.28,203.93,202.9357,316507
2024-05-13,204.52,207.805,203.38,207.32,206.3092,457341
2024-05-14,208.92,213.92,208.39,212.62,211.9309,470457
2024-05-15,214.7,220.27,214.2,219.79,219.0777,489886
2024-05-16,214.0,219.56,212.31,218.57,217.8616,1238765
2024-05-17,219.48,219.48,214.8,217.64,216.9346,392913
2024-05-20,217.43,217.43,213.85,214.59,213.8945,527455
2024-05-21,213.85,215.0215,212.66,212.99,212.2997,637044
2024-05-22,212.86,214.47,212.575,213.09,212.3994,283091
2024-05-23,211.96,211.96,205.83,206.54,205.8706,1042787
2024-05-24,206.54,208.13,204.63,206.35,205.6812,476857
2024-05-28,205.8,206.59,203.51,204.64,203.9768,1116980
2024-05-29,202.85,205.02,202.01,202.51,201.8537,469659
2024-05-30,203.41,208.41,202.63,206.64,205.9703,887539
2024-05-31,206.98,210.39,206.005,209.07,208.3924,1163126
2024-06-03,208.34,217.47,208.27,214.93,214.2334,693545
2024-06-04,215.0,215.77,212.16,215.05,214.353,441707
2024-06-05,214.95,217.2,212.84,215.35,214.6521,385400
2024-06-06,214.81,219.76,214.81,216.4,215.6987,511285
2024-06-07,215.18,216.17,209.88,212.57,211.8811,427810
2024-06-10,211.08,211.19,203.13,207.09,206.4188,550392
2024-06-11,207.28,207.995,204.39,206.54,205.8706,340096
2024-06-12,208.44,214.83,208.44,211.1,210.4158,341471
2024-06-13,209.48,209.95,205.39,209.3,208.6217,339538
2024-06-14,208.55,208.71,206.71,208.29,207.6149,193248
2024-06-17,206.14,208.27,203.81,205.77,205.1031,505154
2024-06-18,206.63,208.6,201.3,202.09,201.435,378717
2024-06-20,200.72,203.41,200.37,202.08,201.4251,658162
2024-06-21,202.75,203.85,201.13,203.4,202.7408,767181
2024-06-24,203.75,203.87,200.705,200.73,200.0794,344459
2024-06-25,200.73,200.95,197.41,198.62,197.9763,315806
2024-06-26,197.23,203.06,196.49,200.03,199.3817,436489
2024-06-27,200.03,207.68,199.73,207.23,206.5584,617328
2024-06-28,207.66,211.17,206.08,210.33,209.6483,1149451
2024-07-01,214.27,218.19,210.89,211.44,210.7547,586213
2024-07-02,211.38,214.36,210.89,211.25,210.5653,461773
2024-07-03,212.51,212.73,210.63,211.44,210.7547,228226
2024-07-05,211.92,214.29,209.94,214.06,213.3662,257204
2024-07-08,213.79,213.79,210.87,211.73,211.0438,283224
2024-07-09,212.55,218.08,210.65,218.07,217.3632,453240
2024-07-10,218.19,220.68,215.805,220.58,219.8651,364342
2024-07-11,221.98,227.06,221.28,224.48,223.7525,376311
2024-07-12,225.35,226.48,220.03,220.47,219.7555,493043
2024-07-15,219.73,221.38,217.57,219.84,219.1275,245250
2024-07-16,220.69,229.5,219.55,229.28,228.5369,356023
2024-07-17,229.88,236.48,228.95,230.3,229.5536,589930
2024-07-18,228.28,228.28,218.995,220.27,219.5561,535138
2024-07-19,222.25,224.95,217.17,221.79,221.0712,292416
2024-07-22,222.59,224.02,220.29,222.59,221.8686,374607
2024-07-23,223.27,224.854,221.46,223.37,222.6461,157009
2024-07-24,224.11,226.23,220.0,224.57,223.8422,167956
2024-07-25,223.62,228.36,222.24,222.49,221.7689,266777
2024-07-26,222.13,223.305,217.3,220.3,219.586,500583
2024-07-29,220.51,223.76,218.415,222.63,221.9085,278654
2024-07-30,222.87,224.18,221.56,222.71,221.9882,362369
2024-07-31,221.99,223.5,219.46,220.92,220.204,726841
2024-08-01,226.725,243.88,226.725,235.95,235.1853,771480
2024-08-02,237.37,242.33,233.555,237.13,236.3615,745171
2024-08-05,232.89,237.905,230.01,233.33,232.5738,576237
2024-08-06,234.14,236.39,230.0,230.83,230.0819,895322
2024-08-07,231.0,232.89,225.31,225.31,224.5798,796428
2024-08-08,225.31,231.58,225.14,230.0,229.2546,1376792
2024-08-09,231.26,233.245,227.53,229.59,228.8459,665727
2024-08-12,229.42,232.62,228.01,228.31,227.5701,303007
2024-08-13,228.16,232.375,228.16,232.07,231.3179,327559
2024-08-14,231.72,233.26,229.27,232.65,231.896,352659
2024-08-15,234.75,239.31,234.75,237.7,237.2764,391374
2024-08-16,238.27,239.7625,236.3,239.25,238.8236,291839
2024-08-19,238.77,238.925,237.18,238.0,237.5758,464182
2024-08-20,237.56,238.935,235.935,237.04,236.6176,160093
2024-08-21,238.71,238.883,236.05,238.27,237.8454,200815
2024-08-22,239.66,241.72,238.44,239.07,238.6439,253744
2024-08-23,239.88,243.34,238.53,242.41,241.978,181994
2024-08-26,243.04,245.285,241.34,241.76,241.3291,268702
2024-08-27,242.1,242.68,239.47,241.81,241.3791,279525
2024-08-28,242.59,244.2688,239.8,241.92,241.4889,219429
2024-08-29,243.74,245.09,240.61,243.54,243.106,196072
2024-08-30,244.72,245.6,241.9,245.17,244.7331,435640
2024-09-03,244.09,248.0,243.47,244.84,244.4037,274028
2024-09-04,244.45,247.99,244.16,244.96,244.5234,225962
2024-09-05,244.9,244.9,241.25,243.15,242.7167,221670
2024-09-06,243.82,247.99,241.79,244.53,244.0942,331071
2024-09-09,244.98,248.14,244.53,245.04,244.6033,327882
2024-09-10,245.33,247.5,244.21,246.8,246.3602,275932
2024-09-11,245.52,245.52,240.09,244.53,244.0942,232800
2024-09-12,244.09,244.62,241.02,242.73,242.2974,208039
2024-09-13,242.68,246.85,242.03,246.05,245.6115,290593
2024-09-16,247.6,248.675,245.36,246.05,245.6115,289688
2024-09-17,246.1,247.41,240.5617,241.44,241.0097,318028
2024-09-18,240.31,244.66,239.78,241.53,241.0996,260580
2024-09-19,243.66,246.64,242.735,245.68,245.2422,299580
2024-09-20,244.42,244.42,241.05,242.5,242.0678,629565
2024-09-23,243.44,244.9,241.96,244.87,244.4336,157541
2024-09-24,245.13,246.585,244.245,245.9,245.4618,252007
2024-09-25,246.59,248.16,241.095,245.02,244.5833,481397
2024-09-26,246.68,247.795,243.46,244.95,244.5135,418680
2024-09-27,246.0,249.905,245.32,246.83,246.3901,321510
2024-09-30,246.37,248.54,245.46,247.32,246.8792,261007
2024-10-01,247.11,247.45,242.1,245.13,244.6931,268482
2024-10-02,243.16,245.32,243.02,243.93,243.4953,213928
2024-10-03,243.9,243.9,239.29,239.54,239.1131,265994
2024-10-04,240.77,240.77,237.515,239.18,238.7537,210668
2024-10-07,237.88,238.18,232.45,232.96,232.5448,360789
2024-10-08,234.28,236.28,232.52,234.95,234.5313,348515
2024-10-09,234.95,236.215,233.48,234.41,233.9922,184109
2024-10-10,233.3,236.98,233.3,234.62,234.2019,320121
2024-10-11,235.96,239.28,235.52,236.03,235.6094,213855
2024-10-14,236.2,239.09,234.29,237.34,236.917,255428
2024-10-15,237.77,240.265,235.03,235.38,234.9605,278346
2024-10-16,237.21,237.905,234.76,235.12,234.701,213586
2024-10-17,235.41,236.32,233.705,234.14,233.7227,303800
2024-10-18,235.77,241.41,234.43,239.94,239.5124,432093
