date,open,high,low,close,adjusted_close,volume
2024-01-16,543.51,550.84,541.185,542.0,540.5293,1838961
2024-01-17,538.75,545.9506,536.84,539.25,537.7867,1966276
2024-01-18,537.35,547.03,535.99,544.42,542.9427,1728161
2024-01-19,545.16,553.275,541.84,551.75,550.2528,2123960
2024-01-22,552.88,558.69,550.53,553.39,551.8884,1818531
2024-01-23,556.2,557.03,545.37,550.74,549.2456,1116609
2024-01-24,549.85,551.99,539.14,539.99,538.5247,1842524
2024-01-25,543.23,547.7768,537.64,538.21,536.7496,1748147
2024-01-26,554.0,556.41,546.65,547.33,545.8448,3172314
2024-01-29,550.0,559.19,547.36,557.77,556.2565,2445913
2024-01-30,559.5,570.0,559.5,567.12,565.5811,2301337
2024-01-31,563.3,566.0,537.78,538.98,537.5175,3589573
2024-02-01,542.14,553.92,534.24,552.23,550.7315,2163879
2024-02-02,549.02,554.45,541.885,551.82,550.3226,1327462
2024-02-05,549.46,556.975,546.67,551.62,550.1232,1473858
2024-02-06,552.49,560.5,551.45,560.28,558.7597,1328171
2024-02-07,562.0,566.0,552.03,552.31,550.8113,1451424
2024-02-08,552.2,552.86,541.46,550.89,549.3952,1549469
2024-02-09,549.65,554.13,548.29,550.75,549.2555,1280838
2024-02-12,551.0,551.0,544.11,546.86,545.3761,1073036
2024-02-13,541.42,546.19,534.41,538.6,537.1385,1268029
2024-02-14,541.64,548.69,541.64,548.27,546.7823,1296996
2024-02-15,547.26,553.225,545.28,548.57,547.0815,1519047
2024-02-16,546.32,552.69,546.32,547.84,546.3534,1028206
2024-02-20,544.86,550.41,542.35,548.14,546.6526,989294
2024-02-21,546.11,552.97,544.29,552.85,551.3498,786478
2024-02-22,555.0,560.74,550.27,560.49,558.9691,1139590
2024-02-23,562.87,566.68,560.86,564.71,563.1777,970071
2024-02-26,563.34,565.99,561.01,563.48,561.951,758574
2024-02-27,564.98,567.82,560.84,566.17,564.6337,901044
2024-02-28,565.2,573.01,565.02,572.03,570.4778,1021434
2024-02-29,574.65,575.0,567.55,570.18,568.6328,1794277
2024-03-01,564.56,578.5,563.0,576.33,574.7661,1440176
2024-03-04,575.4,582.54,571.521,581.64,580.0617,1547722
2024-03-05,581.13,586.15,580.0,584.61,583.0237,1973288
2024-03-06,588.35,598.35,585.81,591.5,589.895,1886807
2024-03-07,595.0,598.905,592.5,597.66,596.0383,1819492
2024-03-08,597.0,603.82,595.96,597.61,595.9884,1600305
2024-03-11,594.18,599.99,589.64,599.43,597.8034,1380447
2024-03-12,598.9,600.62,594.69,597.25,595.6294,1146315
2024-03-13,599.03,599.03,591.045,593.32,591.71,1035189
2024-03-14,590.98,595.1,581.25,584.91,583.7065,1757994
2024-03-15,575.17,584.65,573.73,584.15,582.9481,1920147
2024-03-18,585.86,586.845,578.3,580.05,578.8565,1554424
2024-03-19,581.28,584.25,577.2,582.72,581.521,1053626
2024-03-20,581.05,581.63,576.29,580.05,578.8565,728710
2024-03-21,580.0,587.08,577.6,584.13,582.9281,1230529
2024-03-22,586.82,588.99,579.74,583.09,581.8903,1061222
2024-03-25,583.21,585.03,571.09,573.56,572.3799,1226909
2024-03-26,574.01,574.985,567.84,568.82,567.6496,1784927
2024-03-27,572.52,579.77,571.08,579.37,578.1779,1525832
2024-03-28,579.3,582.295,576.19,581.21,580.0141,1081545
2024-04-01,581.05,581.53,572.84,577.45,576.2619,837591
2024-04-02,570.75,572.39,565.78,571.56,570.384,1381269
2024-04-03,571.23,578.25,569.19,576.0,574.8149,1151569
2024-04-04,580.41,582.0,568.57,570.61,569.436,1231899
2024-04-05,570.22,583.84,569.06,579.46,578.2677,1181253
2024-04-08,579.35,582.41,575.71,578.8,577.6091,998949
2024-04-09,583.78,589.93,583.23,589.2,587.9877,1026320
2024-04-10,577.29,579.675,571.89,573.71,572.5296,1282843
2024-04-11,579.56,580.355,571.36,574.57,573.3878,1295511
2024-04-12,570.91,573.385,561.64,565.23,564.067,1201602
2024-04-15,570.72,570.72,554.51,557.87,556.7222,1031658
2024-04-16,559.04,559.04,552.685,554.55,553.409,1010299
2024-04-17,555.86,556.0,546.45,547.25,546.124,1610057
2024-04-18,534.8,544.87,529.64,541.52,540.4058,2075785
2024-04-19,542.95,546.14,539.17,544.78,543.6591,1738509
2024-04-22,549.15,552.86,543.15,548.38,547.2517,1522884
2024-04-23,567.51,576.89,560.0,574.59,573.4078,2543991
2024-04-24,578.0,586.4623,565.23,577.39,576.202,2035044
2024-04-25,577.4,577.99,569.98,571.73,570.5536,1184004
2024-04-26,567.94,575.0,566.95,573.6,572.4198,1438184
2024-04-29,575.09,579.49,571.3,576.89,575.703,962351
2024-04-30,574.7,576.46,567.97,568.72,567.5498,1515137
2024-05-01,569.86,581.9,568.4,574.99,573.8069,1171977
2024-05-02,579.48,579.795,565.49,571.25,570.0746,1357370
2024-05-03,579.84,579.84,571.63,572.38,571.2023,1749670
2024-05-06,575.41,576.385,570.345,573.55,572.3699,1140684
2024-05-07,571.5,576.59,565.34,572.87,571.6913,1890726
2024-05-08,572.71,575.345,567.71,573.64,572.4597,1598138
2024-05-09,574.23,579.065,572.5,577.93,576.7409,1513316
2024-05-10,580.17,594.025,578.81,593.03,591.8098,1328832
2024-05-13,591.27,594.525,588.95,590.7,589.4846,944626
2024-05-14,591.16,597.18,586.65,594.8,593.5762,1040938
2024-05-15,600.0,602.0,595.03,599.02,597.7875,1188732
2024-05-16,598.25,600.09,593.28,597.15,595.9213,1409375
2024-05-17,596.95,597.1,589.36,595.3,594.0752,1398449
2024-05-20,593.63,597.235,592.75,594.01,592.7878,805710
2024-05-21,594.0,594.0,585.32,590.12,588.9058,1133164
2024-05-22,589.67,596.63,587.62,590.8,589.5844,872991
2024-05-23,590.0,592.0,584.16,585.03,583.8263,1184975
2024-05-24,586.0,587.955,581.345,584.05,582.8483,883271
2024-05-28,581.67,581.97,569.17,572.57,571.3919,1435576
2024-05-29,570.11,570.11,563.67,567.3,566.1328,1324775
2024-05-30,551.53,563.97,550.33,562.76,561.6021,2431317
2024-05-31,564.59,568.58,560.4,567.98,566.8114,2106711
2024-06-03,569.39,573.63,563.005,569.58,568.4081,943688
2024-06-04,570.79,573.7529,565.24,569.67,568.4979,994975
2024-06-05,569.85,575.58,566.72,575.28,574.0963,896124
2024-06-06,575.29,581.665,571.94,579.84,578.647,1153843
2024-06-07,579.51,585.95,577.085,581.09,579.8944,1231957
2024-06-10,580.0,582.28,575.86,581.48,580.2836,1540561
2024-06-11,578.95,580.0,573.91,575.89,574.7051,1407737
2024-06-12,579.26,581.97,574.6,575.69,574.5055,1397925
2024-06-13,573.36,574.63,565.001,572.63,571.4518,1304701
2024-06-14,572.86,573.1,566.74,572.05,571.2621,1413701
2024-06-17,566.45,569.305,563.745,568.0,567.2176,1318499
2024-06-18,569.56,572.04,564.62,569.17,568.386,1398080
