date,open,high,low,close,adjusted_close,volume
2024-01-16,157.4,158.14,155.82,157.95,157.2985,350986
2024-01-17,156.54,158.59,154.19,154.71,154.0719,392015
2024-01-18,155.22,156.88,154.185,156.39,155.745,451003
2024-01-19,156.77,157.82,155.58,157.81,157.1591,307878
2024-01-22,158.5,159.94,155.81,156.05,155.4064,497714
2024-01-23,155.92,156.665,152.7,153.81,153.1756,676162
2024-01-24,154.52,154.52,150.11,153.35,152.7175,798496
2024-01-25,154.48,157.252,153.69,156.98,156.3325,543564
2024-01-26,157.73,159.43,156.86,157.57,156.9201,458316
2024-01-29,156.81,158.12,155.535,156.85,156.2031,487948
2024-01-30,159.33,161.2,158.9,158.95,158.2944,570888
2024-01-31,159.81,161.315,158.52,158.81,158.155,402042
2024-02-01,158.44,164.81,157.69,163.14,162.4671,690417
2024-02-02,162.09,164.315,162.0,162.73,162.0588,444748
2024-02-05,162.22,164.12,161.7,162.67,161.9991,409383
2024-02-06,162.18,163.5,161.23,162.15,161.4812,293134
2024-02-07,162.48,164.34,161.915,162.45,161.78,292698
2024-02-08,162.45,163.04,160.47,161.96,161.292,368004
2024-02-09,161.99,162.8,161.27,162.38,161.7103,270273
2024-02-12,161.88,164.96,160.75,164.55,163.8713,393110
2024-02-13,162.24,163.435,160.19,160.6,159.9376,397711
2024-02-14,161.8,163.35,160.23,161.71,161.043,353719
2024-02-15,163.28,163.64,161.83,162.72,162.0489,391312
2024-02-16,162.51,163.75,160.85,162.16,161.4912,309776
2024-02-20,161.09,162.78,160.69,162.43,161.7601,390846
2024-02-21,162.03,163.4,160.85,163.3,162.6265,309643
2024-02-22,163.51,165.86,162.78,164.49,163.8116,660207
2024-02-23,164.7,166.35,164.21,164.31,163.6323,524306
2024-02-26,164.31,165.79,162.17,164.33,163.6522,508268
2024-02-27,164.12,165.79,163.025,165.79,165.1062,826982
2024-02-28,170.58,176.43,161.16,161.73,161.0629,1812970
2024-02-29,163.13,167.21,161.71,167.06,166.577,1004117
2024-03-01,167.06,171.9,166.04,171.12,170.6252,680616
2024-03-04,170.79,175.53,170.52,174.6,174.0952,662300
2024-03-05,173.73,177.53,173.73,175.5,174.9925,556141
2024-03-06,175.89,177.245,173.33,175.95,175.4412,505094
2024-03-07,177.42,179.405,176.22,177.67,177.1563,419659
2024-03-08,177.36,178.08,175.67,175.69,175.182,516570
2024-03-11,174.82,176.11,170.37,171.29,170.7947,737286
2024-03-12,170.67,174.94,169.675,174.72,174.2148,748149
2024-03-13,174.8,176.98,173.32,174.41,173.9057,428656
2024-03-14,174.01,174.22,171.76,172.93,172.43,478640
2024-03-15,169.5,174.645,169.5,173.9,173.3972,856267
2024-03-18,173.03,177.58,172.6,177.3,176.7873,515561
2024-03-19,178.0,180.98,177.86,180.23,179.7089,767935
2024-03-20,180.08,181.375,178.25,179.89,179.3699,536227
2024-03-21,180.35,182.29,180.0,180.77,180.2473,548074
2024-03-22,180.6,181.07,178.67,180.49,179.9681,392814
2024-03-25,180.49,181.01,177.64,177.85,177.3358,552281
2024-03-26,177.85,179.57,177.1,177.31,176.7973,675693
2024-03-27,179.41,181.93,178.36,181.85,181.3242,550244
2024-03-28,182.5,183.61,181.73,182.46,181.9324,699083
2024-04-01,180.0,180.0,171.26,175.21,174.7034,1348003
2024-04-02,174.43,174.43,169.7,172.42,171.9215,878944
2024-04-03,172.17,174.89,171.477,173.74,173.2376,488620
2024-04-04,174.98,174.98,171.42,172.34,171.8417,405007
2024-04-05,172.82,173.95,171.82,173.43,172.9285,388934
2024-04-08,172.9,173.58,171.48,171.63,171.1337,428224
2024-04-09,171.72,172.2,169.205,171.5,171.0041,665562
2024-04-10,169.33,171.85,169.055,170.23,169.7378,388222
2024-04-11,170.42,171.415,167.79,168.4,167.9131,399253
2024-04-12,167.85,169.065,165.79,166.79,166.3077,521405
2024-04-15,169.01,169.98,165.42,166.42,165.9388,545600
2024-04-16,166.45,166.45,160.74,161.41,160.9433,795567
2024-04-17,162.08,162.525,159.46,160.03,159.5673,547087
2024-04-18,155.25,157.18,152.685,153.65,153.2057,1047629
2024-04-19,154.41,157.47,153.66,157.47,157.0147,903015
2024-04-22,158.49,161.955,158.1,161.13,160.6641,672652
2024-04-23,161.66,165.98,161.4925,164.91,164.4332,803944
2024-04-24,164.18,166.685,163.48,165.9,165.4203,1213515
2024-04-25,174.95,174.95,161.58,165.1,164.6226,1260225
2024-04-26,163.2,167.74,160.84,166.06,165.5798,965423
2024-04-29,166.8,169.47,166.8,169.12,168.631,794858
2024-04-30,170.03,171.02,168.61,170.43,169.9372,1004222
2024-05-01,169.42,172.95,168.29,170.19,169.6979,1161938
2024-05-02,171.14,171.19,167.13,169.89,169.3988,651966
2024-05-03,171.79,171.79,167.535,167.7,167.2151,597904
2024-05-06,169.04,169.63,168.58,169.15,168.6609,811257
2024-05-07,170.58,171.205,169.39,169.5,169.0099,660674
2024-05-08,168.71,170.52,167.36,169.47,168.98,513866
2024-05-09,169.69,177.325,169.69,177.05,176.5381,710756
2024-05-10,177.05,180.6,176.8701,178.09,177.5751,573418
2024-05-13,178.19,178.63,176.43,178.59,178.0736,743433
2024-05-14,180.4,181.39,177.39,178.91,178.3927,1007491
2024-05-15,179.47,182.88,179.315,182.24,181.7131,562597
2024-05-16,181.31,182.92,178.675,178.98,178.4625,873502
2024-05-17,179.38,179.38,177.14,177.7,177.1862,344237
2024-05-20,181.94,181.94,178.14,181.41,180.8855,597948
2024-05-21,181.18,181.77,177.86,180.2,179.679,713929
2024-05-22,179.76,181.55,178.32,178.9,178.3827,423024
2024-05-23,178.64,178.785,176.38,176.91,176.3985,476435
2024-05-24,178.46,178.565,176.17,176.37,175.86,588267
2024-05-28,175.22,176.29,174.28,175.18,174.6735,404028
2024-05-29,174.5,181.61,174.43,180.23,179.7089,900471
2024-05-30,180.33,186.645,180.18,185.9,185.3625,776900
2024-05-31,186.2,189.95,184.76,189.8,189.2512,847368
2024-06-03,188.48,189.16,184.63,186.6,186.2567,634315
2024-06-04,185.86,186.6,181.2,184.64,184.3003,458097
2024-06-05,185.88,189.83,185.48,189.47,189.1214,629933
2024-06-06,188.81,190.495,187.6,189.34,188.9917,541291
2024-06-07,187.54,188.89,187.31,187.53,187.185,343793
2024-06-10,186.65,189.3,185.78,188.93,188.5824,671849
2024-06-11,188.01,188.38,185.6,185.68,185.3384,608545
2024-06-12,188.16,189.38,186.14,187.24,186.8955,892272
2024-06-13,186.73,188.67,183.25,188.18,187.8338,520602
2024-06-14,186.66,188.2199,183.25,187.85,187.5044,590814
2024-06-17,186.75,190.16,186.1,189.81,189.4608,555157
2024-06-18,189.5,191.28,188.32,190.56,190.2094,403628
2024-06-20,189.83,191.51,188.34,188.68,188.3329,349849
2024-06-21,188.81,190.105,187.13,189.1,188.7521,783735
2024-06-24,189.78,191.92,188.73,191.01,190.6586,468550
2024-06-25,191.5,193.48,181.82,187.7,187.3547,1020911
2024-06-26,191.19,191.19,186.48,189.67,189.3211,721590
2024-06-27,189.4,191.58,187.04,191.56,191.2076,404605
2024-06-28,191.75,194.02,182.21,184.93,184.5898,1162964
2024-07-01,186.05,188.53,182.07,182.2,181.8648,559877
2024-07-02,182.52,185.0875,180.77,184.72,184.3802,414477
2024-07-03,184.4,186.45,183.93,185.39,185.0489,239235
2024-07-05,184.15,184.635,177.65,180.93,180.5972,893054
2024-07-08,181.74,182.22,177.345,180.63,180.2977,939334
2024-07-09,181.55,183.205,180.09,180.95,180.6171,587255
2024-07-10,181.87,182.39,179.31,180.18,179.8485,736040
2024-07-11,181.62,184.14,180.61,183.95,183.6116,808968
2024-07-12,184.63,187.23,184.2,184.43,184.0907,421387
2024-07-15,179.19,183.365,178.0606,178.68,178.3513,709316
2024-07-16,180.0,183.93,177.37,183.88,183.5417,1034886
2024-07-17,183.88,189.65,181.4,183.77,183.4319,865926
2024-07-18,183.51,186.75,180.49,181.48,181.1461,825626
2024-07-19,183.02,183.02,179.5,180.82,180.4874,634561
2024-07-22,181.33,183.5,179.81,182.17,181.8349,610683
2024-07-23,184.37,186.5,181.29,185.3,184.9591,854308
2024-07-24,187.0,189.78,185.05,185.97,185.6279,958691
2024-07-25,192.19,207.7,192.0,204.99,204.6129,2759867
2024-07-26,209.58,214.64,206.36,213.69,213.2969,1474291
2024-07-29,215.65,219.61,214.3594,217.43,217.03,914806
2024-07-30,217.12,218.96,214.76,215.1,214.7043,878667
2024-07-31,215.99,216.84,211.7501,213.76,213.3668,1108920
2024-08-01,215.11,218.99,212.79,215.82,215.423,849637
2024-08-02,214.34,216.915,210.96,213.21,212.8178,858520
2024-08-05,209.11,213.6699,205.15,211.0,210.6118,778424
2024-08-06,211.06,213.6,209.76,212.11,211.7198,1603630
2024-08-07,213.96,215.28,210.03,212.07,211.6799,978974
2024-08-08,212.56,218.56,212.0,218.4,217.9982,715340
2024-08-09,218.09,218.675,214.86,215.22,214.8241,502479
2024-08-12,215.18,217.88,214.48,217.74,217.3394,387267
2024-08-13,218.08,221.66,218.08,220.48,220.0744,560150
2024-08-14,221.54,224.3399,219.925,221.85,221.4419,533980
2024-08-15,223.03,224.09,219.67,223.27,222.8593,543708
2024-08-16,223.93,227.0,222.62,226.44,226.0234,570552
2024-08-19,226.55,228.28,224.62,227.52,227.1014,454299
2024-08-20,227.7,229.01,225.9,227.56,227.1414,553958
2024-08-21,227.56,228.84,226.3701,227.8,227.3809,506555
2024-08-22,228.98,230.49,228.66,229.29,228.8682,519705
2024-08-23,230.57,233.7604,229.79,233.14,232.7111,684942
2024-08-26,233.37,235.2099,231.5301,233.04,232.6113,493806
2024-08-27,232.55,235.6,232.55,235.36,234.927,521552
2024-08-28,235.5,237.785,235.5,236.83,236.3943,619947
2024-08-29,237.84,237.86,234.81,235.69,235.2564,378406
2024-08-30,235.4,238.26,235.4,237.97,237.5322,494187
2024-09-03,237.27,239.29,235.1,236.47,236.2348,599252
2024-09-04,236.65,238.6872,235.66,238.6,238.3627,523987
2024-09-05,237.99,239.32,235.53,239.31,239.072,704783
2024-09-06,239.08,241.95,226.59,229.15,228.9221,929670
2024-09-09,230.29,232.695,223.74,226.51,226.2847,954013
2024-09-10,227.22,229.46,224.48,225.68,225.4555,555651
2024-09-11,225.45,231.53,224.245,229.77,229.5414,819074
2024-09-12,226.27,231.97,226.27,231.36,231.1299,560635
2024-09-13,231.1,233.6699,231.1,232.56,232.3287,346004
2024-09-16,233.85,236.8,232.46,234.99,234.7562,480844
2024-09-17,234.64,235.665,230.92,232.28,232.0489,605153
2024-09-18,230.03,237.2625,230.0015,234.69,234.4565,614975
2024-09-19,236.93,237.8,233.53,237.79,237.5535,489291
2024-09-20,237.16,239.55,235.3838,238.02,237.7832,843326
2024-09-23,239.22,241.33,238.12,240.59,240.3507,421798
2024-09-24,240.14,243.25,238.505,241.52,241.2798,463012
2024-09-25,242.01,242.84,240.67,241.24,241.0,354695
2024-09-26,241.09,241.53,237.54,239.67,239.4316,398052
2024-09-27,239.54,239.955,223.3,229.92,229.6913,1381373
2024-09-30,224.07,229.36,212.075,229.01,228.7822,1753248
2024-10-01,228.59,228.81,222.34,224.66,224.4365,822666
2024-10-02,224.0,225.5,222.86,224.0,223.7772,707641
2024-10-03,223.56,224.61,212.5,215.17,214.956,1529630
2024-10-04,216.79,217.5,212.98,215.68,215.4655,674440
2024-10-07,214.43,216.35,211.23,212.79,212.5783,741497
2024-10-08,213.7,214.14,209.2741,212.5,212.2886,831829
2024-10-09,212.12,214.47,208.24,212.95,212.7382,694036
2024-10-10,212.68,213.8965,209.79,212.9,212.6882,471656
2024-10-11,213.87,214.9515,213.12,214.33,214.1168,420698
2024-10-14,214.03,221.57,213.895,220.45,220.2307,893563
2024-10-15,221.0,231.63,221.0,225.34,225.1158,1123063
2024-10-16,231.6,239.83,230.44,236.9,236.6643,935208
2024-10-17,234.58,238.62,233.19,234.16,233.9271,620429
2024-10-18,233.51,240.255,232.47,236.67,236.4346,993431
2024-10-21,235.86,237.83,232.6,233.62,233.3876,628265
2024-10-22,231.83,234.44,229.53,232.55,232.3187,607368
2024-10-23,233.25,235.16,231.9,234.16,233.9271,596296
2024-10-24,233.52,234.39,223.74,224.66,224.4365,1344559
2024-10-25,208.0,212.7829,201.87,202.75,202.5483,1483330
2024-10-28,203.8,207.66,202.17,204.55,204.3465,934124
2024-10-29,204.0,209.315,203.6,205.92,205.7152,906093
2024-10-30,205.02,208.575,202.61,207.5,207.2936,684021
2024-10-31,205.43,207.415,203.27,204.31,204.1068,1117604
2024-11-01,206.65,207.2045,204.135,205.26,205.0558,632500
2024-11-04,204.81,210.58,204.81,208.83,208.6223,997772
2024-11-05,207.64,212.17,206.9,212.17,211.9589,497981
2024-11-06,197.85,206.46,193.79,203.52,203.3176,1443647
2024-11-07,205.21,208.43,201.93,208.41,208.2027,986408
2024-11-08,209.45,210.59,206.88,207.5,207.2936,572838
2024-11-11,208.04,211.11,208.04,208.56,208.3525,479111
2024-11-12,208.65,209.52,204.19,205.24,205.0358,637245
