date,open,high,low,close,adjusted_close,volume
2024-01-16,523.71,524.5,516.55,519.15,511.1471,3736718
2024-01-17,521.28,530.655,520.0,524.94,516.8478,3791496
2024-01-18,505.23,516.84,497.46,516.34,508.3804,7367041
2024-01-19,515.0,517.55,501.82,503.56,495.7974,6143395
2024-01-22,503.94,513.57,496.5,512.99,505.082,5922855
2024-01-23,512.5,518.08,512.08,515.52,507.573,2673106
2024-01-24,517.9,521.73,512.95,513.23,505.3183,2918924
2024-01-25,487.59,495.51,479.0,493.4,485.794,14671000
2024-01-26,493.28,503.69,489.9,503.2,495.4429,6212173
2024-01-29,503.11,506.51,501.15,504.54,496.7623,4554106
2024-01-30,504.54,506.05,499.22,503.61,495.8466,4931215
2024-01-31,504.51,515.0,504.51,511.74,503.8513,5358104
2024-02-01,508.83,510.2225,503.0,507.14,499.3222,4242580
2024-02-02,508.25,512.91,505.39,510.23,502.3646,3804521
2024-02-05,509.96,514.195,500.05,502.96,495.2066,3646516
2024-02-06,503.94,510.94,502.45,510.67,502.7978,2745515
2024-02-07,514.01,521.0,512.69,519.39,511.3834,4109062
2024-02-08,520.63,522.16,517.2834,520.09,512.0726,3342976
2024-02-09,518.99,520.39,516.29,518.22,510.2314,2715493
2024-02-12,518.22,518.99,512.81,517.64,509.6603,3194016
2024-02-13,522.0,526.93,514.21,516.85,508.8825,3436087
2024-02-14,515.26,518.53,514.29,516.94,508.9711,1918535
2024-02-15,517.34,521.7531,515.8,520.88,512.8504,2292306
2024-02-16,522.3,523.79,518.89,521.55,513.5101,2135586
2024-02-20,524.21,525.37,519.41,521.06,513.0276,2600288
2024-02-21,523.67,523.69,517.535,521.97,513.9236,2096023
2024-02-22,524.2,526.74,518.59,526.5,518.3838,3186819
2024-02-23,526.75,530.495,524.16,527.24,519.1124,2502146
2024-02-26,528.32,532.81,524.31,525.32,517.222,2308927
2024-02-27,524.76,525.59,512.05,513.42,505.5054,3780619
2024-02-28,495.44,498.5501,484.39,498.28,490.5988,9558553
2024-02-29,498.5,501.75,491.6,493.6,485.9909,6833167
2024-03-01,489.42,490.02,477.25,489.53,481.9837,7315039
2024-03-04,483.24,487.04,480.1,481.87,474.4418,5239810
2024-03-05,482.39,482.9,470.615,473.15,465.8562,5296200
2024-03-06,474.44,479.8,468.19,472.6,465.3147,5577493
