date,open,high,low,close,adjusted_close,volume
2024-01-16,431.78,438.03,430.46,437.49,437.49,1780000
2024-01-17,437.5,439.77,432.18,433.76,433.76,1410000
2024-01-18,431.59,434.88,425.41,432.98,432.98,1330000
2024-01-19,433.52,435.19,429.68,435.02,435.02,2590000
2024-01-22,437.64,443.82,437.64,440.11,440.11,1410000
2024-01-23,440.01,441.57,436.31,439.7,439.7,779570
2024-01-24,436.93,437.39,424.34,427.56,427.56,1670000
2024-01-25,428.06,431.35,427.06,429.96,429.96,1150000
2024-01-26,431.03,432.19,428.14,430.17,430.17,944510
2024-01-29,431.33,436.11,429.35,435.82,435.82,961470
2024-01-30,430.0,448.4,429.69,446.08,446.08,3310000
2024-01-31,441.57,444.07,430.12,433.38,433.38,2740000
2024-02-01,434.0,435.91,431.0,433.87,433.87,1420000
2024-02-02,430.0,431.29,424.31,424.68,424.68,2180000
2024-02-05,424.99,430.93,421.9,428.89,428.89,1760000
2024-02-06,428.76,430.99,410.8,416.13,416.13,4500000
2024-02-07,416.74,426.72,416.74,419.08,419.08,1990000
2024-02-08,420.28,424.4761,417.14,423.06,423.06,1407382
2024-02-09,425.96,425.96,419.51,422.91,422.91,1169500
2024-02-12,420.24,421.3,415.28,418.53,418.53,1368200
2024-02-13,417.36,419.42,412.77,416.04,416.04,1163900
2024-02-14,418.38,420.45,414.26,417.88,417.88,1133100
2024-02-15,419.16,427.41,418.61,426.29,426.29,1474000
2024-02-16,427.04,427.04,420.97,422.2,422.2,1189500
2024-02-20,420.79,425.0,416.16,420.64,420.64,1056500
2024-02-21,421.77,424.0,414.8,419.63,419.63,916700
2024-02-22,419.85,429.81,419.85,426.78,426.78,1091800
2024-02-23,430.0,434.5,429.07,430.11,430.11,749700
2024-02-26,425.7,434.26,425.7,433.48,433.48,788000
2024-02-27,434.13,437.0,430.52,430.92,430.92,917400
2024-02-28,429.6,433.49,425.71,426.97,426.97,786600
2024-02-29,429.18,429.18,420.24,420.74,420.74,1849200
2024-03-01,423.2,433.67,422.95,432.76,432.76,1102200
2024-03-04,432.73,433.99,422.16,424.03,424.03,1121500
2024-03-05,424.87,425.49,414.04,415.44,415.44,1124100
2024-03-06,414.23,418.22,410.46,411.85,411.85,1222300
2024-03-07,415.15,418.32,410.23,410.54,410.54,923300
2024-03-08,412.34,416.25,410.95,413.59,413.59,814800
2024-03-11,414.0,416.71,409.52,414.47,414.47,1263500
2024-03-12,413.0,416.11,409.02,412.45,412.45,888800
2024-03-13,414.46,415.92,410.39,413.2,413.2,764500
2024-03-14,414.01,414.98,407.08,408.77,408.77,1031200
2024-03-15,410.1,411.64,406.97,407.69,407.69,1905400
2024-03-18,410.49,415.5,409.25,411.38,411.38,926300
2024-03-19,412.51,415.7,411.1,415.2,415.2,859900
2024-03-20,414.33,414.51,409.02,412.11,412.11,796300
2024-03-21,415.61,419.26,414.0,415.71,415.71,895100
2024-03-22,417.75,417.75,412.19,415.66,415.66,821700
2024-03-25,415.66,418.28,414.97,416.03,416.03,732800
2024-03-26,417.38,419.55,414.86,418.46,418.46,952400
2024-03-27,420.3,420.42,412.65,417.32,417.32,905400
2024-03-28,419.48,420.67,415.06,418.01,418.01,1092100
2024-04-01,420.43,421.45,414.74,420.48,420.48,767600
2024-04-02,419.0,420.87,406.73,409.42,409.42,974700
2024-04-03,409.45,414.96,408.25,408.81,408.81,729000
2024-04-04,412.64,412.64,403.15,404.01,404.01,957500
2024-04-05,404.29,409.93,400.83,406.67,406.67,695700
2024-04-08,403.45,404.6,399.0,404.22,404.22,751900
2024-04-09,406.0,406.45,399.3,404.48,404.48,727100
2024-04-10,399.89,401.0,394.81,397.58,397.58,1026700
2024-04-11,404.3,404.69,398.85,400.23,400.23,1060200
2024-04-12,396.57,400.14,393.76,396.55,396.55,1200300
2024-04-15,400.0,402.49,396.69,397.36,397.36,1373700
2024-04-16,396.88,398.49,392.81,394.17,394.17,695400
2024-04-17,394.94,398.11,392.03,393.1,393.1,881000
2024-04-18,394.19,396.14,391.01,393.48,393.48,949100
2024-04-19,394.72,396.98,391.25,394.28,394.28,1342000
2024-04-22,397.3,406.34,396.0,399.92,399.92,1393800
2024-04-23,404.0,406.86,403.47,404.91,404.91,1070300
2024-04-24,404.5,406.83,399.29,400.76,400.76,806500
2024-04-25,402.44,403.88,393.0,397.7,397.7,787600
2024-04-26,393.52,399.68,393.49,397.48,397.48,682500
2024-04-29,397.48,399.31,394.35,396.2,396.2,604500
2024-04-30,396.2,396.69,391.7,392.81,392.81,1727900
2024-05-01,392.81,406.95,392.47,402.14,402.14,1256300
2024-05-02,402.95,404.07,398.46,400.16,400.16,1051200
2024-05-03,401.5,405.67,397.59,401.08,401.08,1064000
2024-05-06,402.77,407.59,401.02,402.5,402.5,1463600
2024-05-07,406.42,415.67,394.03,410.24,410.24,1614000
2024-05-08,413.33,425.65,412.12,418.82,418.82,1651700
2024-05-09,419.0,421.18,416.03,418.99,418.99,676200
2024-05-10,420.67,423.32,417.5,422.78,422.78,1064500
2024-05-13,425.99,430.52,424.56,429.93,429.93,939700
2024-05-14,429.07,429.93,422.44,428.59,428.59,935900
2024-05-15,430.93,439.26,428.62,437.49,437.49,1059200
2024-05-16,434.59,441.66,432.22,440.64,440.64,1216000
2024-05-17,442.0,446.1,440.35,445.21,445.21,1382400
2024-05-20,444.72,447.85,442.99,445.87,445.87,742200
2024-05-21,446.0,446.39,437.46,442.0,442.0,1106700
2024-05-22,442.54,449.91,441.4,447.53,447.53,1084600
2024-05-23,449.58,453.71,446.67,450.8,450.8,1554700
2024-05-24,451.9,457.66,449.42,456.95,456.95,1050600
2024-05-28,454.79,454.79,445.22,446.88,446.88,1379600
2024-05-29,445.56,448.21,440.56,441.13,441.13,967300
2024-05-30,439.11,443.25,435.57,443.05,443.05,975400
2024-05-31,444.74,456.91,443.47,455.34,455.34,2362600
2024-06-03,455.0,471.39,453.73,470.18,470.18,1971000
2024-06-04,472.57,477.31,467.37,474.95,474.95,1112200
2024-06-05,475.26,484.45,474.16,483.04,483.04,1196600
2024-06-06,484.41,485.85,479.02,485.53,485.53,1263600
2024-06-07,484.45,486.43,480.1,483.04,483.04,944300
2024-06-10,480.18,485.4,478.51,483.28,483.28,1253800
2024-06-11,481.82,483.23,478.38,481.53,481.53,881800
2024-06-12,478.0,481.71,473.51,475.79,475.79,1245000
2024-06-13,473.5,481.35,472.61,479.03,479.03,808400
