date,open,high,low,close,adjusted_close,volume
2024-01-16,11.61,11.77,11.51,11.75,11.2861,9516500
2024-01-17,11.63,11.74,11.45,11.46,11.0076,7423600
2024-01-18,11.44,11.46,11.16,11.27,10.8251,7480100
2024-01-19,11.27,11.43,11.17,11.4,10.95,7410000
2024-01-22,11.38,11.65,11.35,11.64,11.1805,10607300
2024-01-23,11.66,11.82,11.64,11.77,11.3053,9119600
2024-01-24,11.82,11.91,11.65,11.72,11.2573,6947500
2024-01-25,11.78,11.84,11.59,11.74,11.2765,6124800
2024-01-26,11.85,11.97,11.8,11.93,11.459,7106300
2024-01-29,11.91,11.97,11.76,11.88,11.411,6216500
2024-01-30,11.84,11.86,11.64,11.81,11.3438,5619000
2024-01-31,11.8,12.21,11.72,11.77,11.3053,13432000
2024-02-01,11.72,11.93,11.52,11.87,11.4014,6760400
2024-02-02,11.82,11.94,11.69,11.85,11.3822,6441000
2024-02-05,11.77,11.77,11.54,11.58,11.1228,5514200
2024-02-06,11.67,12.02,11.64,11.89,11.4206,7450000
2024-02-07,11.9,11.92,11.66,11.74,11.2765,6504900
2024-02-08,11.7,11.7,11.44,11.56,11.1036,6830100
2024-02-09,11.51,11.7,11.45,11.68,11.2189,6460900
2024-02-12,11.67,12.03,11.66,11.95,11.4782,6899800
2024-02-13,11.86,12.01,11.71,11.97,11.4975,12276300
2024-02-14,12.0,12.18,11.96,12.07,11.5935,7976800
2024-02-15,12.18,12.94,12.18,12.82,12.3139,15259000
2024-02-16,12.8,13.1,12.77,13.06,12.5444,14121100
2024-02-20,13.0,13.42,12.97,13.24,12.7173,14424600
2024-02-21,13.22,13.32,13.11,13.26,12.7365,9004800
2024-02-22,13.33,13.48,13.26,13.36,12.8326,10900000
2024-02-23,13.36,13.62,13.35,13.53,12.9959,13338200
2024-02-26,13.43,13.5,13.33,13.43,12.8998,11668000
2024-02-27,13.39,13.46,13.14,13.23,12.7077,18161800
2024-02-28,13.21,13.55,12.24,12.29,11.8048,26685600
2024-02-29,12.36,12.41,11.96,12.37,11.8817,21664100
2024-03-01,12.37,12.61,12.31,12.59,12.093,11839300
2024-03-04,12.59,12.6,12.23,12.36,11.8721,11190200
2024-03-05,12.36,12.41,12.21,12.28,11.7952,8756000
2024-03-06,12.29,12.33,11.95,12.2,11.7184,12225900
2024-03-07,12.17,12.39,12.17,12.33,11.8432,7816900
2024-03-08,12.27,12.34,12.15,12.26,11.8917,5240000
2024-03-11,12.16,12.25,11.84,11.97,11.6105,8283000
2024-03-12,11.96,12.1,11.88,12.06,11.6977,8393100
2024-03-13,12.06,12.2,11.96,12.05,11.688,11392200
2024-03-14,11.99,11.99,11.67,11.82,11.465,10455300
2024-03-15,11.72,11.99,11.72,11.94,11.5814,16558100
2024-03-18,11.87,11.94,11.72,11.76,11.4068,8544800
2024-03-19,11.73,11.91,11.7,11.87,11.5135,9294900
2024-03-20,11.8,11.92,11.71,11.88,11.5232,5104700
2024-03-21,11.94,12.06,11.88,12.01,11.6492,4839700
2024-03-22,12.04,12.14,11.82,11.84,11.4844,4332200
2024-03-25,11.84,12.0,11.81,11.83,11.4747,4737200
2024-03-26,11.88,11.95,11.58,11.6,11.2516,8223500
2024-03-27,11.69,11.86,11.63,11.83,11.4747,9023100
2024-03-28,11.81,12.02,11.78,11.94,11.5814,11960100
2024-04-01,11.97,11.97,11.78,11.94,11.5814,5905600
2024-04-02,11.86,12.0,11.8,11.94,11.5814,6833100
2024-04-03,11.89,12.22,11.89,12.02,11.6589,9150700
2024-04-04,12.16,12.16,11.72,11.76,11.4068,6130100
2024-04-05,11.72,11.83,11.63,11.8,11.4456,5793800
2024-04-08,11.77,11.9,11.68,11.75,11.3971,8279100
2024-04-09,11.73,11.84,11.7,11.82,11.465,5625700
2024-04-10,11.65,11.77,11.63,11.71,11.3583,7083800
2024-04-11,11.69,11.74,11.53,11.57,11.2225,4482800
2024-04-12,11.55,11.57,11.2,11.33,10.9897,8160300
2024-04-15,11.43,11.64,11.26,11.32,10.98,4398600
2024-04-16,11.26,11.26,11.05,11.12,10.786,6763600
2024-04-17,11.19,11.25,11.09,11.1,10.7666,6068900
2024-04-18,11.12,11.25,11.07,11.12,10.786,3464200
2024-04-19,11.15,11.31,11.1,11.25,10.9121,4679900
2024-04-22,11.34,11.35,11.21,11.25,10.9121,5099300
2024-04-23,11.25,11.4,11.21,11.36,11.0188,4675300
2024-04-24,11.34,11.58,11.25,11.55,11.2031,7595300
2024-04-25,11.55,11.65,11.36,11.47,11.1255,6540900
2024-04-26,11.43,11.65,11.4,11.57,11.2225,5166300
2024-04-29,11.51,11.79,11.49,11.78,11.4262,5843700
2024-04-30,11.74,11.75,11.57,11.57,11.2225,20387100
2024-05-01,11.57,11.8,11.44,11.63,11.2807,8672600
2024-05-02,11.69,11.73,11.51,11.6,11.2516,7905700
2024-05-03,11.67,11.87,11.63,11.78,11.4262,5088600
2024-05-06,11.81,11.87,11.7,11.82,11.465,6028800
2024-05-07,11.83,11.91,11.71,11.72,11.368,6075100
2024-05-08,11.75,12.04,11.7,11.81,11.4553,10578000
2024-05-09,11.43,11.69,11.09,11.22,10.883,15229800
2024-05-10,11.19,11.49,11.11,11.16,10.8248,9576000
2024-05-13,11.21,11.39,11.17,11.36,11.0188,9149400
