date,open,high,low,close,adjusted_close,volume
2024-01-16,345.01,348.06,342.57,346.5,345.6756,381651
2024-01-17,343.55,345.56,339.36,339.51,338.7023,228941
2024-01-18,339.84,344.19,338.125,342.87,342.0543,314760
2024-01-19,343.45,343.45,339.79,342.74,341.9246,385848
2024-01-22,344.84,349.89,343.485,347.11,346.2842,304784
2024-01-23,348.49,352.02,347.035,351.63,350.7934,323546
2024-01-24,353.98,355.62,348.67,348.71,347.8804,421580
2024-01-25,349.83,354.54,349.01,354.22,353.3773,382060
2024-01-26,358.98,364.46,358.0,361.36,360.5003,503207
2024-01-29,360.46,371.55,360.22,370.5,369.6185,557651
2024-01-30,370.5,380.33,370.5,376.09,375.3979,605651
2024-01-31,375.26,379.1099,371.13,373.03,372.3435,688722
2024-02-01,373.42,381.64,368.47,381.5,380.7979,484263
2024-02-02,379.31,385.11,377.28,381.02,380.3188,620124
2024-02-05,381.34,398.53,378.41,397.62,396.8882,920274
2024-02-06,400.0,406.14,396.37,398.27,397.537,772139
2024-02-07,408.08,413.7,404.0,413.0,412.2399,657625
2024-02-08,410.775,413.56,407.14,410.9,410.1438,353131
2024-02-09,412.67,412.67,408.3,409.64,408.8861,337261
2024-02-12,407.17,409.72,402.52,406.63,405.8817,348197
2024-02-13,402.43,405.0,396.32,398.59,397.8565,485741
2024-02-14,403.45,408.88,399.31,408.19,407.4388,544659
2024-02-15,338.06,355.73,325.735,350.7,350.0546,3178607
2024-02-16,350.82,369.15,350.31,362.05,361.3837,1427813
2024-02-20,361.49,370.19,349.82,350.18,349.5356,948032
2024-02-21,348.37,357.71,348.37,356.2,355.5445,523392
2024-02-22,357.0,360.02,352.0,359.9,359.2377,537670
2024-02-23,361.57,367.97,360.77,367.44,366.7638,488586
2024-02-26,367.71,371.05,362.75,363.29,362.6214,429394
2024-02-27,362.38,363.84,358.0,358.29,357.6306,415873
2024-02-28,357.6,359.945,352.65,357.31,356.6524,423001
2024-02-29,357.31,360.35,355.54,358.36,357.7005,521611
