date,open,high,low,close,adjusted_close,volume
2024-01-16,36.32,36.32,35.61,35.95,35.0371,2087104
2024-01-17,35.61,35.91,35.315,35.52,34.618,1412921
2024-01-18,35.61,35.95,35.41,35.91,34.9981,1517110
2024-01-19,35.92,35.92,35.23,35.66,34.7545,1942079
2024-01-22,35.9,36.335,35.86,36.27,35.349,3160246
2024-01-23,36.43,36.63,35.135,35.49,34.5888,1711393
2024-01-24,35.65,35.65,34.54,34.67,33.7896,2630640
2024-01-25,34.98,35.06,34.525,35.05,34.16,1856070
2024-01-26,35.32,35.6818,34.865,34.92,34.0333,1791557
2024-01-29,34.85,35.47,34.85,35.42,34.5206,1841442
2024-01-30,35.37,35.42,34.9425,35.03,34.1405,1134012
2024-01-31,35.1,35.36,34.65,34.75,33.8676,1910800
2024-02-01,34.96,35.21,34.57,34.7,33.8188,5492246
2024-02-02,34.22,34.45,33.52,34.19,33.3218,7922604
2024-02-05,33.98,34.21,33.31,33.33,32.4836,4392625
2024-02-06,33.44,34.21,33.235,34.16,33.2926,7528159
2024-02-07,34.32,34.33,33.54,33.71,32.854,3549740
2024-02-08,32.57,33.43,32.21,33.16,32.318,3974378
2024-02-09,33.15,33.16,32.73,32.79,31.9573,3435603
2024-02-12,32.77,33.61,32.77,33.52,32.6688,3182724
2024-02-13,32.96,33.36,32.13,32.45,31.626,2426736
2024-02-14,32.62,32.94,32.36,32.67,31.8404,5008425
2024-02-15,33.05,33.88,32.71,33.86,33.0002,6302002
2024-02-16,33.57,33.915,33.15,33.58,32.7273,2637207
2024-02-20,33.33,33.96,33.32,33.75,32.893,2905024
2024-02-21,33.43,33.6,32.655,33.08,32.24,2218414
2024-02-22,33.15,33.71,32.9,33.57,32.7175,1732446
2024-02-23,33.56,34.07,33.095,33.91,33.0489,2140939
2024-02-26,34.0,34.22,33.4,33.69,32.8345,1642178
2024-02-27,33.9,34.03,33.385,33.68,32.8247,1992906
2024-02-28,33.47,33.47,32.78,33.3,32.4544,3258964
2024-02-29,34.23,34.91,32.195,32.68,31.8501,4419455
2024-03-01,32.99,33.525,32.18,33.27,32.4252,2674501
2024-03-04,33.04,33.336,32.66,33.28,32.4349,1565338
2024-03-05,33.08,33.465,33.055,33.27,32.4252,1753442
2024-03-06,33.42,33.67,33.215,33.41,32.5616,1590331
2024-03-07,33.62,33.69,33.09,33.42,32.5713,1711221
2024-03-08,33.61,33.97,33.45,33.75,32.893,1561769
2024-03-11,33.75,34.06,33.57,33.87,33.0099,1440860
2024-03-12,33.95,34.0288,33.4,33.61,32.7565,3485730
2024-03-13,33.69,34.28,33.66,34.13,33.2633,2218944
2024-03-14,34.09,34.16,32.72,32.98,32.1425,1778930
2024-03-15,32.7,33.035,32.56,32.84,32.0061,4823785
2024-03-18,32.97,33.125,32.68,32.98,32.1425,1264684
2024-03-19,33.03,33.22,32.86,33.11,32.2692,6906200
2024-03-20,33.07,33.3,32.71,33.3,32.4544,3587736
2024-03-21,33.3,33.7164,33.13,33.45,32.6006,2679522
2024-03-22,33.45,33.52,32.63,32.75,31.9184,1780670
2024-03-25,32.86,33.105,32.55,32.84,32.0061,1126370
2024-03-26,32.91,33.03,32.5,32.5,31.6747,1552235
2024-03-27,32.72,33.355,32.57,33.31,32.6248,2225247
2024-03-28,33.0,33.415,32.48,33.19,32.5072,2604965
2024-04-01,33.22,33.22,31.905,32.25,31.5866,2410151
2024-04-02,31.81,32.44,31.5,31.83,31.1752,47685488
2024-04-03,32.3,32.42,31.7,31.85,31.1948,2310922
2024-04-04,32.05,32.43,31.77,31.92,31.2634,3130695
2024-04-05,31.89,32.49,31.855,32.31,31.6453,3348568
2024-04-08,32.31,32.53,31.7,32.24,31.5768,4062653
2024-04-09,32.42,33.02,32.355,32.85,32.1742,2900488
