date,open,high,low,close,adjusted_close,volume
2024-01-16,121.91,122.69,121.17,122.64,121.5938,1450431
2024-01-17,122.03,122.58,121.16,122.23,121.1873,1128373
2024-01-18,123.2,124.54,122.475,123.83,122.7736,1801631
2024-01-19,123.92,124.05,122.02,123.36,122.3077,1562921
2024-01-22,123.69,124.16,122.48,122.59,121.5442,1405440
2024-01-23,124.27,125.0,120.43,121.08,120.0471,1996283
2024-01-24,121.06,121.31,119.455,120.52,119.4919,2376233
2024-01-25,119.98,121.96,119.98,121.96,120.9196,1127570
2024-01-26,122.84,123.11,121.57,121.69,120.6519,982774
2024-01-29,121.25,122.93,120.94,122.92,121.8714,1261065
2024-01-30,122.87,123.195,121.9,122.37,121.3261,1448665
2024-01-31,124.02,127.454,124.02,125.6,124.5285,2460104
2024-02-01,125.43,127.25,124.135,127.25,126.1645,1434458
2024-02-02,126.91,127.4,125.6,126.32,125.2424,1058527
2024-02-05,126.08,126.89,125.15,125.36,124.2906,1180023
2024-02-06,125.25,127.62,125.25,127.6,126.5115,1828637
2024-02-07,127.86,128.49,127.235,127.55,126.4619,2073649
2024-02-08,120.67,124.528,119.13,123.04,121.9904,4306794
2024-02-09,123.9,125.31,121.17,122.8,121.7524,3355614
2024-02-12,122.91,126.02,122.835,125.85,124.7764,1836756
2024-02-13,125.0,125.6325,122.31,123.16,122.1094,1317620
2024-02-14,123.42,124.18,121.59,121.84,120.8006,1754566
2024-02-15,122.16,124.5,122.16,124.4,123.3388,1571062
2024-02-16,124.15,125.96,124.02,124.71,123.6461,1455459
2024-02-20,124.94,125.94,122.58,124.98,123.9138,1388804
2024-02-21,125.09,128.8531,124.41,128.35,127.2551,2217300
2024-02-22,128.0,129.119,127.075,128.54,127.4435,1410614
2024-02-23,128.63,129.515,128.08,129.18,128.078,1023534
2024-02-26,128.87,129.2,126.86,126.88,125.7976,1659666
2024-02-27,126.62,127.0624,126.08,126.37,125.292,840233
2024-02-28,125.94,126.0,123.71,124.13,123.0711,1415737
2024-02-29,124.22,124.84,122.895,124.36,123.2991,2415826
2024-03-01,124.05,124.92,123.635,124.01,122.9521,740134
2024-03-04,123.76,126.465,122.49,125.51,124.4393,1658536
2024-03-05,125.92,126.36,124.42,124.78,123.7155,1308347
2024-03-06,125.02,126.8073,124.83,125.83,124.7566,753094
2024-03-07,126.63,128.14,126.24,127.36,126.2735,1057909
2024-03-08,126.98,128.1499,126.4,126.74,125.6588,1395172
2024-03-11,126.7,128.36,126.17,128.04,126.9477,1079803
2024-03-12,127.62,128.42,127.12,128.21,127.1163,1072974
2024-03-13,128.24,128.47,126.47,126.59,125.5101,846962
2024-03-14,126.26,126.94,125.045,125.73,124.6574,1203903
2024-03-15,124.38,125.68,124.38,125.17,124.1022,2672395
2024-03-18,125.27,126.31,125.1,125.96,124.8855,972376
2024-03-19,126.0,126.75,124.91,126.66,125.5795,949289
2024-03-20,126.24,127.35,125.88,126.53,125.4506,1069238
2024-03-21,126.99,127.5,126.14,127.07,125.986,747044
2024-03-22,127.27,127.65,125.88,127.2,126.1149,1419231
2024-03-25,127.92,128.475,127.6075,127.91,126.8188,1242417
2024-03-26,128.37,128.6125,127.85,127.87,126.7792,1080443
2024-03-27,128.52,132.63,128.51,132.61,131.726,1806704
2024-03-28,132.93,133.9,131.6,131.98,131.1002,1425289
2024-04-01,131.61,131.61,129.68,129.75,128.8851,745090
2024-04-02,129.25,129.3,127.57,128.47,127.6136,1057030
2024-04-03,128.5,130.5,128.5,130.01,129.1433,1369943
2024-04-04,130.89,130.89,127.43,127.56,126.7097,1033003
2024-04-05,127.53,128.07,126.15,127.33,126.4812,791726
2024-04-08,127.31,127.63,126.585,126.69,125.8455,1106453
2024-04-09,127.36,129.495,126.55,129.4,128.5374,1203747
2024-04-10,127.81,127.94,126.39,127.72,126.8686,823294
2024-04-11,128.55,128.55,126.98,127.52,126.6699,1086577
2024-04-12,126.4,127.1,123.705,124.48,123.6502,1048564
2024-04-15,126.0,127.32,123.96,124.0,123.1734,1052751
2024-04-16,123.96,124.32,121.4,122.07,121.2562,1628505
2024-04-17,122.87,122.87,120.04,121.3,120.4914,1521635
2024-04-18,121.45,121.45,118.625,119.33,118.5345,1442392
2024-04-19,119.9,120.145,118.99,119.43,118.6338,1301616
2024-04-22,120.26,121.41,119.18,120.78,119.9748,918343
2024-04-23,120.63,121.62,120.265,121.52,120.7099,742806
2024-04-24,121.55,122.415,121.01,121.17,120.3622,978733
2024-04-25,120.71,121.35,118.77,119.75,118.9517,1078820
2024-04-26,119.49,119.94,118.66,119.35,118.5544,1099241
2024-04-29,119.4,121.76,119.4,121.71,120.8986,1195031
2024-04-30,120.93,121.41,120.26,120.28,119.4782,1429080
2024-05-01,118.09,121.2,116.93,119.56,118.763,2710471
2024-05-02,121.99,123.96,117.595,118.46,117.6703,2931807
2024-05-03,119.49,121.92,119.3501,121.66,120.849,1847585
2024-05-06,122.0,122.25,119.58,120.56,119.7563,1293796
2024-05-07,121.13,122.18,120.6,121.43,120.6205,1358505
2024-05-08,121.12,121.285,120.0,120.85,120.0444,1256700
