date,open,high,low,close,adjusted_close,volume
2024-01-16,198.11,198.92,192.67,192.99,191.0973,2316170
2024-01-17,191.99,193.015,189.71,190.9,189.0278,1678033
2024-01-18,191.43,192.815,189.17,190.5,189.0596,3832836
2024-01-19,190.57,190.92,187.16,188.38,186.9556,2285062
2024-01-22,190.11,194.25,190.11,191.2,189.7543,1890696
2024-01-23,191.55,191.94,187.79,188.1,186.6777,1487976
2024-01-24,188.81,189.6964,185.93,186.07,184.6631,1837659
2024-01-25,185.53,187.53,185.31,187.32,185.9036,2530615
2024-01-26,189.21,192.88,188.97,191.52,190.0719,1840245
2024-01-29,191.36,193.0,189.955,192.76,191.3025,1669903
2024-01-30,192.87,193.51,190.44,191.43,189.9826,1607479
2024-01-31,192.13,192.78,187.44,187.81,186.3899,2150047
2024-02-01,188.3,189.64,185.38,189.14,187.7099,1584165
2024-02-02,187.39,190.18,185.62,189.04,187.6106,1177651
2024-02-05,188.44,190.87,187.44,190.17,188.7321,2112457
2024-02-06,192.0,196.51,190.87,196.14,194.657,2459318
2024-02-07,196.14,197.94,195.21,197.09,195.5998,2017831
2024-02-08,196.08,197.0,195.0,195.75,194.2699,1520861
2024-02-09,195.59,198.22,195.59,197.32,195.828,2234328
2024-02-12,197.74,199.62,196.448,196.69,195.2028,2469220
2024-02-13,186.6,190.61,182.07,183.49,182.1026,4139994
2024-02-14,185.19,186.49,182.1,184.08,182.6881,2726777
2024-02-15,183.86,190.34,183.86,189.65,188.216,2725559
2024-02-16,189.4,190.35,187.93,188.39,186.9656,1953799
2024-02-20,187.3,189.41,186.24,186.55,185.1395,2502757
2024-02-21,186.66,188.86,186.66,188.38,186.9556,3179308
2024-02-22,189.31,196.67,188.54,196.66,195.173,3339687
2024-02-23,197.35,198.21,194.815,197.21,195.7189,2391200
2024-02-26,196.9,197.99,195.46,197.04,195.5502,2098518
2024-02-27,197.65,199.25,194.04,199.0,197.4953,1982530
2024-02-28,199.3,200.5,197.1,199.94,198.4282,2003263
2024-02-29,200.5,200.5341,198.19,198.33,196.8304,2849159
2024-03-01,196.0,196.23,188.49,190.82,189.3772,3724388
2024-03-04,189.61,190.42,186.51,187.86,186.4396,3757171
2024-03-05,187.44,187.73,184.42,185.23,183.8294,2508455
2024-03-06,185.3,187.24,183.23,183.53,182.1423,5028548
2024-03-07,184.91,185.11,181.39,181.51,180.1376,3839356
2024-03-08,182.0,182.98,179.84,182.16,180.7827,6517994
2024-03-11,182.62,183.99,180.42,183.49,182.1026,3383571
2024-03-12,183.65,183.83,180.94,181.35,179.9788,2598439
2024-03-13,181.6,182.97,175.99,176.23,174.8975,5947487
2024-03-14,177.49,177.49,170.72,173.88,172.5653,6432590
2024-03-15,173.78,175.51,171.6132,172.57,171.2652,3399667
